NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HTR4	1	ENSG00000164270	
CRHBP	1	ENSG00000145708	
HTR7	1	ENSG00000148680	
BBX	1	ENSG00000114439	
SPATA31G1	1	ENSG00000174038	
DHDH	1	ENSG00000104808	
BCR	1	ENSG00000186716	
AGTR1	1	ENSG00000144891	
ORAI2	1	ENSG00000160991	
VOPP1	1	ENSG00000154978	
ORAI1	1	ENSG00000276045	
SPATA31H1	1	ENSG00000221843	
COL13A1	1	ENSG00000197467	
SHMT2	1	ENSG00000182199	
SHMT1	1	ENSG00000176974	
B3GLCT	1	ENSG00000187676	
PLBD1-AS1	1	ENSG00000256751	
RDH12	1	ENSG00000139988	
RDH11	1	ENSG00000072042	
RDH10	1	ENSG00000121039	
RDH14	1	ENSG00000240857	
RDH13	1	ENSG00000160439	
GTF2IRD2B	1	ENSG00000174428	
SRP72P1	1	ENSG00000265182	
GSTM4	1	ENSG00000168765	
GSTM2	1	ENSG00000213366	
NEBL	1	ENSG00000078114	
DHFR	1	ENSG00000228716	
PKIB	1	ENSG00000135549	
PKIA	1	ENSG00000171033	
L1TD1	1	ENSG00000240563	
STRN	1	ENSG00000115808	
PKIG	1	ENSG00000168734	
GTF2H2C	1	ENSG00000183474	
KCNC2	1	ENSG00000166006	
KCNC3	1	ENSG00000131398	
KCNC4	1	ENSG00000116396	
BBC3	1	ENSG00000105327	
GLT1D1	1	ENSG00000151948	
NEFH	1	ENSG00000100285	
STUM	1	ENSG00000203685	
MYBPC3	1	ENSG00000134571	
MYBPC1	1	ENSG00000196091	
KCND1	1	ENSG00000102057	
MYBPC2	1	ENSG00000086967	
KCND2	1	ENSG00000184408	
GSTO2	1	ENSG00000065621	
KCND3	1	ENSG00000171385	
GSTO1	1	ENSG00000148834	
RPL3P4	1	ENSG00000232573	
TMEFF2	1	ENSG00000144339	
RPL3P7	1	ENSG00000225093	
EIF1B-AS1	1	ENSG00000280739	
RPL3P9	1	ENSG00000240540	
RPL3P2	1	ENSG00000227939	
RPS7P10	1	ENSG00000226525	
PKN3	1	ENSG00000160447	
SYNPO2	1	ENSG00000172403	
GSTP1	1	ENSG00000084207	
PTAFR	1	ENSG00000169403	
KCNA2	1	ENSG00000177301	
KCNA3	1	ENSG00000177272	
ADAM22	1	ENSG00000008277	
SDAD1	1	ENSG00000198301	
PAXBP1-AS1	1	ENSG00000238197	
ADAM29	1	ENSG00000168594	
ADAM28	1	ENSG00000042980	
ADAM23	1	ENSG00000114948	
STX6	1	ENSG00000135823	
STX5	1	ENSG00000162236	
STX4	1	ENSG00000103496	
STX3	1	ENSG00000166900	
STX2	1	ENSG00000111450	
BID	1	ENSG00000015475	
RPS7P14	1	ENSG00000213695	
MBD3	1	ENSG00000071655	
MBD5	1	ENSG00000204406	
MBD6	1	ENSG00000166987	
KCNB1	1	ENSG00000158445	
BIK	1	ENSG00000100290	
KCNB2	1	ENSG00000182674	
MBD1	1	ENSG00000141644	
MBD2	1	ENSG00000134046	
KIAA2012	1	ENSG00000182329	
ADAM32	1	ENSG00000197140	
KIAA2013	1	ENSG00000116685	
MAP2K4P1	1	ENSG00000269904	
PKN2	1	ENSG00000065243	
PKN1	1	ENSG00000123143	
KCNG1	1	ENSG00000026559	
KCNG2	1	ENSG00000178342	
KCNG3	1	ENSG00000171126	
KCNG4	1	ENSG00000168418	
FBXO28	1	ENSG00000143756	
RASL11A	1	ENSG00000122035	
GOLIM4	1	ENSG00000173905	
FBXO25	1	ENSG00000147364	
MCHR2-AS1	1	ENSG00000229315	
FBXO21	1	ENSG00000135108	
FBXO22	1	ENSG00000167196	
FADS3	1	ENSG00000221968	
FADS2	1	ENSG00000134824	
PTAR1	1	ENSG00000188647	
POFUT2	1	ENSG00000186866	
FNTA	1	ENSG00000168522	
POTEI	1	ENSG00000196834	
POFUT1	1	ENSG00000101346	
TNFRSF8	1	ENSG00000120949	
NEK1	1	ENSG00000137601	
NEK2	1	ENSG00000117650	
POTEF	1	ENSG00000196604	
NEK3	1	ENSG00000136098	
TNFRSF4	1	ENSG00000186827	
KCNH1	1	ENSG00000143473	
PIAS4	1	ENSG00000105229	
PIAS3	1	ENSG00000131788	
KCNH3	1	ENSG00000135519	
KCNH4	1	ENSG00000089558	
DGAT2	1	ENSG00000062282	
KCNH5	1	ENSG00000140015	
DGAT1	1	ENSG00000185000	
KCNH7	1	ENSG00000184611	
KCNH8	1	ENSG00000183960	
FBXO16	1	ENSG00000214050	
STX8	1	ENSG00000170310	
