NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	200	173		
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	200	174		
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	200	167		
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	200	177		
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	200	166		
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	200	181		
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN	200	121		
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	199	169		
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN	153	136		
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP	154	99		
GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN	165	142		
GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_UP	148	98		
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN	144	96		
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP	166	153		
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN	164	126		
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_UP	152	125		
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	199	166		
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	200	156		
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN	200	185		
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP	199	168		
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	200	179		
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	199	149		
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN	200	176		
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP	200	148		
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN	200	182		
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP	199	175		
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	200	170		
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	199	170		
GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_DN	200	167		
GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP	199	172		
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_DN	198	136		
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP	200	168		
GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	200	163		
GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	200	158		
GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	199	171		
GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	200	151		
GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	200	172		
GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	200	170		
GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	199	155		
GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	199	176		
GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	200	166		
GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	200	173		
GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	200	158		
GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	200	170		
GSE10273_HIGH_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_DN	200	162		
GSE10273_HIGH_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP	200	159		
GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_DN	199	162		
GSE10273_HIGH_VS_LOW_IL7_TREATED_IRF4_8_NULL_PRE_BCELL_UP	200	172		
GSE10273_LOW_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_DN	200	175		
GSE10273_LOW_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP	200	159		
GSE10325_BCELL_VS_LUPUS_BCELL_DN	200	171		
GSE10325_BCELL_VS_LUPUS_BCELL_UP	194	134		
