NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP	GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP	Details ...	171	-0.55949515	-2.0980077	0.0	0.34534326	0.06	2648	tags=50%, list=19%, signal=60%	
GSE1432_6H_VS_24H_IFNG_MICROGLIA_DN	GSE1432_6H_VS_24H_IFNG_MICROGLIA_DN	Details ...	165	-0.5532514	-2.0075336	0.0	0.50087196	0.161	2195	tags=46%, list=15%, signal=54%	
GSE7548_DAY7_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_DN	GSE7548_DAY7_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_DN	Details ...	155	-0.5271447	-1.9510757	0.008264462	0.59540707	0.257	2303	tags=45%, list=16%, signal=53%	
GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_DN	GSE27241_WT_VS_RORGT_KO_TH17_POLARIZED_CD4_TCELL_DN	Details ...	146	-0.5197744	-1.9338729	0.0	0.5336984	0.304	3817	tags=56%, list=27%, signal=76%	
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	Details ...	153	-0.5176326	-1.9154885	0.016129032	0.51407194	0.339	2263	tags=42%, list=16%, signal=49%	
GSE41867_DAY6_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP	GSE41867_DAY6_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP	Details ...	160	-0.46407142	-1.9058903	0.024340771	0.47087646	0.357	2554	tags=41%, list=18%, signal=49%	
GSE6674_CPG_VS_CPG_AND_ANTI_IGM_STIM_BCELL_UP	GSE6674_CPG_VS_CPG_AND_ANTI_IGM_STIM_BCELL_UP	Details ...	160	-0.4241382	-1.8990902	0.002079002	0.4297782	0.369	2620	tags=36%, list=18%, signal=44%	
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4_KO_BCELL_UP	GSE46606_UNSTIM_VS_CD40L_IL2_IL5_1DAY_STIMULATED_IRF4_KO_BCELL_UP	Details ...	179	-0.48512483	-1.8970202	0.012269938	0.38401276	0.372	2303	tags=43%, list=16%, signal=51%	
GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_UP	GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_UP	Details ...	175	-0.5334559	-1.8855606	0.0100603625	0.38041246	0.389	3198	tags=55%, list=23%, signal=70%	
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	Details ...	164	-0.5244667	-1.8804556	0.006134969	0.35924634	0.397	2931	tags=50%, list=21%, signal=62%	
