NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE19401_UNSTIM_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_DN	GSE19401_UNSTIM_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_DN	Details ...	175	0.5446031	1.9190298	0.0118811885	1.0	0.339	2589	tags=47%, list=18%, signal=57%	
GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP	GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP	Details ...	176	0.46781763	1.893975	0.004008016	1.0	0.38	3040	tags=42%, list=21%, signal=53%	
GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_DN	GSE22140_GERMFREE_VS_SPF_MOUSE_CD4_TCELL_DN	Details ...	180	0.54208624	1.8851193	0.014112903	1.0	0.39	2653	tags=46%, list=19%, signal=56%	
GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP	GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP	Details ...	171	0.6130049	1.8847735	0.006263048	1.0	0.391	2544	tags=54%, list=18%, signal=65%	
GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP	GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP	Details ...	173	0.441189	1.8811616	0.0	0.9640566	0.398	2832	tags=40%, list=20%, signal=50%	
GSE22196_HEALTHY_VS_OBESE_MOUSE_SKIN_GAMMADELTA_TCELL_DN	GSE22196_HEALTHY_VS_OBESE_MOUSE_SKIN_GAMMADELTA_TCELL_DN	Details ...	177	0.52695185	1.8788618	0.010204081	0.8215027	0.405	1949	tags=40%, list=14%, signal=46%	
GSE21927_BALBC_VS_C57BL6_MONOCYTE_SPLEEN_UP	GSE21927_BALBC_VS_C57BL6_MONOCYTE_SPLEEN_UP	Details ...	136	0.4224905	1.8779643	0.0	0.7098512	0.407	2383	tags=31%, list=17%, signal=37%	
GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP	GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP	Details ...	176	0.49973306	1.8757042	0.006198347	0.63797426	0.413	2967	tags=44%, list=21%, signal=55%	
GSE20152_SPHK1_KO_VS_WT_HTNFA_OVERXPRESS_ANKLE_UP	GSE20152_SPHK1_KO_VS_WT_HTNFA_OVERXPRESS_ANKLE_UP	Details ...	165	0.46247977	1.8439351	0.005905512	0.75667936	0.492	2554	tags=43%, list=18%, signal=52%	
GSE26727_WT_VS_KLF2_KO_LPS_STIM_MACROPHAGE_DN	GSE26727_WT_VS_KLF2_KO_LPS_STIM_MACROPHAGE_DN	Details ...	175	0.49972928	1.8316777	0.016771488	0.75401384	0.513	2456	tags=42%, list=17%, signal=50%	
GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_6H_UP	GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_6H_UP	Details ...	175	0.4985016	1.8252678	0.0041753654	0.7196092	0.521	3239	tags=50%, list=23%, signal=64%	
GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN	GSE1112_HY_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN	Details ...	152	0.4737146	1.8113743	0.0061099795	0.7439694	0.558	3261	tags=49%, list=23%, signal=63%	
GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_2H_UP	GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_2H_UP	Details ...	167	0.50113606	1.8017544	0.019455252	0.745287	0.577	2076	tags=40%, list=15%, signal=46%	
GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP	GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_2H_UP	Details ...	174	0.5456011	1.8015774	0.044265594	0.69292873	0.577	2544	tags=49%, list=18%, signal=59%	
GSE17721_CTRL_VS_PAM3CSK4_8H_BMDC_DN	GSE17721_CTRL_VS_PAM3CSK4_8H_BMDC_DN	Details ...	154	0.41452062	1.7992688	0.0	0.6577875	0.58	2828	tags=36%, list=20%, signal=44%	
GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_2H_DN	Details ...	173	0.55820626	1.7988625	0.034623217	0.61868477	0.582	2598	tags=49%, list=18%, signal=59%	
GSE7548_DAY7_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP	GSE7548_DAY7_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP	Details ...	164	0.4229291	1.7978112	0.0	0.58681846	0.586	2880	tags=39%, list=20%, signal=48%	
GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN	GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN	Details ...	162	0.42476195	1.7970889	0.007518797	0.5576654	0.589	3075	tags=41%, list=22%, signal=52%	
GSE28737_WT_VS_BCL6_KO_MARGINAL_ZONE_BCELL_DN	GSE28737_WT_VS_BCL6_KO_MARGINAL_ZONE_BCELL_DN	Details ...	160	0.37123016	1.7836435	0.0018903592	0.5911844	0.612	2561	tags=31%, list=18%, signal=38%	
GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP	GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP	Details ...	177	0.4299976	1.7801915	0.012219959	0.5779368	0.624	2669	tags=40%, list=19%, signal=48%	
GSE28726_NAIVE_VS_ACTIVATED_NKTCELL_DN	GSE28726_NAIVE_VS_ACTIVATED_NKTCELL_DN		173	0.4712773	1.7763156	0.020408163	0.5662093	0.633	2408	tags=39%, list=17%, signal=47%	
GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP	GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_UP		155	0.39235657	1.771317	0.0	0.56223875	0.639	3987	tags=48%, list=28%, signal=66%	
GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP	GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP		165	0.3805474	1.764891	0.0	0.56676745	0.655	2995	tags=33%, list=21%, signal=41%	
GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_1H_DN	GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_1H_DN		164	0.3923879	1.7612153	0.0018939395	0.55887496	0.664	2683	tags=39%, list=19%, signal=48%	
GSE17721_CTRL_VS_GARDIQUIMOD_2H_BMDC_DN	GSE17721_CTRL_VS_GARDIQUIMOD_2H_BMDC_DN		168	0.38927728	1.7592589	0.0	0.54449934	0.668	2123	tags=30%, list=15%, signal=35%	
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP	GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP		179	0.59091777	1.7588102	0.062248997	0.5252753	0.668	3058	tags=55%, list=22%, signal=69%	
GSE27291_0H_VS_7D_STIM_GAMMADELTA_TCELL_UP	GSE27291_0H_VS_7D_STIM_GAMMADELTA_TCELL_UP		147	0.4234586	1.7571902	0.0019762847	0.5117171	0.671	2266	tags=32%, list=16%, signal=38%	
GSE17721_CTRL_VS_PAM3CSK4_4H_BMDC_DN	GSE17721_CTRL_VS_PAM3CSK4_4H_BMDC_DN		156	0.3881969	1.7560697	0.001968504	0.49776864	0.674	2170	tags=31%, list=15%, signal=36%	
GSE339_EX_VIVO_VS_IN_CULTURE_CD8POS_DC_DN	GSE339_EX_VIVO_VS_IN_CULTURE_CD8POS_DC_DN		173	0.43872374	1.7474468	0.016427105	0.5155281	0.7	2838	tags=40%, list=20%, signal=50%	
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_UP	GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_UP		148	0.38534218	1.7460815	0.0019011407	0.5043029	0.704	2861	tags=36%, list=20%, signal=45%	
GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN	GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_DN		180	0.5594599	1.744957	0.041493777	0.49261883	0.709	2700	tags=51%, list=19%, signal=62%	
GSE22886_NAIVE_TCELL_VS_NKCELL_DN	GSE22886_NAIVE_TCELL_VS_NKCELL_DN		179	0.43592858	1.7444372	0.020449897	0.47921786	0.71	2544	tags=40%, list=18%, signal=48%	
