NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPM2AIP1	EPM2A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19735]	257	0.739682674407959	-0.0024107636	No	
row_1	MASTL	microtubule associated serine/threonine kinase like [Source:HGNC Symbol;Acc:HGNC:19042]	343	0.6735497713088989	0.005203923	No	
row_2	STOML1	stomatin like 1 [Source:HGNC Symbol;Acc:HGNC:14560]	499	0.5909294486045837	0.006590214	No	
row_3	TSPAN14	tetraspanin 14 [Source:HGNC Symbol;Acc:HGNC:23303]	733	0.504916250705719	0.0011549385	No	
row_4	ZNF217	zinc finger protein 217 [Source:HGNC Symbol;Acc:HGNC:13009]	765	0.4940853714942932	0.008804587	No	
row_5	CCDC117	coiled-coil domain containing 117 [Source:HGNC Symbol;Acc:HGNC:26599]	1263	0.36135759949684143	-0.016824966	No	
row_6	PWWP2A	PWWP domain containing 2A [Source:HGNC Symbol;Acc:HGNC:29406]	1331	0.3494411110877991	-0.014382002	No	
row_7	PDP1	pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	1440	0.3270479142665863	-0.015077193	No	
row_8	ZDHHC9	zinc finger DHHC-type palmitoyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:18475]	1668	0.29535481333732605	-0.024227556	No	
row_9	ORMDL1	ORMDL sphingolipid biosynthesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16036]	1871	0.2722871005535126	-0.032184627	No	
row_10	OSTM1	osteoclastogenesis associated transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:21652]	1916	0.2675590217113495	-0.029833535	No	
row_11	MBLAC2	metallo-beta-lactamase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33711]	1977	0.2610509693622589	-0.028663335	No	
row_12	ACOT13	acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:HGNC:20999]	2339	0.23050358891487122	-0.047906615	No	
row_13	PPP1R3B	protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]	2355	0.22880125045776367	-0.04440664	No	
row_14	NHLRC3	NHL repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:33751]	2555	0.21415744721889496	-0.053306304	No	
row_15	GNB1	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]	2664	0.20721115171909332	-0.056351814	No	
row_16	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:604]	2753	0.20132894814014435	-0.05819612	No	
row_17	HJURP	Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]	2955	0.19035319983959198	-0.06769431	No	
row_18	NUDT16L1	nudix hydrolase 16 like 1 [Source:HGNC Symbol;Acc:HGNC:28154]	3074	0.18404462933540344	-0.07185246	No	
row_19	TRIM59	tripartite motif containing 59 [Source:HGNC Symbol;Acc:HGNC:30834]	3180	0.17816045880317688	-0.07527024	No	
row_20	ANKLE1	ankyrin repeat and LEM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26812]	3187	0.17797823250293732	-0.07217459	No	
row_21	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	3683	0.16009530425071716	-0.10161977	No	
row_22	C8G	complement C8 gamma chain [Source:HGNC Symbol;Acc:HGNC:1354]	3918	0.1527538299560547	-0.11402772	No	
row_23	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	4045	0.14877304434776306	-0.11940427	No	
row_24	MFSD12	major facilitator superfamily domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28299]	5137	0.11817384511232376	-0.1889054	No	
row_25	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	5304	0.1137647032737732	-0.19760169	No	
row_26	POLR3K	RNA polymerase III subunit K [Source:HGNC Symbol;Acc:HGNC:14121]	5500	0.10792087018489838	-0.20832163	No	
row_27	INSC	INSC spindle orientation adaptor protein [Source:HGNC Symbol;Acc:HGNC:33116]	5501	0.10791106522083282	-0.2062052	No	
row_28	PLEKHM2	pleckstrin homology and RUN domain containing M2 [Source:HGNC Symbol;Acc:HGNC:29131]	5738	0.10052490234375	-0.21976915	No	
row_29	SYS1	SYS1 golgi trafficking protein [Source:HGNC Symbol;Acc:HGNC:16162]	6189	0.08719835430383682	-0.24768177	No	
row_30	MTCP1	mature T cell proliferation 1 [Source:HGNC Symbol;Acc:HGNC:7423]	6318	0.0833427757024765	-0.25447324	No	
row_31	PNN	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]	7183	0.05693390592932701	-0.3102324	No	
row_32	RNFT2	ring finger protein, transmembrane 2 [Source:HGNC Symbol;Acc:HGNC:25905]	7298	0.05351410433650017	-0.3166873	No	
row_33	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	7559	0.04471607878804207	-0.33292568	No	
row_34	SUSD3	sushi domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28391]	7762	0.03779716044664383	-0.34548172	No	
row_35	RNF181	ring finger protein 181 [Source:HGNC Symbol;Acc:HGNC:28037]	7935	0.03154166042804718	-0.3561856	No	
row_36	PIMREG	PICALM interacting mitotic regulator [Source:HGNC Symbol;Acc:HGNC:25483]	8029	0.028466416522860527	-0.36174932	No	
row_37	CCDC115	coiled-coil domain containing 115 [Source:HGNC Symbol;Acc:HGNC:28178]	8310	0.01915394701063633	-0.37980565	No	
row_38	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	8333	0.01847875863313675	-0.38089144	No	
row_39	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:18803]	8355	0.017584703862667084	-0.38192895	No	
row_40	METTL9	methyltransferase 9, His-X-His N1(pi)-histidine [Source:HGNC Symbol;Acc:HGNC:24586]	8384	0.016730401664972305	-0.38344404	No	
row_41	WASHC5	WASH complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:28984]	8589	0.00996935460716486	-0.39667752	No	
row_42	YBX1	Y-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8014]	8628	0.00820485595613718	-0.39901808	No	
row_43	OSGIN1	oxidative stress induced growth inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30093]	8706	0.005180532578378916	-0.40398526	No	
row_44	NATD1	N-acetyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30770]	8862	-3.493511467240751E-4	-0.41418183	No	
row_45	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like [Source:HGNC Symbol;Acc:HGNC:51714]	9045	-0.006635716184973717	-0.42603245	No	
