NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	317	0.6983893513679504	-0.0034998106	No	
row_1	GOLGA7	golgin A7 [Source:HGNC Symbol;Acc:HGNC:24876]	897	0.45215076208114624	-0.03036537	No	
row_2	NBR1	NBR1 autophagy cargo receptor [Source:HGNC Symbol;Acc:HGNC:6746]	1110	0.3952595293521881	-0.034491118	No	
row_3	ATF6	activating transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:791]	1342	0.3478280007839203	-0.04104662	No	
row_4	SCARB2	scavenger receptor class B member 2 [Source:HGNC Symbol;Acc:HGNC:1665]	1452	0.3254398703575134	-0.040129263	No	
row_5	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	1605	0.304775208234787	-0.042555746	No	
row_6	WDR90	WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960]	1745	0.2862299680709839	-0.04458771	No	
row_7	VAMP1	vesicle associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:12642]	1855	0.273918479681015	-0.0449513	No	
row_8	CDKN2D	cyclin dependent kinase inhibitor 2D [Source:HGNC Symbol;Acc:HGNC:1790]	1990	0.25999560952186584	-0.047306437	No	
row_9	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	2043	0.25583818554878235	-0.04436807	No	
row_10	STAT5B	signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]	2196	0.24365746974945068	-0.04831409	No	
row_11	USP15	ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]	2212	0.24240466952323914	-0.043274544	No	
row_12	MDFIC	MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]	2307	0.23338904976844788	-0.043658566	No	
row_13	BRCA1	BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]	2404	0.2248793989419937	-0.04438579	No	
row_14	SF3B1	splicing factor 3b subunit 1 [Source:HGNC Symbol;Acc:HGNC:10768]	2452	0.22093279659748077	-0.041986182	No	
