NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	241	0.7577238082885742	4.5977032E-4	No	
row_1	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	507	0.586418867111206	-0.0043523023	No	
row_2	CFAP20	cilia and flagella associated protein 20 [Source:HGNC Symbol;Acc:HGNC:29523]	1278	0.3587687611579895	-0.047322255	No	
row_3	MTFR2	mitochondrial fission regulator 2 [Source:HGNC Symbol;Acc:HGNC:21115]	1594	0.30671563744544983	-0.06145409	No	
row_4	TTLL1	TTL family tubulin polyglutamylase complex subunit L1 [Source:HGNC Symbol;Acc:HGNC:1312]	1951	0.26428037881851196	-0.07920007	No	
row_5	ASL	argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]	1963	0.26326489448547363	-0.07425114	No	
row_6	MBLAC2	metallo-beta-lactamase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:33711]	1977	0.2610509693622589	-0.0694816	No	
row_7	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	2088	0.2514422535896301	-0.07130617	No	
row_8	PPAT	phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]	2119	0.2494482696056366	-0.067906044	No	
row_9	MSH2	mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]	2364	0.22856459021568298	-0.07904696	No	
row_10	TUBB6	tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]	2705	0.20442473888397217	-0.09702926	No	
row_11	ULK3	unc-51 like kinase 3 [Source:HGNC Symbol;Acc:HGNC:19703]	2745	0.20183585584163666	-0.095247775	No	
row_12	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:30782]	3004	0.187768816947937	-0.10818966	No	
row_13	PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	3088	0.1833430379629135	-0.1097039	No	
row_14	SAMD13	sterile alpha motif domain containing 13 [Source:HGNC Symbol;Acc:HGNC:24582]	3294	0.17354848980903625	-0.11946239	No	
row_15	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	3346	0.17170697450637817	-0.119120315	No	
row_16	VBP1	VHL binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12662]	3537	0.16556008160114288	-0.12806328	No	
row_17	HLTF	helicase like transcription factor [Source:HGNC Symbol;Acc:HGNC:11099]	3599	0.16311566531658173	-0.12856479	No	
row_18	MRPL4	mitochondrial ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:14276]	3774	0.15716709196567535	-0.13663508	No	
row_19	TRMT1	tRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25980]	3864	0.1542883664369583	-0.13917051	No	
row_20	DHX30	DExH-box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716]	4242	0.14311406016349792	-0.16091034	No	
row_21	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]	5187	0.11688459664583206	-0.22054994	No	
row_22	RCAN3	RCAN family member 3 [Source:HGNC Symbol;Acc:HGNC:3042]	5562	0.10583098232746124	-0.24289566	No	
row_23	NUDT6	nudix hydrolase 6 [Source:HGNC Symbol;Acc:HGNC:8053]	6002	0.09287279099225998	-0.2698006	No	
row_24	NFATC3	nuclear factor of activated T cells 3 [Source:HGNC Symbol;Acc:HGNC:7777]	6307	0.08374239504337311	-0.2880131	No	
row_25	TFAM	transcription factor A, mitochondrial [Source:HGNC Symbol;Acc:HGNC:11741]	6335	0.08287633210420609	-0.288005	No	
row_26	PNPLA6	patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]	6559	0.07632040232419968	-0.30104393	No	
row_27	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]	6982	0.06359285861253738	-0.32746047	No	
row_28	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	7006	0.06304312497377396	-0.32761636	No	
row_29	RAD51C	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]	7250	0.05484239012002945	-0.34243506	No	
row_30	RTN4IP1	reticulon 4 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18647]	7506	0.04688491299748421	-0.3582154	No	
row_31	IMPA2	inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]	7596	0.04339088872075081	-0.3631406	No	
row_32	PCYOX1	prenylcysteine oxidase 1 [Source:HGNC Symbol;Acc:HGNC:20588]	7700	0.039966948330402374	-0.36906144	No	
row_33	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	7751	0.03819645196199417	-0.37153062	No	
row_34	NUDCD2	NudC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30535]	7916	0.032206226140260696	-0.3816353	No	
row_35	SRSF8	serine and arginine rich splicing factor 8 [Source:HGNC Symbol;Acc:HGNC:16988]	7978	0.030216824263334274	-0.38500074	No	
row_36	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	8031	0.028462087735533714	-0.38781136	No	
row_37	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]	8332	0.018482740968465805	-0.4071668	No	
row_38	GNPDA2	glucosamine-6-phosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:21526]	8511	0.012862119823694229	-0.4186102	No	
row_39	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	8523	0.012522934935986996	-0.41906464	No	
row_40	INTS8	integrator complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:26048]	8536	0.011880389414727688	-0.41959876	No	
row_41	MED29	mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074]	8587	0.010179199278354645	-0.4226717	No	
row_42	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	8733	0.0037442143075168133	-0.43213865	No	
row_43	RLIG1	RNA 5'-phosphate and 3'-OH ligase 1 [Source:HGNC Symbol;Acc:HGNC:25322]	8755	0.0031174614559859037	-0.43345422	No	
row_44	TUBGCP5	tubulin gamma complex component 5 [Source:HGNC Symbol;Acc:HGNC:18600]	9014	-0.00552870100364089	-0.4503233	No	
row_45	IVD	isovaleryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:6186]	9156	-0.010667569935321808	-0.45937768	No	
row_46	SPRED1	sprouty related EVH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20249]	9199	-0.012279289774596691	-0.4618786	No	
row_47	SUV39H2	SUV39H2 histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:17287]	9289	-0.016045881435275078	-0.46739307	No	
row_48	MRPS23	mitochondrial ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:14509]	9341	-0.017997385933995247	-0.47036338	No	
row_49	TRAPPC13	trafficking protein particle complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:25828]	9484	-0.023123912513256073	-0.47921517	No	
row_50	METTL25	methyltransferase like 25 [Source:HGNC Symbol;Acc:HGNC:26228]	9574	-0.026809245347976685	-0.48449773	No	
row_51	STRAP	serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]	9582	-0.02716330625116825	-0.48437327	No	
row_52	PWP2	PWP2 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:9711]	9598	-0.027704814448952675	-0.48476395	No	
row_53	AKTIP	AKT interacting protein [Source:HGNC Symbol;Acc:HGNC:16710]	9678	-0.03059222549200058	-0.4893065	No	
row_54	FLVCR1	FLVCR choline and heme transporter 1 [Source:HGNC Symbol;Acc:HGNC:24682]	9703	-0.03191274777054787	-0.4901991	No	
row_55	NUP35	nucleoporin 35 [Source:HGNC Symbol;Acc:HGNC:29797]	9776	-0.035201072692871094	-0.49418142	No	
row_56	NLRP2	NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]	9790	-0.036129120737314224	-0.49425885	No	
row_57	TEX264	testis expressed 264, ER-phagy receptor [Source:HGNC Symbol;Acc:HGNC:30247]	9800	-0.0365290641784668	-0.4940643	No	
row_58	USP46	ubiquitin specific peptidase 46 [Source:HGNC Symbol;Acc:HGNC:20075]	9829	-0.038227394223213196	-0.4950842	No	
row_59	HNMT	histamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:5028]	9854	-0.03897419571876526	-0.4958246	No	
