NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLHL21	kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]	48	1.0794583559036255	0.015831226	No	
row_1	RAB33A	RAB33A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9773]	239	0.7611693143844604	0.016710391	No	
row_2	SNX30	sorting nexin family member 30 [Source:HGNC Symbol;Acc:HGNC:23685]	945	0.43828558921813965	-0.022008676	No	
row_3	SRGAP1	SLIT-ROBO Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17382]	1078	0.4023009240627289	-0.023623785	No	
row_4	SLC19A2	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]	1415	0.3319832980632782	-0.039911285	No	
row_5	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	1479	0.3209107518196106	-0.03841415	No	
row_6	KCTD12	potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:HGNC:14678]	2041	0.25590935349464417	-0.07085836	No	
row_7	MTFMT	mitochondrial methionyl-tRNA formyltransferase [Source:HGNC Symbol;Acc:HGNC:29666]	2322	0.231861874461174	-0.08521934	No	
row_8	HAUS8	HAUS augmin like complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:30532]	2575	0.21264542639255524	-0.098074384	No	
row_9	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	2724	0.20323587954044342	-0.10424567	No	
row_10	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	2785	0.1997540444135666	-0.10468264	No	
row_11	NUDT4	nudix hydrolase 4 [Source:HGNC Symbol;Acc:HGNC:8051]	2917	0.1921706348657608	-0.10992901	No	
row_12	WFDC21P	WAP four-disulfide core domain 21, pseudogene [Source:HGNC Symbol;Acc:HGNC:50357]	3039	0.1854948103427887	-0.114634246	No	
row_13	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	3346	0.17170697450637817	-0.13176596	No	
row_14	TRMT1	tRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25980]	3864	0.1542883664369583	-0.16310033	No	
row_15	CCDC168	coiled-coil domain containing 168 [Source:HGNC Symbol;Acc:HGNC:26851]	4173	0.14497162401676178	-0.18083416	No	
row_16	DHX30	DExH-box helicase 30 [Source:HGNC Symbol;Acc:HGNC:16716]	4242	0.14311406016349792	-0.18279454	No	
row_17	TBC1D10A	TBC1 domain family member 10A [Source:HGNC Symbol;Acc:HGNC:23609]	4719	0.12971284985542297	-0.2118611	No	
row_18	TRIT1	tRNA isopentenyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:20286]	4948	0.1235843300819397	-0.22470252	No	
row_19	TNFSF14	TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]	5284	0.1142515018582344	-0.24475503	No	
row_20	MRPS27	mitochondrial ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:14512]	5425	0.10986677557229996	-0.2520422	No	
row_21	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	5534	0.10660579800605774	-0.2572793	No	
row_22	INTS11	integrator complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:26052]	5639	0.10343057662248611	-0.2623088	No	
row_23	HSD17B10	hydroxysteroid 17-beta dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:4800]	5673	0.10236699879169464	-0.26268107	No	
row_24	PDE6D	phosphodiesterase 6D [Source:HGNC Symbol;Acc:HGNC:8788]	5799	0.09879867732524872	-0.2691751	No	
row_25	DFFA	DNA fragmentation factor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2772]	6257	0.08549315482378006	-0.29776838	No	
row_26	MAP1A	microtubule associated protein 1A [Source:HGNC Symbol;Acc:HGNC:6835]	6397	0.08147140592336655	-0.3054893	No	
row_27	NUDT16	nudix hydrolase 16 [Source:HGNC Symbol;Acc:HGNC:26442]	6565	0.0761403739452362	-0.3151481	No	
row_28	BLMH	bleomycin hydrolase [Source:HGNC Symbol;Acc:HGNC:1059]	6633	0.07401632517576218	-0.31825835	No	
row_29	HMG20B	high mobility group 20B [Source:HGNC Symbol;Acc:HGNC:5002]	6872	0.06689263135194778	-0.3327558	No	
row_30	SKP2	S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901]	6884	0.06653498113155365	-0.3323096	No	
