NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOCT	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	2	1.4628925323486328	0.030245656	Yes	
row_1	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	8	1.3613487482070923	0.05818561	Yes	
row_2	ARL5B	ADP ribosylation factor like GTPase 5B [Source:HGNC Symbol;Acc:HGNC:23052]	33	1.1396069526672363	0.08027256	Yes	
row_3	MIR155HG	MIR155 host gene [Source:HGNC Symbol;Acc:HGNC:35460]	47	1.080177903175354	0.10184829	Yes	
row_4	IL36G	interleukin 36 gamma [Source:HGNC Symbol;Acc:HGNC:15741]	55	1.0569764375686646	0.1233365	Yes	
row_5	BHLHE22	basic helix-loop-helix family member e22 [Source:HGNC Symbol;Acc:HGNC:11963]	66	1.0293949842453003	0.14405486	Yes	
row_6	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	67	1.0290311574935913	0.16542277	Yes	
row_7	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	105	0.9325430393218994	0.18235576	Yes	
row_8	STEAP1B	STEAP family member 1B [Source:HGNC Symbol;Acc:HGNC:41907]	130	0.8940996527671814	0.19934474	Yes	
row_9	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	131	0.8936907052993774	0.21790229	Yes	
row_10	RHCG	Rh family C glycoprotein [Source:HGNC Symbol;Acc:HGNC:18140]	134	0.8849673271179199	0.23614728	Yes	
row_11	CAMK1G	calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]	136	0.8837376832962036	0.25443247	Yes	
row_12	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	156	0.861332893371582	0.2710696	Yes	
row_13	ETS2	ETS proto-oncogene 2, transcription factor [Source:HGNC Symbol;Acc:HGNC:3489]	169	0.842373251914978	0.28777298	Yes	
row_14	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	172	0.8412966132164001	0.30511114	Yes	
row_15	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	191	0.819269061088562	0.32094052	Yes	
row_16	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	198	0.811340868473053	0.33739382	Yes	
row_17	LINC00158	long intergenic non-protein coding RNA 158 [Source:HGNC Symbol;Acc:HGNC:1283]	206	0.7979380488395691	0.35350308	Yes	
