NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	1	1.521507978439331	0.029579455	Yes	
row_1	NOCT	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	2	1.4628925323486328	0.058082484	Yes	
row_2	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	4	1.4217565059661865	0.08571838	Yes	
row_3	PELI1	pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]	12	1.321264624595642	0.11100246	Yes	
row_4	ACOD1	aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904]	17	1.2336763143539429	0.13477688	Yes	
row_5	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	37	1.1118583679199219	0.15519322	Yes	
row_6	TNIP3	TNFAIP3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:19315]	44	1.0853630304336548	0.17594664	Yes	
row_7	MIR155HG	MIR155 host gene [Source:HGNC Symbol;Acc:HGNC:35460]	47	1.080177903175354	0.19686157	Yes	
row_8	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	54	1.060161828994751	0.21712394	Yes	
row_9	MBNL1	muscleblind like splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:6923]	58	1.0525623559951782	0.23743518	Yes	
row_10	OSR2	odd-skipped related transciption factor 2 [Source:HGNC Symbol;Acc:HGNC:15830]	59	1.0501525402069092	0.25789636	Yes	
row_11	CSRNP1	cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300]	73	1.0114285945892334	0.27674976	Yes	
row_12	PLEKHF2	pleckstrin homology and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20757]	79	1.000974178314209	0.29592457	Yes	
row_13	CA5A	carbonic anhydrase 5A [Source:HGNC Symbol;Acc:HGNC:1377]	88	0.9753416776657104	0.31440306	Yes	
row_14	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	89	0.9715646505355835	0.33333305	Yes	
row_15	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	98	0.9527111053466797	0.35137057	Yes	
row_16	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	108	0.9240378737449646	0.3687838	Yes	
row_17	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	112	0.9157578349113464	0.38642955	Yes	
row_18	ZC3HAV1	zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]	133	0.8895813226699829	0.4024494	Yes	
row_19	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	135	0.8844234943389893	0.41961586	Yes	
row_20	CAMK1G	calcium/calmodulin dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]	136	0.8837376832962036	0.43683463	Yes	
row_21	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	147	0.8713827729225159	0.4531563	Yes	
row_22	RAB12	RAB12, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:31332]	171	0.8416891694068909	0.4680461	Yes	
row_23	LCP2	lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]	265	0.7322389483451843	0.4762087	Yes	
row_24	AIM2	absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]	272	0.7267163395881653	0.48997423	Yes	
row_25	IFI44	interferon induced protein 44 [Source:HGNC Symbol;Acc:HGNC:16938]	288	0.7148309350013733	0.5029174	Yes	
row_26	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30034]	295	0.7114759683609009	0.51638603	Yes	
row_27	MIA3	MIA SH3 domain ER export factor 3 [Source:HGNC Symbol;Acc:HGNC:24008]	303	0.7073896527290344	0.52970934	Yes	
row_28	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	310	0.702021062374115	0.5429937	Yes	
row_29	NBN	nibrin [Source:HGNC Symbol;Acc:HGNC:7652]	334	0.6828033924102783	0.55478776	Yes	
row_30	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	353	0.6682626008987427	0.5666267	Yes	
row_31	ANKRD55	ankyrin repeat domain 55 [Source:HGNC Symbol;Acc:HGNC:25681]	389	0.6479640603065491	0.5769543	Yes	
row_32	RNF149	ring finger protein 149 [Source:HGNC Symbol;Acc:HGNC:23137]	431	0.6267572045326233	0.5864749	Yes	
row_33	TTLL10	tubulin tyrosine ligase like 10 [Source:HGNC Symbol;Acc:HGNC:26693]	467	0.6054444313049316	0.5959741	Yes	
row_34	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	493	0.5929352641105652	0.60588586	Yes	
row_35	IFNB1	interferon beta 1 [Source:HGNC Symbol;Acc:HGNC:5434]	524	0.5792985558509827	0.6152038	Yes	
row_36	LYSMD2	LysM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28571]	594	0.5499590635299683	0.62139016	Yes	
row_37	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:HGNC Symbol;Acc:HGNC:24368]	621	0.54388028383255	0.63028055	Yes	
row_38	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	742	0.5005018711090088	0.6321557	Yes	
row_39	HCAR3	hydroxycarboxylic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:16824]	826	0.47423383593559265	0.6359477	Yes	
row_40	ZNFX1	zinc finger NFX1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:29271]	862	0.4625672399997711	0.64266306	Yes	
row_41	TRIM26	tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]	941	0.43938085436820984	0.64610416	Yes	
row_42	C21orf91	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]	1033	0.41614729166030884	0.6482393	Yes	
row_43	REC114	REC114 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:25065]	1065	0.40652206540107727	0.6541252	Yes	
row_44	IFFO2	intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:HGNC:27006]	1114	0.39441758394241333	0.6586594	Yes	
row_45	FAM43A	family with sequence similarity 43 member A [Source:HGNC Symbol;Acc:HGNC:26888]	1163	0.3826080858707428	0.6629635	Yes	
row_46	GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]	1164	0.38252249360084534	0.6704166	Yes	
row_47	PRMT7	protein arginine methyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:25557]	1211	0.37207940220832825	0.6746468	Yes	
row_48	CH25H	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]	1267	0.3608922064304352	0.67806834	Yes	
row_49	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1383	0.3382970988750458	0.6771113	Yes	
row_50	IFNL1	interferon lambda 1 [Source:HGNC Symbol;Acc:HGNC:18363]	1570	0.3099583089351654	0.6709418	Yes	
row_51	GBP5	guanylate binding protein 5 [Source:HGNC Symbol;Acc:HGNC:19895]	1607	0.3044557571411133	0.67451084	Yes	
row_52	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	1646	0.29868069291114807	0.6778361	Yes	
row_53	NPC1L1	NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]	1660	0.29644301533699036	0.6827587	Yes	
