NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTCD2	pentatricopeptide repeat domain 2 [Source:HGNC Symbol;Acc:HGNC:25734]	241	0.7577238082885742	-0.0028113457	No	
row_1	PAN2	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	388	0.6480525732040405	-0.0012634988	No	
row_2	AGAP4	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4 [Source:HGNC Symbol;Acc:HGNC:23459]	624	0.543047308921814	-0.0073727164	No	
row_3	DZIP3	DAZ interacting zinc finger protein 3 [Source:HGNC Symbol;Acc:HGNC:30938]	983	0.42692065238952637	-0.023565507	No	
row_4	GPR155	G protein-coupled receptor 155 [Source:HGNC Symbol;Acc:HGNC:22951]	1219	0.37054505944252014	-0.03264167	No	
row_5	MTFR2	mitochondrial fission regulator 2 [Source:HGNC Symbol;Acc:HGNC:21115]	1594	0.30671563744544983	-0.051953793	No	
row_6	VAMP1	vesicle associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:12642]	1855	0.273918479681015	-0.064335436	No	
row_7	NOC3L	NOC3 like DNA replication regulator [Source:HGNC Symbol;Acc:HGNC:24034]	2193	0.243841290473938	-0.08229651	No	
row_8	TRG-AS1	T cell receptor gamma locus antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48974]	2242	0.23942983150482178	-0.081334054	No	
row_9	ZNF775	zinc finger protein 775 [Source:HGNC Symbol;Acc:HGNC:28501]	2348	0.22963809967041016	-0.0842873	No	
row_10	THOC1	THO complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19070]	2614	0.2103716880083084	-0.09809062	No	
row_11	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	2750	0.20162732899188995	-0.10349789	No	
row_12	CEP104	centrosomal protein 104 [Source:HGNC Symbol;Acc:HGNC:24866]	2864	0.1951817125082016	-0.1075697	No	
row_13	TRIM59	tripartite motif containing 59 [Source:HGNC Symbol;Acc:HGNC:30834]	3180	0.17816045880317688	-0.12521414	No	
row_14	MTMR3	myotubularin related protein 3 [Source:HGNC Symbol;Acc:HGNC:7451]	4973	0.1229657381772995	-0.24090868	No	
row_15	LUZP2	leucine zipper protein 2 [Source:HGNC Symbol;Acc:HGNC:23206]	5047	0.12117524445056915	-0.24362369	No	
row_16	ZNF397	zinc finger protein 397 [Source:HGNC Symbol;Acc:HGNC:18818]	5324	0.11317374557256699	-0.25982192	No	
row_17	TAS2R40	taste 2 receptor member 40 [Source:HGNC Symbol;Acc:HGNC:18885]	5530	0.10677672177553177	-0.2714625	No	
row_18	ZNF398	zinc finger protein 398 [Source:HGNC Symbol;Acc:HGNC:18373]	5570	0.10551351308822632	-0.27221167	No	
row_19	CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	5774	0.09957896173000336	-0.28384456	No	
row_20	SCAF4	SR-related CTD associated factor 4 [Source:HGNC Symbol;Acc:HGNC:19304]	5975	0.0938665121793747	-0.29537848	No	
row_21	ASPHD2	aspartate beta-hydroxylase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30437]	6104	0.08979761600494385	-0.30224898	No	
row_22	CCDC102B	coiled-coil domain containing 102B [Source:HGNC Symbol;Acc:HGNC:26295]	6204	0.08697497844696045	-0.3072615	No	
row_23	DACT1	dishevelled binding antagonist of beta catenin 1 [Source:HGNC Symbol;Acc:HGNC:17748]	6319	0.08329451829195023	-0.31332347	No	
row_24	SLC24A4	solute carrier family 24 member 4 [Source:HGNC Symbol;Acc:HGNC:10978]	6550	0.0765790268778801	-0.32712698	No	
row_25	CNTN3	contactin 3 [Source:HGNC Symbol;Acc:HGNC:2173]	7048	0.06134119629859924	-0.35874566	No	
row_26	ITM2A	integral membrane protein 2A [Source:HGNC Symbol;Acc:HGNC:6173]	7090	0.060260847210884094	-0.36040464	No	
row_27	TUBD1	tubulin delta 1 [Source:HGNC Symbol;Acc:HGNC:16811]	7367	0.051088396459817886	-0.3776707	No	
row_28	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	7559	0.04471607878804207	-0.3894583	No	
row_29	COA3	cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:24990]	8196	0.02289043925702572	-0.43087646	No	
row_30	GTF2H1	general transcription factor IIH subunit 1 [Source:HGNC Symbol;Acc:HGNC:4655]	8372	0.017046203836798668	-0.4420881	No	
row_31	PAAF1	proteasomal ATPase associated factor 1 [Source:HGNC Symbol;Acc:HGNC:25687]	9810	-0.03713336959481239	-0.53592056	No	
row_32	ZNF420	zinc finger protein 420 [Source:HGNC Symbol;Acc:HGNC:20649]	10093	-0.050039757043123245	-0.5535991	No	
row_33	WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	10243	-0.05704544857144356	-0.5624135	No	
row_34	ZBTB26	zinc finger and BTB domain containing 26 [Source:HGNC Symbol;Acc:HGNC:23383]	10247	-0.05722757428884506	-0.56162643	No	
row_35	SNHG1	small nucleolar RNA host gene 1 [Source:HGNC Symbol;Acc:HGNC:32688]	10408	-0.06608601659536362	-0.5710085	No	
row_36	ITPRIPL1	ITPRIP like 1 [Source:HGNC Symbol;Acc:HGNC:29371]	10435	-0.06766714155673981	-0.57155395	No	
row_37	BRAT1	BRCA1 associated ATM activator 1 [Source:HGNC Symbol;Acc:HGNC:21701]	10511	-0.07088490575551987	-0.5752654	No	
row_38	CCDC66	coiled-coil domain containing 66 [Source:HGNC Symbol;Acc:HGNC:27709]	10739	-0.08278334885835648	-0.58876497	No	
row_39	KCTD21	potassium channel tetramerization domain containing 21 [Source:HGNC Symbol;Acc:HGNC:27452]	10808	-0.08702810853719711	-0.5917386	No	
row_40	POLG2	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]	10902	-0.09196898341178894	-0.59627074	No	
