NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	3	1.4288840293884277	0.017506931	Yes	
row_1	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	4	1.4217565059661865	0.03512303	Yes	
row_2	PELI1	pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]	12	1.321264624595642	0.051033206	Yes	
row_3	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	22	1.1969542503356934	0.06527147	Yes	
row_4	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	24	1.1932920217514038	0.079990976	Yes	
row_5	MIR3945HG	MIR3945 host gene [Source:HGNC Symbol;Acc:HGNC:52002]	30	1.1533217430114746	0.09395193	Yes	
row_6	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	31	1.142536997795105	0.1081084	Yes	
row_7	MFSD2A	MFSD2 lysolipid transporter A, lysophospholipid [Source:HGNC Symbol;Acc:HGNC:25897]	42	1.0929304361343384	0.12099194	Yes	
row_8	TNIP3	TNFAIP3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:19315]	44	1.0853630304336548	0.13437417	Yes	
row_9	MIR155HG	MIR155 host gene [Source:HGNC Symbol;Acc:HGNC:35460]	47	1.080177903175354	0.14762633	Yes	
row_10	IL36G	interleukin 36 gamma [Source:HGNC Symbol;Acc:HGNC:15741]	55	1.0569764375686646	0.16026187	Yes	
row_11	TRAF3IP2	TRAF3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1343]	57	1.0558617115020752	0.17327857	Yes	
row_12	SFR1	SWI5 dependent homologous recombination repair protein 1 [Source:HGNC Symbol;Acc:HGNC:29574]	62	1.042333722114563	0.18593016	Yes	
row_13	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	68	1.026273488998413	0.19831693	Yes	
row_14	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	74	1.0106205940246582	0.21050976	Yes	
row_15	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	75	1.0086495876312256	0.22300732	Yes	
row_16	TP53BP2	tumor protein p53 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:12000]	76	1.007964015007019	0.23549637	Yes	
row_17	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	78	1.0019387006759644	0.24784495	Yes	
row_18	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	82	0.9976264238357544	0.26000842	Yes	
row_19	LINC01093	long intergenic non-protein coding RNA 1093 [Source:HGNC Symbol;Acc:HGNC:49218]	93	0.9582589864730835	0.27122334	Yes	
row_20	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	97	0.9541544914245605	0.28284818	Yes	
row_21	KLF6	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	103	0.9341185092926025	0.29409313	Yes	
row_22	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	105	0.9325430393218994	0.30558187	Yes	
row_23	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	124	0.907819926738739	0.3156452	Yes	
row_24	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	125	0.9077500700950623	0.32689255	Yes	
row_25	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	131	0.8936907052993774	0.3376366	Yes	
row_26	PLGRKT	plasminogen receptor with a C-terminal lysine [Source:HGNC Symbol;Acc:HGNC:23633]	145	0.8729170560836792	0.3475966	Yes	
row_27	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	157	0.8610194325447083	0.35754082	Yes	
row_28	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]	161	0.8542460799217224	0.36792776	Yes	
row_29	MAP3K5	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]	162	0.8535659909248352	0.37850377	Yes	
row_30	CSF3	colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]	179	0.8346830010414124	0.38779256	Yes	
row_31	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	183	0.830837070941925	0.39788947	Yes	
row_32	PDSS1	decaprenyl diphosphate synthase subunit 1 [Source:HGNC Symbol;Acc:HGNC:17759]	190	0.821061909198761	0.40766776	Yes	
row_33	PLD1	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	194	0.8181377053260803	0.4176073	Yes	
row_34	NEDD4	NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]	197	0.8118028044700623	0.4275342	Yes	
row_35	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	198	0.811340868473053	0.43758702	Yes	
row_36	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	212	0.7890312075614929	0.44650763	Yes	
row_37	ETV3	ETS variant transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3492]	220	0.7812739014625549	0.45572713	Yes	
row_38	RAB33A	RAB33A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9773]	239	0.7611693143844604	0.4639734	Yes	
row_39	BAALC	BAALC binder of MAP3K1 and KLF4 [Source:HGNC Symbol;Acc:HGNC:14333]	251	0.7444623708724976	0.47247344	Yes	
row_40	NDP	norrin cystine knot growth factor NDP [Source:HGNC Symbol;Acc:HGNC:7678]	261	0.7364916801452637	0.4810064	Yes	
row_41	GRAMD1A	GRAM domain containing 1A [Source:HGNC Symbol;Acc:HGNC:29305]	292	0.7123079299926758	0.4878573	Yes	
row_42	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30034]	295	0.7114759683609009	0.4965411	Yes	
row_43	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	299	0.710315465927124	0.5051447	Yes	
row_44	NEDD4L	NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]	306	0.7040473222732544	0.51347315	Yes	
row_45	KANK1	KN motif and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:19309]	323	0.6922581791877747	0.5209972	Yes	
row_46	RUBCNL	rubicon like autophagy enhancer [Source:HGNC Symbol;Acc:HGNC:20420]	338	0.679704487323761	0.52849746	Yes	
row_47	SLAMF1	signaling lymphocytic activation molecule family member 1 [Source:HGNC Symbol;Acc:HGNC:10903]	356	0.6672143340110779	0.53564537	Yes	
row_48	SERPINB7	serpin family B member 7 [Source:HGNC Symbol;Acc:HGNC:13902]	363	0.6617943644523621	0.5434503	Yes	
row_49	MAP3K4	mitogen-activated protein kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6856]	378	0.653654932975769	0.55062777	Yes	
row_50	USP12	ubiquitin specific peptidase 12 [Source:HGNC Symbol;Acc:HGNC:20485]	386	0.6507821679115295	0.5582304	Yes	
row_51	CYB5R2	cytochrome b5 reductase 2 [Source:HGNC Symbol;Acc:HGNC:24376]	393	0.6461043953895569	0.5658409	Yes	
row_52	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	417	0.6343209147453308	0.5721863	Yes	
row_53	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	441	0.6179383993148804	0.5783287	Yes	
row_54	SLC37A3	solute carrier family 37 member 3 [Source:HGNC Symbol;Acc:HGNC:20651]	444	0.6157984137535095	0.58582705	Yes	
row_55	TRIP10	thyroid hormone receptor interactor 10 [Source:HGNC Symbol;Acc:HGNC:12304]	470	0.6044180393218994	0.59167033	Yes	
row_56	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	490	0.5933591723442078	0.5977715	Yes	
row_57	STON2	stonin 2 [Source:HGNC Symbol;Acc:HGNC:30652]	500	0.5901910662651062	0.6044918	Yes	
row_58	RPS6KC1	ribosomal protein S6 kinase C1 [Source:HGNC Symbol;Acc:HGNC:10439]	504	0.5881795883178711	0.61158204	Yes	
row_59	STK26	serine/threonine kinase 26 [Source:HGNC Symbol;Acc:HGNC:18174]	517	0.5810868144035339	0.617992	Yes	
row_60	RBM17	RNA binding motif protein 17 [Source:HGNC Symbol;Acc:HGNC:16944]	571	0.5602988004684448	0.6214454	Yes	
row_61	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	581	0.5543898940086365	0.627722	Yes	
row_62	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	587	0.5534459948539734	0.6342503	Yes	
row_63	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1 [Source:HGNC Symbol;Acc:HGNC:10528]	609	0.5464725494384766	0.6396389	Yes	
row_64	RND1	Rho family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:18314]	614	0.5452896356582642	0.64613193	Yes	
row_65	FLT1	fms related receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]	625	0.5427453517913818	0.6521985	Yes	
row_66	CD274	CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]	654	0.5304436683654785	0.6569277	Yes	
row_67	BASP1	brain abundant membrane attached signal protein 1 [Source:HGNC Symbol;Acc:HGNC:957]	672	0.5274247527122498	0.66234356	Yes	
row_68	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	677	0.5256510972976685	0.6685933	Yes	
row_69	FBXO39	F-box protein 39 [Source:HGNC Symbol;Acc:HGNC:28565]	688	0.5210320949554443	0.6743908	Yes	
row_70	EHF	ETS homologous factor [Source:HGNC Symbol;Acc:HGNC:3246]	778	0.4895521402359009	0.6745978	Yes	
row_71	GJB2	gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]	784	0.48754507303237915	0.68030953	Yes	
row_72	HCAR3	hydroxycarboxylic acid receptor 3 [Source:HGNC Symbol;Acc:HGNC:16824]	826	0.47423383593559265	0.6834865	Yes	
row_73	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357]	841	0.46994757652282715	0.68838775	Yes	
