NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	538	0.5743975043296814	-0.019107725	No	
row_1	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]	549	0.5683605074882507	-0.0036791523	No	
row_2	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	1019	0.4190792143344879	-0.022647146	No	
row_3	IRF3	interferon regulatory factor 3 [Source:HGNC Symbol;Acc:HGNC:6118]	1061	0.4072931408882141	-0.01381488	No	
row_4	FAM13A	family with sequence similarity 13 member A [Source:HGNC Symbol;Acc:HGNC:19367]	1531	0.31571221351623535	-0.035708398	No	
row_5	MSTO1	misato mitochondrial distribution and morphology regulator 1 [Source:HGNC Symbol;Acc:HGNC:29678]	1678	0.2945497930049896	-0.036969017	No	
row_6	TMEM165	transmembrane protein 165 [Source:HGNC Symbol;Acc:HGNC:30760]	1798	0.28054267168045044	-0.036851272	No	
row_7	RNF128	ring finger protein 128 [Source:HGNC Symbol;Acc:HGNC:21153]	1876	0.27189698815345764	-0.034217425	No	
row_8	CLEC4D	C-type lectin domain family 4 member D [Source:HGNC Symbol;Acc:HGNC:14554]	2014	0.25806230306625366	-0.035919126	No	
row_9	CDK5	cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]	2516	0.21726246178150177	-0.06270246	No	
row_10	DISP1	dispatched RND transporter family member 1 [Source:HGNC Symbol;Acc:HGNC:19711]	2867	0.19498443603515625	-0.0801906	No	
row_11	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	2937	0.19127944111824036	-0.07931254	No	
row_12	LPCAT1	lysophosphatidylcholine acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25718]	3114	0.18197065591812134	-0.08573141	No	
row_13	DCTN6	dynactin subunit 6 [Source:HGNC Symbol;Acc:HGNC:16964]	3154	0.17980878055095673	-0.083206005	No	
row_14	TOM1	target of myb1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11982]	3394	0.1698756068944931	-0.09410839	No	
row_15	PON2	paraoxonase 2 [Source:HGNC Symbol;Acc:HGNC:9205]	3524	0.16608066856861115	-0.09788751	No	
row_16	CEP57	centrosomal protein 57 [Source:HGNC Symbol;Acc:HGNC:30794]	3539	0.16549187898635864	-0.094123974	No	
row_17	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	3567	0.16454672813415527	-0.091241725	No	
row_18	LYPD6B	LY6/PLAUR domain containing 6B [Source:HGNC Symbol;Acc:HGNC:27018]	4111	0.1465861201286316	-0.12278616	No	
row_19	CCDC93	coiled-coil domain containing 93 [Source:HGNC Symbol;Acc:HGNC:25611]	4270	0.14250688254833221	-0.12913874	No	
row_20	BBS7	Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758]	4273	0.14230972528457642	-0.12524252	No	
row_21	ATP6V1G1	ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]	4605	0.13270407915115356	-0.1432444	No	
row_22	ARHGAP39	Rho GTPase activating protein 39 [Source:HGNC Symbol;Acc:HGNC:29351]	4649	0.1313852220773697	-0.14235242	No	
row_23	SAMD8	sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]	5100	0.11964753270149231	-0.16854608	No	
row_24	PPP1R27	protein phosphatase 1 regulatory subunit 27 [Source:HGNC Symbol;Acc:HGNC:16813]	5253	0.11526129394769669	-0.17527539	No	
row_25	CUTA	cutA divalent cation tolerance homolog [Source:HGNC Symbol;Acc:HGNC:21101]	5320	0.1133388876914978	-0.17640603	No	
row_26	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	5374	0.11162923276424408	-0.17673053	No	
row_27	DTNBP1	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	5575	0.10536617040634155	-0.18689507	No	
row_28	TMEM9	transmembrane protein 9 [Source:HGNC Symbol;Acc:HGNC:18823]	5690	0.10188142210245132	-0.1915052	No	
row_29	RAB38	RAB38, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9776]	5813	0.09837692975997925	-0.19674036	No	
row_30	FAM174A	family with sequence similarity 174 member A [Source:HGNC Symbol;Acc:HGNC:24943]	5943	0.09483623504638672	-0.20253585	No	
row_31	LRRC42	leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792]	5995	0.093280129134655	-0.20324822	No	
row_32	KIAA1328	KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248]	6062	0.09127186983823776	-0.20500341	No	
row_33	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	6168	0.0878291204571724	-0.20941964	No	
row_34	METTL17	methyltransferase like 17 [Source:HGNC Symbol;Acc:HGNC:19280]	6182	0.0874655619263649	-0.20779869	No	
row_35	FAM8A1	family with sequence similarity 8 member A1 [Source:HGNC Symbol;Acc:HGNC:16372]	6321	0.08324990421533585	-0.21451372	No	
row_36	LAYN	layilin [Source:HGNC Symbol;Acc:HGNC:29471]	6586	0.07543738931417465	-0.22973225	No	
row_37	NDEL1	nudE neurodevelopment protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:17620]	6909	0.06595192104578018	-0.24903177	No	
row_38	SORT1	sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]	6927	0.06541776657104492	-0.24829775	No	
row_39	STOML2	stomatin like 2 [Source:HGNC Symbol;Acc:HGNC:14559]	7072	0.0607389360666275	-0.2560443	No	
row_40	LBP	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]	7093	0.06012699380517006	-0.25565723	No	
row_41	SLC27A1	solute carrier family 27 member 1 [Source:HGNC Symbol;Acc:HGNC:10995]	7117	0.05933314934372902	-0.25548983	No	
row_42	SRFBP1	serum response factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26333]	7481	0.047609150409698486	-0.27800354	No	
row_43	ZWINT	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]	7737	0.038653068244457245	-0.29367155	No	
row_44	AKAP8L	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	7887	0.03330916166305542	-0.30252308	No	
row_45	NMRK1	nicotinamide riboside kinase 1 [Source:HGNC Symbol;Acc:HGNC:26057]	8035	0.028367098420858383	-0.311383	No	
row_46	LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	8231	0.021788451820611954	-0.32358435	No	
row_47	DPP7	dipeptidyl peptidase 7 [Source:HGNC Symbol;Acc:HGNC:14892]	8478	0.014240320771932602	-0.33935168	No	
row_48	ATP23	ATP23 metallopeptidase and ATP synthase assembly factor homolog [Source:HGNC Symbol;Acc:HGNC:29452]	8682	0.006121826823800802	-0.35252228	No	
row_49	OSGIN1	oxidative stress induced growth inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30093]	8706	0.005180532578378916	-0.35388753	No	
row_50	DCTN2	dynactin subunit 2 [Source:HGNC Symbol;Acc:HGNC:2712]	8786	0.0022183714900165796	-0.35901767	No	
row_51	LATS2	large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:HGNC:6515]	8957	-0.0035397012252360582	-0.37009215	No	
row_52	MINK1	misshapen like kinase 1 [Source:HGNC Symbol;Acc:HGNC:17565]	8988	-0.004664416424930096	-0.37193212	No	
row_53	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	9013	-0.005514609161764383	-0.37335366	No	
row_54	FKBP8	FKBP prolyl isomerase 8 [Source:HGNC Symbol;Acc:HGNC:3724]	9034	-0.006149553693830967	-0.37449425	No	
row_55	AAK1	AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]	9037	-0.006244530435651541	-0.37444898	No	
row_56	GABARAP	GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067]	9067	-0.0074286009185016155	-0.376145	No	
row_57	RPL36	ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:13631]	9140	-0.010020892135798931	-0.3805942	No	
row_58	COX5B	cytochrome c oxidase subunit 5B [Source:HGNC Symbol;Acc:HGNC:2269]	9184	-0.011790125630795956	-0.38308704	No	
row_59	KIF21B	kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442]	9260	-0.014735037460923195	-0.3876	No	
row_60	ABTB1	ankyrin repeat and BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18275]	9327	-0.01740146614611149	-0.39144588	No	
row_61	SMIM29	small integral membrane protein 29 [Source:HGNC Symbol;Acc:HGNC:1340]	9338	-0.01791856437921524	-0.39159608	No	
row_62	ALKBH7	alkB homolog 7 [Source:HGNC Symbol;Acc:HGNC:21306]	9383	-0.019253911450505257	-0.39394343	No	
row_63	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	9390	-0.01955586113035679	-0.39378434	No	
row_64	CPNE2	copine 2 [Source:HGNC Symbol;Acc:HGNC:2315]	9559	-0.0263972245156765	-0.40408042	No	
row_65	SAR1B	secretion associated Ras related GTPase 1B [Source:HGNC Symbol;Acc:HGNC:10535]	9561	-0.02651003748178482	-0.40339586	No	
row_66	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase [Source:HGNC Symbol;Acc:HGNC:30042]	9690	-0.03112690895795822	-0.41092876	No	
row_67	TRIM24	tripartite motif containing 24 [Source:HGNC Symbol;Acc:HGNC:11812]	9813	-0.03731045871973038	-0.41789225	No	
row_68	ZFAND2A	zinc finger AN1-type containing 2A [Source:HGNC Symbol;Acc:HGNC:28073]	9824	-0.037770356982946396	-0.4174806	No	
row_69	IMPDH1	inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052]	9840	-0.038577813655138016	-0.41737476	No	
row_70	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	10022	-0.04704630374908447	-0.42794093	No	
row_71	NT5C3B	5'-nucleotidase, cytosolic IIIB [Source:HGNC Symbol;Acc:HGNC:28300]	10046	-0.04813240468502045	-0.42809054	No	
row_72	RING1	ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:10018]	10062	-0.04906029999256134	-0.42768803	No	
row_73	STAC2	SH3 and cysteine rich domain 2 [Source:HGNC Symbol;Acc:HGNC:23990]	10159	-0.052811089903116226	-0.43250376	No	
row_74	LDB1	LIM domain binding 1 [Source:HGNC Symbol;Acc:HGNC:6532]	10359	-0.06379766762256622	-0.44377905	No	
row_75	PUSL1	pseudouridine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26914]	10360	-0.0638090968132019	-0.44197312	No	
row_76	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	10395	-0.06542035192251205	-0.4423565	No	
