NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	0	1.5945982933044434	0.027410055	Yes	
row_1	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	6	1.4138813018798828	0.05138476	Yes	
row_2	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	8	1.3613487482070923	0.07471962	Yes	
row_3	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	11	1.3334439992904663	0.097509034	Yes	
row_4	ACOD1	aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904]	17	1.2336763143539429	0.11838614	Yes	
row_5	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	20	1.211564302444458	0.13908052	Yes	
row_6	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	22	1.1969542503356934	0.15958956	Yes	
row_7	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	24	1.1932920217514038	0.18003565	Yes	
row_8	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	36	1.1162598133087158	0.19849971	Yes	
row_9	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	38	1.1111482381820679	0.2175338	Yes	
row_10	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	39	1.1078318357467651	0.23657666	Yes	
row_11	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	61	1.0476607084274292	0.25320366	Yes	
row_12	TMEM106A	transmembrane protein 106A [Source:HGNC Symbol;Acc:HGNC:28288]	64	1.041956901550293	0.2709826	Yes	
row_13	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	75	1.0086495876312256	0.2876627	Yes	
row_14	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	82	0.9976264238357544	0.30441648	Yes	
row_15	IL1RN	interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]	95	0.9564149379730225	0.32006714	Yes	
row_16	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	97	0.9541544914245605	0.3364026	Yes	
row_17	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	98	0.9527111053466797	0.35277906	Yes	
row_18	CA13	carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]	101	0.9436272382736206	0.36886778	Yes	
row_19	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	124	0.907819926738739	0.38302523	Yes	
row_20	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	172	0.8412966132164001	0.39439443	Yes	
row_21	CSF3	colony stimulating factor 3 [Source:HGNC Symbol;Acc:HGNC:2438]	179	0.8346830010414124	0.4083473	Yes	
row_22	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	198	0.811340868473053	0.4211095	Yes	
row_23	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]	221	0.7811320424079895	0.43308926	Yes	
row_24	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	237	0.7616812586784363	0.4451952	Yes	
row_25	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9581]	255	0.7427312731742859	0.45684382	Yes	
row_26	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	336	0.6809192299842834	0.4632852	Yes	
row_27	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	360	0.6633985042572021	0.4731754	Yes	
row_28	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	374	0.6546040773391724	0.48357233	Yes	
row_29	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	419	0.6335368156433105	0.49156767	Yes	
row_30	RTP4	receptor transporter protein 4 [Source:HGNC Symbol;Acc:HGNC:23992]	447	0.6153697371482849	0.50036913	Yes	
row_31	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	493	0.5929352641105652	0.5076008	Yes	
row_32	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	581	0.5543898940086365	0.51140666	Yes	
row_33	UBR4	ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:HGNC:30313]	710	0.5153253078460693	0.5118437	Yes	
row_34	MAPK6	mitogen-activated protein kinase 6 [Source:HGNC Symbol;Acc:HGNC:6879]	739	0.5023564696311951	0.51863676	Yes	
row_35	CLIC4	chloride intracellular channel 4 [Source:HGNC Symbol;Acc:HGNC:13518]	777	0.48976847529411316	0.5246213	Yes	
row_36	UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	801	0.48330777883529663	0.5314159	Yes	
row_37	GNB4	G protein subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:20731]	807	0.4799327254295349	0.5393367	Yes	
row_38	RRAS2	RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]	808	0.47931259870529175	0.5475757	Yes	
row_39	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	888	0.45383819937705994	0.55017954	Yes	
row_40	EBI3	Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129]	951	0.43647608160972595	0.5536033	Yes	
row_41	CHMP4B	charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:HGNC:16171]	1010	0.4205234944820404	0.557016	Yes	
row_42	BATF3	basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]	1020	0.4183557331562042	0.5636152	Yes	
row_43	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	1023	0.41819578409194946	0.5706721	Yes	
row_44	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	1050	0.41012638807296753	0.57601136	Yes	
row_45	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	1089	0.400249719619751	0.5803914	Yes	
row_46	CH25H	cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]	1267	0.3608922064304352	0.57495016	Yes	
row_47	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	1303	0.3546917140483856	0.5787444	Yes	
row_48	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	1310	0.35370147228240967	0.58442956	Yes	
row_49	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	1351	0.34558555483818054	0.58773834	Yes	
row_50	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	1370	0.3404088020324707	0.59240556	Yes	
row_51	RHOU	ras homolog family member U [Source:HGNC Symbol;Acc:HGNC:17794]	1376	0.3394242525100708	0.59791106	Yes	
row_52	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	1391	0.3361302614212036	0.6027679	Yes	
row_53	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	1479	0.3209107518196106	0.6025604	Yes	
row_54	ZBP1	Z-DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:16176]	1573	0.3097933530807495	0.6017671	Yes	
row_55	SLCO3A1	solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952]	1589	0.3073490858078003	0.6060634	Yes	
row_56	ELP1	elongator acetyltransferase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:5959]	1641	0.2994009852409363	0.60785466	Yes	
row_57	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	1646	0.29868069291114807	0.6127256	Yes	
row_58	RMDN3	regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:HGNC:25550]	1738	0.28658556938171387	0.61166495	Yes	
row_59	DLL4	delta like canonical Notch ligand 4 [Source:HGNC Symbol;Acc:HGNC:2910]	1795	0.2805880904197693	0.6128039	Yes	
row_60	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	1850	0.27452054619789124	0.61397004	Yes	
row_61	TNIP2	TNFAIP3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:19118]	1893	0.26990368962287903	0.6158464	Yes	
row_62	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	2001	0.2592565715312958	0.61326337	No	
row_63	SLC15A3	solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068]	2149	0.24672086536884308	0.60783327	No	
row_64	CD70	CD70 molecule [Source:HGNC Symbol;Acc:HGNC:11937]	2150	0.2466687113046646	0.6120733	No	
row_65	PGS1	phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]	2188	0.24426347017288208	0.61383784	No	
row_66	SFXN1	sideroflexin 1 [Source:HGNC Symbol;Acc:HGNC:16085]	2380	0.22656157612800598	0.6051665	No	
row_67	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	2485	0.21881936490535736	0.6020857	No	
row_68	MOV10	Mov10 RNA helicase [Source:HGNC Symbol;Acc:HGNC:7200]	2635	0.20894409716129303	0.5958747	No	
row_69	THYN1	thymocyte nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:29560]	2651	0.20764586329460144	0.59845716	No	
row_70	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	2655	0.20758670568466187	0.60182804	No	
row_71	EBNA1BP2	EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15531]	2663	0.20721137523651123	0.6049293	No	
row_72	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	2781	0.20003052055835724	0.6006704	No	
row_73	TOR1AIP1	torsin 1A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29456]	3054	0.18488354980945587	0.58595365	No	
row_74	IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	3379	0.17023655772209167	0.56756413	No	
row_75	SYTL3	synaptotagmin like 3 [Source:HGNC Symbol;Acc:HGNC:15587]	3433	0.16892024874687195	0.5669809	No	
row_76	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	3632	0.16186854243278503	0.556737	No	
row_77	NAA20	N-alpha-acetyltransferase 20, NatB catalytic subunit [Source:HGNC Symbol;Acc:HGNC:15908]	3677	0.16023723781108856	0.55659664	No	
row_78	TOR3A	torsin family 3 member A [Source:HGNC Symbol;Acc:HGNC:11997]	3839	0.1549164354801178	0.54866743	No	
row_79	SGCB	sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]	3889	0.15357205271720886	0.54808354	No	
row_80	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	4011	0.1499493271112442	0.5427005	No	
