NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOCT	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	2	1.4628925323486328	0.025149042	Yes	
row_1	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	6	1.4138813018798828	0.04938528	Yes	
row_2	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	20	1.211564302444458	0.069466926	Yes	
row_3	RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	28	1.1742236614227295	0.08929825	Yes	
row_4	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	36	1.1162598133087158	0.108127885	Yes	
row_5	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	38	1.1111482381820679	0.12726416	Yes	
row_6	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	40	1.1072900295257568	0.14633375	Yes	
row_7	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	52	1.0609015226364136	0.16394341	Yes	
row_8	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	54	1.060161828994751	0.18219855	Yes	
row_9	TRAF3IP2	TRAF3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1343]	57	1.0558617115020752	0.20031358	Yes	
row_10	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	67	1.0290311574935913	0.21750413	Yes	
row_11	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	75	1.0086495876312256	0.23447412	Yes	
row_12	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	82	0.9976264238357544	0.25131944	Yes	
row_13	TSLP	thymic stromal lymphopoietin [Source:HGNC Symbol;Acc:HGNC:30743]	87	0.9845985770225525	0.26807126	Yes	
row_14	N4BP1	NEDD4 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29850]	90	0.9690918326377869	0.2846868	Yes	
row_15	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	92	0.9605005979537964	0.30121967	Yes	
row_16	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	97	0.9541544914245605	0.3174454	Yes	
row_17	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	98	0.9527111053466797	0.3339095	Yes	
row_18	EBF1	EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]	211	0.7894707322120667	0.3401798	Yes	
row_19	ETV3	ETS variant transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3492]	220	0.7812739014625549	0.3531546	Yes	
row_20	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	227	0.7718035578727722	0.36609742	Yes	
row_21	SAV1	salvador family WW domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:17795]	233	0.7655798196792603	0.3789985	Yes	
row_22	RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	260	0.7373365163803101	0.3900291	Yes	
row_23	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	273	0.72670978307724	0.40179765	Yes	
row_24	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	281	0.7188384532928467	0.41375932	Yes	
row_25	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30034]	295	0.7114759683609009	0.4251988	Yes	
row_26	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	336	0.6809192299842834	0.43433282	Yes	
row_27	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	374	0.6546040773391724	0.4432096	Yes	
row_28	REL	REL proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9954]	375	0.6541568040847778	0.4545143	Yes	
row_29	MYO5C	myosin VC [Source:HGNC Symbol;Acc:HGNC:7604]	412	0.6364401578903198	0.463143	Yes	
row_30	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	443	0.6162541508674622	0.4718178	Yes	
row_31	PML	PML nuclear body scaffold [Source:HGNC Symbol;Acc:HGNC:9113]	512	0.5838550329208374	0.47743124	Yes	
row_32	SMIM3	small integral membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:30248]	613	0.5455759167671204	0.48027667	Yes	
row_33	CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	658	0.5297719240188599	0.48653537	Yes	
row_34	TULP2	TUB like protein 2 [Source:HGNC Symbol;Acc:HGNC:12424]	663	0.5287120938301086	0.4954089	Yes	
row_35	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	667	0.5280913710594177	0.50433755	Yes	
