NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	573	0.5596879124641418	-0.030372271	No	
row_1	ZFP36L2	ZFP36 ring finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:1108]	1872	0.2722480893135071	-0.112301074	No	
row_2	RTCB	RNA 2',3'-cyclic phosphate and 5'-OH ligase [Source:HGNC Symbol;Acc:HGNC:26935]	2010	0.25834906101226807	-0.117920846	No	
row_3	CSTF2	cleavage stimulation factor subunit 2 [Source:HGNC Symbol;Acc:HGNC:2484]	2925	0.19180749356746674	-0.17561051	No	
row_4	RNF44	ring finger protein 44 [Source:HGNC Symbol;Acc:HGNC:19180]	2997	0.18793976306915283	-0.17781027	No	
row_5	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10871]	5166	0.11750102043151855	-0.31909928	No	
row_6	CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	5285	0.11425051838159561	-0.32536724	No	
row_7	PRR13	proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528]	5739	0.1005152240395546	-0.35388774	No	
row_8	RAB8A	RAB8A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:7007]	6181	0.0874977633357048	-0.38178927	No	
row_9	PTTG1IP	PTTG1 interacting protein [Source:HGNC Symbol;Acc:HGNC:13524]	6269	0.08506259322166443	-0.38639966	No	
row_10	CFP	complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]	6598	0.07493463903665543	-0.40702182	No	
row_11	FRAT1	FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]	6918	0.06570947170257568	-0.4271727	No	
row_12	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]	6924	0.0655149295926094	-0.42663828	No	
row_13	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	7050	0.06132612004876137	-0.43406525	No	
row_14	LRP10	LDL receptor related protein 10 [Source:HGNC Symbol;Acc:HGNC:14553]	7622	0.04240826517343521	-0.47112632	No	
row_15	TACC1	transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]	7975	0.030262578278779984	-0.49391878	No	
row_16	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1 [Source:HGNC Symbol;Acc:HGNC:11102]	8063	0.027263840660452843	-0.49929127	No	
row_17	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	8219	0.022109821438789368	-0.5092119	No	
row_18	DDX17	DEAD-box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]	8343	0.018132448196411133	-0.5170766	No	
row_19	AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	8540	0.011743983253836632	-0.5298352	No	
row_20	MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	8971	-0.003975613974034786	-0.5581133	No	
row_21	GABARAP	GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067]	9067	-0.0074286009185016155	-0.5642744	No	
row_22	SPG21	SPG21 abhydrolase domain containing, maspardin [Source:HGNC Symbol;Acc:HGNC:20373]	9116	-0.009279996156692505	-0.5673145	No	
row_23	ARHGAP1	Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:673]	9139	-0.009975562803447247	-0.5686324	No	
row_24	APMAP	adipocyte plasma membrane associated protein [Source:HGNC Symbol;Acc:HGNC:13238]	9345	-0.01808883622288704	-0.5819003	No	
row_25	NCKAP1L	NCK associated protein 1 like [Source:HGNC Symbol;Acc:HGNC:4862]	9409	-0.020471667870879173	-0.5857811	No	
row_26	SF3B2	splicing factor 3b subunit 2 [Source:HGNC Symbol;Acc:HGNC:10769]	9466	-0.022525949403643608	-0.5891737	No	
row_27	LILRB1	leukocyte immunoglobulin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6605]	9562	-0.026511428877711296	-0.5950832	No	
row_28	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	9626	-0.028768615797162056	-0.59885454	No	
row_29	ZBTB44	zinc finger and BTB domain containing 44 [Source:HGNC Symbol;Acc:HGNC:25001]	9665	-0.030045853927731514	-0.60096204	No	
row_30	ANKRD13A	ankyrin repeat domain 13A [Source:HGNC Symbol;Acc:HGNC:21268]	9945	-0.043570708483457565	-0.6187694	No	
row_31	PLIN3	perilipin 3 [Source:HGNC Symbol;Acc:HGNC:16893]	9997	-0.04583726450800896	-0.6215251	No	
row_32	KIAA2013	KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]	10098	-0.050185732543468475	-0.6274519	No	
row_33	DCAF7	DDB1 and CUL4 associated factor 7 [Source:HGNC Symbol;Acc:HGNC:30915]	10179	-0.0536748506128788	-0.63201493	No	
