NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCARB2	scavenger receptor class B member 2 [Source:HGNC Symbol;Acc:HGNC:1665]	1452	0.3254398703575134	-0.091161	No	
row_1	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	1479	0.3209107518196106	-0.08848779	No	
row_2	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:9386]	1549	0.3129197061061859	-0.088755146	No	
row_3	S100A2	S100 calcium binding protein A2 [Source:HGNC Symbol;Acc:HGNC:10492]	2203	0.24289342761039734	-0.12843335	No	
row_4	SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]	2525	0.21636366844177246	-0.14661326	No	
row_5	FKBP15	FKBP prolyl isomerase family member 15 [Source:HGNC Symbol;Acc:HGNC:23397]	2588	0.21151745319366455	-0.14780535	No	
row_6	LINC01010	long intergenic non-protein coding RNA 1010 [Source:HGNC Symbol;Acc:HGNC:48978]	3401	0.16971200704574585	-0.19895303	No	
row_7	PRR13	proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528]	5739	0.1005152240395546	-0.3514611	No	
row_8	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	5851	0.09733298420906067	-0.35743997	No	
row_9	ZCCHC2	zinc finger CCHC-type containing 2 [Source:HGNC Symbol;Acc:HGNC:22916]	6081	0.09064007550477982	-0.37128004	No	
row_10	FTH1	ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]	6235	0.08605331927537918	-0.38017854	No	
row_11	CAP1	cyclase associated actin cytoskeleton regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:20040]	6828	0.06817768514156342	-0.4182276	No	
row_12	FRAT1	FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]	6918	0.06570947170257568	-0.42319	No	
row_13	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	7050	0.06132612004876137	-0.43097776	No	
row_14	MYL6	myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]	7286	0.05381694436073303	-0.44571614	No	
row_15	MIGA2	mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621]	7831	0.03524091839790344	-0.4810547	No	
row_16	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	8185	0.023222239688038826	-0.50398093	No	
row_17	RPL27	ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328]	8627	0.008218126371502876	-0.5329066	No	
row_18	CLIC1	chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062]	8870	-6.461819866672158E-4	-0.5488325	No	
row_19	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	8922	-0.0022484634537249804	-0.55215985	No	
row_20	PSD4	pleckstrin and Sec7 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19096]	9026	-0.005842710379511118	-0.55886215	No	
row_21	JMJD8	jumonji domain containing 8 [Source:HGNC Symbol;Acc:HGNC:14148]	9051	-0.006825577467679977	-0.56034917	No	
row_22	GABARAP	GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067]	9067	-0.0074286009185016155	-0.56123537	No	
row_23	ARID5A	AT-rich interaction domain 5A [Source:HGNC Symbol;Acc:HGNC:17361]	9326	-0.017388729378581047	-0.57798594	No	
row_24	PPP4C	protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]	9438	-0.02135547623038292	-0.585003	No	
row_25	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0 [Source:HGNC Symbol;Acc:HGNC:5030]	9519	-0.02478831075131893	-0.58993196	No	
row_26	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	9626	-0.028768615797162056	-0.59651846	No	
row_27	NDUFB2	NADH:ubiquinone oxidoreductase subunit B2 [Source:HGNC Symbol;Acc:HGNC:7697]	9693	-0.031295884400606155	-0.6004366	No	
row_28	PSMA7	proteasome 20S subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:9536]	9846	-0.03876536712050438	-0.6099155	No	
row_29	TSPAN17	tetraspanin 17 [Source:HGNC Symbol;Acc:HGNC:13594]	9902	-0.04155150055885315	-0.6129692	No	
row_30	BCAP31	B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695]	9923	-0.04234382137656212	-0.6137075	No	
row_31	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	9937	-0.043204165995121	-0.61397314	No	
row_32	RING1	ring finger protein 1 [Source:HGNC Symbol;Acc:HGNC:10018]	10062	-0.04906029999256134	-0.6214676	No	
