NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPIDR	scaffold protein involved in DNA repair [Source:HGNC Symbol;Acc:HGNC:28971]	2926	0.19180089235305786	-0.18977275	No	
row_1	NUDT16L1	nudix hydrolase 16 like 1 [Source:HGNC Symbol;Acc:HGNC:28154]	3074	0.18404462933540344	-0.19667703	No	
row_2	PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	4166	0.1452656090259552	-0.26632443	No	
row_3	TACC3	transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]	5111	0.11906872689723969	-0.3266875	No	
row_4	CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	5285	0.11425051838159561	-0.33635613	No	
row_5	SNX27	sorting nexin 27 [Source:HGNC Symbol;Acc:HGNC:20073]	5616	0.10417497903108597	-0.35651448	No	
row_6	MAP3K3	mitogen-activated protein kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6855]	5696	0.10173382610082626	-0.36018234	No	
row_7	PRR13	proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528]	5739	0.1005152240395546	-0.36143225	No	
row_8	RAB8A	RAB8A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:7007]	6181	0.0874977633357048	-0.38915095	No	
row_9	JUND	JunD proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6206]	6298	0.08409370481967926	-0.39552107	No	
row_10	TGIF2	TGFB induced factor homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15764]	6463	0.07917041331529617	-0.40512604	No	
row_11	FRAT1	FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]	6918	0.06570947170257568	-0.43402925	No	
row_12	GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	7256	0.05473334714770317	-0.455394	No	
row_13	TACC1	transforming acidic coiled-coil containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11522]	7975	0.030262578278779984	-0.50221497	No	
row_14	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1 [Source:HGNC Symbol;Acc:HGNC:11102]	8063	0.027263840660452843	-0.5075325	No	
row_15	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	8219	0.022109821438789368	-0.51740515	No	
row_16	DDX17	DEAD-box helicase 17 [Source:HGNC Symbol;Acc:HGNC:2740]	8343	0.018132448196411133	-0.5252308	No	
row_17	MPEG1	macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]	8359	0.017493057996034622	-0.5259547	No	
row_18	ATP6V0E1	ATPase H+ transporting V0 subunit e1 [Source:HGNC Symbol;Acc:HGNC:863]	8542	0.011501491069793701	-0.53776526	No	
row_19	RPL27	ribosomal protein L27 [Source:HGNC Symbol;Acc:HGNC:10328]	8627	0.008218126371502876	-0.54317236	No	
row_20	CLIC1	chloride intracellular channel 1 [Source:HGNC Symbol;Acc:HGNC:2062]	8870	-6.461819866672158E-4	-0.5590973	No	
row_21	MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	8971	-0.003975613974034786	-0.5656219	No	
row_22	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	8973	-0.00401929160580039	-0.56562716	No	
row_23	ARHGAP45	Rho GTPase activating protein 45 [Source:HGNC Symbol;Acc:HGNC:17102]	8999	-0.005065109580755234	-0.56719697	No	
row_24	LAMTOR2	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 [Source:HGNC Symbol;Acc:HGNC:29796]	9020	-0.0057252622209489346	-0.56842756	No	
row_25	GABARAP	GABA type A receptor-associated protein [Source:HGNC Symbol;Acc:HGNC:4067]	9067	-0.0074286009185016155	-0.57134444	No	
row_26	ARHGAP1	Rho GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:673]	9139	-0.009975562803447247	-0.5758691	No	
row_27	KLHDC3	kelch domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20704]	9254	-0.014625629410147667	-0.583155	No	
row_28	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	9342	-0.01800098456442356	-0.58861214	No	
row_29	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	9626	-0.028768615797162056	-0.6068127	No	
row_30	PCBP2	poly(rC) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8648]	9742	-0.03378730267286301	-0.6138755	No	
row_31	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	9744	-0.033871155232191086	-0.6134306	No	
row_32	UNC45A	unc-45 myosin chaperone A [Source:HGNC Symbol;Acc:HGNC:30594]	9797	-0.03644305095076561	-0.6163051	No	
row_33	SNX3	sorting nexin 3 [Source:HGNC Symbol;Acc:HGNC:11174]	9830	-0.0382605716586113	-0.6178353	No	
row_34	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	9841	-0.03861716762185097	-0.61791146	No	
row_35	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	9861	-0.0394483283162117	-0.61856776	No	
row_36	PLIN3	perilipin 3 [Source:HGNC Symbol;Acc:HGNC:16893]	9997	-0.04583726450800896	-0.6267658	No	
row_37	ARL3	ADP ribosylation factor like GTPase 3 [Source:HGNC Symbol;Acc:HGNC:694]	10013	-0.04659164324402809	-0.62705094	No	
row_38	GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	10224	-0.055802058428525925	-0.6400372	No	
row_39	DIS3L	DIS3 like exosome 3'-5' exoribonuclease [Source:HGNC Symbol;Acc:HGNC:28698]	10272	-0.05895502492785454	-0.64224297	No	
row_40	ZNF467	zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]	10278	-0.059137143194675446	-0.64168054	No	
row_41	TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	10358	-0.06371987611055374	-0.6459216	No	
row_42	PTP4A2	protein tyrosine phosphatase 4A2 [Source:HGNC Symbol;Acc:HGNC:9635]	10387	-0.064946748316288	-0.646786	No	
row_43	MPG	N-methylpurine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:7211]	10444	-0.06785532087087631	-0.6494502	No	
row_44	ZBTB11-AS1	ZBTB11 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48573]	10448	-0.06792023777961731	-0.6486236	No	
row_45	BRD3	bromodomain containing 3 [Source:HGNC Symbol;Acc:HGNC:1104]	10637	-0.07750757038593292	-0.65983397	No	
row_46	ANKRD13D	ankyrin repeat domain 13D [Source:HGNC Symbol;Acc:HGNC:27880]	10848	-0.08923766762018204	-0.672316	No	
row_47	DYNLL1	dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476]	10907	-0.0922015905380249	-0.67474484	No	
row_48	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	10938	-0.09404346346855164	-0.6753022	No	
row_49	PGP	phosphoglycolate phosphatase [Source:HGNC Symbol;Acc:HGNC:8909]	10956	-0.09493106603622437	-0.6749902	No	
row_50	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	11063	-0.10030046850442886	-0.6804575	No	
row_51	COTL1	coactosin like F-actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18304]	11099	-0.10241572558879852	-0.68121785	No	
row_52	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	11243	-0.11030405014753342	-0.6889706	No	
row_53	VMO1	vitelline membrane outer layer 1 homolog [Source:HGNC Symbol;Acc:HGNC:30387]	11311	-0.1142459511756897	-0.6916596	No	
row_54	ICMT	isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:HGNC:5350]	11381	-0.11811546236276627	-0.69442207	No	
row_55	MLXIP	MLX interacting protein [Source:HGNC Symbol;Acc:HGNC:17055]	11433	-0.12144622206687927	-0.69594896	No	
row_56	LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	11492	-0.12509220838546753	-0.6978819	No	
row_57	NFIC	nuclear factor I C [Source:HGNC Symbol;Acc:HGNC:7786]	11505	-0.12583842873573303	-0.6967746	No	
row_58	WDR44	WD repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:30512]	11563	-0.12906469404697418	-0.69858176	No	
row_59	CSF1R	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	11700	-0.1367030143737793	-0.70547557	No	
row_60	DCLRE1C	DNA cross-link repair 1C [Source:HGNC Symbol;Acc:HGNC:17642]	11740	-0.14001090824604034	-0.70593244	No	
row_61	VPS35	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]	11785	-0.1429012566804886	-0.70667493	No	
row_62	DGKZ	diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857]	11795	-0.14373916387557983	-0.70510024	No	
