NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_DN	200	175		
GOLDRATH_EFF_VS_MEMORY_CD8_TCELL_UP	200	181		
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN	200	173		
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	200	178		
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_DN	200	167		
GOLDRATH_NAIVE_VS_MEMORY_CD8_TCELL_UP	200	182		
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_DN	200	141		
GSE10094_LCMV_VS_LISTERIA_IND_EFF_CD4_TCELL_UP	199	170		
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_DN	153	140		
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP	154	114		
GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_DN	165	144		
GSE10147_IL3_VS_IL3_AND_CPG_STIM_PDC_UP	148	106		
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN	144	108		
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_UP	166	154		
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN	164	132		
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_UP	152	131		
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	199	168		
GSE10239_KLRG1INT_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	200	163		
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_DN	200	186		
GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP	199	175		
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	200	183		
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	199	163		
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN	200	180		
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP	200	156		
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_DN	200	187		
GSE10239_NAIVE_VS_DAY4.5_EFF_CD8_TCELL_UP	199	178		
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	200	174		
GSE10239_NAIVE_VS_KLRG1HIGH_EFF_CD8_TCELL_UP	199	174		
GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_DN	200	173		
GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP	199	175		
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_DN	198	145		
GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP	200	168		
GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	200	174		
GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	200	163		
GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	199	174		
GSE10240_CTRL_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	200	161		
GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	200	173		
GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	200	176		
GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	199	167		
GSE10240_IL17_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	199	180		
GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	200	172		
GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	200	175		
GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	200	164		
GSE10240_IL22_VS_IL22_AND_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	200	173		
