NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	Details ...	160	0.6405593	2.3911746	0.0	0.0	0.0	2303	tags=45%, list=15%, signal=52%	
GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_DC_UP	GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_DC_UP	Details ...	161	0.60582346	2.37956	0.0	0.0	0.0	2033	tags=34%, list=13%, signal=39%	
GSE42724_MEMORY_VS_B1_BCELL_DN	GSE42724_MEMORY_VS_B1_BCELL_DN	Details ...	163	0.6957041	2.3588974	0.0	0.0	0.0	1437	tags=47%, list=9%, signal=51%	
GSE2706_LPS_VS_R848_AND_LPS_8H_STIM_DC_DN	GSE2706_LPS_VS_R848_AND_LPS_8H_STIM_DC_DN	Details ...	146	0.6341823	2.3483644	0.0	2.3782093E-4	0.001	2433	tags=45%, list=16%, signal=53%	
GSE22611_MUTANT_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_UP	GSE22611_MUTANT_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_UP	Details ...	152	0.5260542	2.3456879	0.0	1.9025675E-4	0.001	1686	tags=30%, list=11%, signal=34%	
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_UP	GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_UP	Details ...	173	0.5909691	2.3448622	0.0	1.585473E-4	0.001	2041	tags=37%, list=13%, signal=42%	
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_3H_UP	GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_3H_UP	Details ...	173	0.7819605	2.3401964	0.0	1.3589767E-4	0.001	1428	tags=60%, list=9%, signal=65%	
GSE2706_R848_VS_R848_AND_LPS_8H_STIM_DC_DN	GSE2706_R848_VS_R848_AND_LPS_8H_STIM_DC_DN	Details ...	161	0.67368466	2.33484	0.0	1.18910466E-4	0.001	2138	tags=53%, list=14%, signal=61%	
GSE46606_IRF4_KO_VS_WT_UNSTIM_BCELL_DN	GSE46606_IRF4_KO_VS_WT_UNSTIM_BCELL_DN	Details ...	157	0.6140678	2.32537	0.0	2.9526465E-4	0.003	2139	tags=40%, list=14%, signal=46%	
GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_DN	GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_DN	Details ...	139	0.7758475	2.3239105	0.0	2.657382E-4	0.003	1164	tags=53%, list=8%, signal=57%	
