NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_6H_UP	Details ...	169	-0.64106727	-2.3692646	0.0	5.396134E-4	0.001	2525	tags=51%, list=16%, signal=61%	
GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	Details ...	179	-0.57685304	-2.3187244	0.0	0.001261328	0.004	3468	tags=46%, list=23%, signal=58%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP	Details ...	177	-0.5866216	-2.3000412	0.0	0.0011017091	0.004	3195	tags=51%, list=21%, signal=63%	
GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	GSE2706_UNSTIM_VS_2H_LPS_AND_R848_DC_UP	Details ...	153	-0.6676004	-2.279011	0.0	0.0011892419	0.005	2140	tags=55%, list=14%, signal=63%	
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP	GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP	Details ...	180	-0.61416084	-2.2642202	0.0	0.0012454137	0.007	2741	tags=51%, list=18%, signal=61%	
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_DN	GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_DN	Details ...	185	-0.79241157	-2.221681	0.0	0.0044024657	0.017	2048	tags=66%, list=13%, signal=75%	
GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP	GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP	Details ...	177	-0.7414993	-2.217897	0.0	0.0038682707	0.017	2477	tags=63%, list=16%, signal=75%	
GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN	GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN	Details ...	173	-0.7678763	-2.2151723	0.0	0.003552908	0.018	1850	tags=60%, list=12%, signal=68%	
GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_DN	GSE9988_LOW_LPS_VS_CTRL_TREATED_MONOCYTE_DN	Details ...	183	-0.7955133	-2.213672	0.0	0.0032202448	0.018	2131	tags=72%, list=14%, signal=83%	
GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN	GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN	Details ...	177	-0.7396466	-2.2009664	0.0	0.0037498614	0.024	1928	tags=51%, list=13%, signal=58%	
GSE42021_CD24HI_VS_CD24LOW_TREG_THYMUS_UP	GSE42021_CD24HI_VS_CD24LOW_TREG_THYMUS_UP	Details ...	157	-0.48254177	-2.199076	0.0	0.003467295	0.024	2973	tags=37%, list=19%, signal=45%	
GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_DN	GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_DN	Details ...	151	-0.5153843	-2.1854947	0.0	0.0042398875	0.03	2595	tags=34%, list=17%, signal=40%	
GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_DN	GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_DN	Details ...	170	-0.47644305	-2.1845772	0.0	0.004063849	0.031	3520	tags=41%, list=23%, signal=53%	
GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_UP	GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_UP	Details ...	173	-0.5711123	-2.1839395	0.0	0.0038194046	0.031	2803	tags=46%, list=18%, signal=56%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP	Details ...	165	-0.583625	-2.1825552	0.0	0.0037278598	0.033	2777	tags=48%, list=18%, signal=58%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP	Details ...	171	-0.5916692	-2.168019	0.0	0.00465917	0.043	2813	tags=49%, list=18%, signal=59%	
GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_DN	GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_DN	Details ...	175	-0.7116284	-2.1628053	0.0	0.0047235466	0.045	1582	tags=46%, list=10%, signal=51%	
GSE3982_CTRL_VS_LPS_4H_MAC_UP	GSE3982_CTRL_VS_LPS_4H_MAC_UP	Details ...	168	-0.49798125	-2.1604867	0.0	0.004659777	0.046	3355	tags=40%, list=22%, signal=50%	
GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN	GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN	Details ...	186	-0.7548003	-2.1566913	0.0	0.0048481724	0.048	2047	tags=61%, list=13%, signal=70%	
GSE16755_CTRL_VS_IFNA_TREATED_MAC_UP	GSE16755_CTRL_VS_IFNA_TREATED_MAC_UP	Details ...	178	-0.5583922	-2.156006	0.0	0.0047123437	0.05	3232	tags=51%, list=21%, signal=64%	
GSE2706_UNSTIM_VS_2H_LPS_DC_UP	GSE2706_UNSTIM_VS_2H_LPS_DC_UP		149	-0.6092205	-2.1542158	0.0	0.0046943906	0.051	2680	tags=52%, list=17%, signal=62%	
GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP	GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP		152	-0.5480699	-2.133708	0.0	0.0061245593	0.067	2316	tags=37%, list=15%, signal=43%	
GSE38681_WT_VS_LYL1_KO_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_UP	GSE38681_WT_VS_LYL1_KO_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_UP		164	-0.5238958	-2.125791	0.0	0.006379387	0.069	2402	tags=38%, list=16%, signal=44%	
GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_UP	GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_UP		173	-0.510056	-2.103681	0.0	0.008881661	0.094	2803	tags=46%, list=18%, signal=55%	
GSE23695_CD57_POS_VS_NEG_NK_CELL_UP	GSE23695_CD57_POS_VS_NEG_NK_CELL_UP		170	-0.4876018	-2.0953326	0.0	0.0097206645	0.106	2507	tags=35%, list=16%, signal=42%	
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP		177	-0.560307	-2.0926626	0.0018939395	0.009839927	0.11	3229	tags=44%, list=21%, signal=55%	
GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_UP	GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_UP		171	-0.48903015	-2.0780365	0.0019230769	0.011800348	0.125	2920	tags=37%, list=19%, signal=46%	
GSE17721_CTRL_VS_CPG_2H_BMDC_UP	GSE17721_CTRL_VS_CPG_2H_BMDC_UP		168	-0.43604693	-2.0675788	0.0	0.012756215	0.138	3594	tags=40%, list=23%, signal=52%	
GSE37534_PIOGLITAZONE_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_UP	GSE37534_PIOGLITAZONE_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_UP		159	-0.44873336	-2.0664253	0.0	0.012391882	0.138	2555	tags=31%, list=17%, signal=37%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_6H_UP		161	-0.56580114	-2.0623262	0.0020120724	0.012662161	0.144	2421	tags=44%, list=16%, signal=52%	
GSE17721_LPS_VS_GARDIQUIMOD_2H_BMDC_DN	GSE17721_LPS_VS_GARDIQUIMOD_2H_BMDC_DN		174	-0.45638502	-2.050227	0.0	0.014729731	0.158	3099	tags=37%, list=20%, signal=46%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP		177	-0.5412494	-2.0472682	0.0038022813	0.014861601	0.161	2792	tags=38%, list=18%, signal=46%	
GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_DN	GSE8621_UNSTIM_VS_LPS_PRIMED_UNSTIM_MACROPHAGE_DN		171	-0.4276774	-2.0454838	0.0	0.014682989	0.164	2982	tags=37%, list=19%, signal=45%	
GSE14000_UNSTIM_VS_4H_LPS_DC_UP	GSE14000_UNSTIM_VS_4H_LPS_DC_UP		166	-0.5388222	-2.0432382	0.0	0.014615623	0.168	3411	tags=45%, list=22%, signal=57%	
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_UP	GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_UP		177	-0.50140315	-2.0402107	0.0	0.014657173	0.169	2937	tags=44%, list=19%, signal=54%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_14H_UP		178	-0.5068315	-2.0369003	0.0	0.014796659	0.171	2805	tags=40%, list=18%, signal=48%	
GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_UP	GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_UP		165	-0.5104794	-2.014679	0.0	0.019435681	0.204	2169	tags=34%, list=14%, signal=39%	
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_DN	GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_DN		185	-0.66450626	-2.0136712	0.001980198	0.019177819	0.205	2777	tags=57%, list=18%, signal=68%	
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_2H_DN	GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_2H_DN		168	-0.5207655	-2.0084252	0.0	0.02002613	0.212	2861	tags=37%, list=19%, signal=45%	
GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_DN	GSE36527_CD69_NEG_VS_POS_TREG_CD62L_LOS_KLRG1_NEG_DN		170	-0.5066364	-2.0052953	0.0	0.020175181	0.214	2402	tags=37%, list=16%, signal=43%	
GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_DN	GSE9988_ANTI_TREM1_VS_VEHICLE_TREATED_MONOCYTES_DN		182	-0.6410866	-2.0034237	0.00390625	0.020183004	0.217	2927	tags=51%, list=19%, signal=62%	
GSE11864_UNTREATED_VS_CSF1_IN_MAC_DN	GSE11864_UNTREATED_VS_CSF1_IN_MAC_DN		170	-0.44058982	-2.0014653	0.001980198	0.02028759	0.218	2168	tags=34%, list=14%, signal=39%	
GSE26351_WNT_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_DN	GSE26351_WNT_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_DN		182	-0.44186312	-1.9999212	0.0	0.020062141	0.219	2786	tags=36%, list=18%, signal=44%	
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_DN	GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_DN		179	-0.43385312	-1.9810925	0.0	0.024560532	0.246	2562	tags=35%, list=17%, signal=42%	
GSE26343_WT_VS_NFAT5_KO_MACROPHAGE_UP	GSE26343_WT_VS_NFAT5_KO_MACROPHAGE_UP		180	-0.4427092	-1.9796189	0.0	0.02433295	0.25	2803	tags=34%, list=18%, signal=42%	
GSE22935_24H_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_DN	GSE22935_24H_VS_48H_MBOVIS_BCG_STIM_MACROPHAGE_DN		177	-0.46927953	-1.9737916	0.0	0.02545338	0.258	2930	tags=40%, list=19%, signal=49%	
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_2H_DN	GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_2H_DN		170	-0.4976879	-1.9727615	0.0018832391	0.02522752	0.26	2909	tags=39%, list=19%, signal=48%	
GSE41867_NAIVE_VS_DAY15_LCMV_CONE13_EFFECTOR_CD8_TCELL_DN	GSE41867_NAIVE_VS_DAY15_LCMV_CONE13_EFFECTOR_CD8_TCELL_DN		161	-0.4277815	-1.9682217	0.0	0.025924956	0.274	3469	tags=42%, list=23%, signal=53%	
GSE42724_B1_BCELL_VS_PLASMABLAST_DN	GSE42724_B1_BCELL_VS_PLASMABLAST_DN		175	-0.43219754	-1.9642638	0.0	0.026483094	0.281	3428	tags=35%, list=22%, signal=45%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP		144	-0.5006763	-1.9601048	0.001984127	0.02724467	0.287	3177	tags=44%, list=21%, signal=55%	
GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_UP	GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_UP		131	-0.45058504	-1.9560803	0.0	0.028245457	0.299	3084	tags=40%, list=20%, signal=49%	
GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN	GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_DN		173	-0.40109432	-1.9512285	0.0	0.029411422	0.309	2394	tags=27%, list=16%, signal=32%	
GSE31082_DP_VS_CD4_SP_THYMOCYTE_UP	GSE31082_DP_VS_CD4_SP_THYMOCYTE_UP		164	-0.40801054	-1.9488292	0.0	0.029675877	0.318	1627	tags=25%, list=11%, signal=28%	
GSE16266_CTRL_VS_LPS_STIM_MEF_UP	GSE16266_CTRL_VS_LPS_STIM_MEF_UP		179	-0.5936117	-1.9481292	0.012474013	0.029395368	0.319	1979	tags=50%, list=13%, signal=56%	
GSE22103_UNSTIM_VS_GMCSF_AND_IFNG_STIM_NEUTROPHIL_UP	GSE22103_UNSTIM_VS_GMCSF_AND_IFNG_STIM_NEUTROPHIL_UP		171	-0.41654643	-1.9477726	0.0	0.02891034	0.319	2256	tags=30%, list=15%, signal=35%	
GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY7_UP	GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY7_UP		182	-0.47165918	-1.9466939	0.0	0.028735464	0.32	3258	tags=43%, list=21%, signal=54%	
GSE17721_CTRL_VS_LPS_1H_BMDC_UP	GSE17721_CTRL_VS_LPS_1H_BMDC_UP		162	-0.40700167	-1.9463947	0.0	0.028309947	0.322	2914	tags=36%, list=19%, signal=44%	
GSE9037_CTRL_VS_LPS_1H_STIM_BMDM_UP	GSE9037_CTRL_VS_LPS_1H_STIM_BMDM_UP		169	-0.44402707	-1.9459326	0.0	0.027989468	0.322	2913	tags=41%, list=19%, signal=51%	
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_100MIN_DN	GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_100MIN_DN		172	-0.41707	-1.9439825	0.0	0.028060831	0.326	3236	tags=38%, list=21%, signal=47%	
GSE41867_DAY15_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_DN	GSE41867_DAY15_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_DN		144	-0.45190096	-1.9417312	0.0	0.028276674	0.331	3320	tags=40%, list=22%, signal=50%	
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP	GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_4H_UP		166	-0.5207113	-1.9405535	0.001934236	0.028204573	0.332	2958	tags=45%, list=19%, signal=55%	
GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP	GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP		172	-0.38306805	-1.9295703	0.0	0.03121784	0.35	2392	tags=25%, list=16%, signal=29%	
GSE36009_UNSTIM_VS_LPS_STIM_DC_DN	GSE36009_UNSTIM_VS_LPS_STIM_DC_DN		182	-0.5284082	-1.9272318	0.002016129	0.03162681	0.353	2787	tags=49%, list=18%, signal=60%	
GSE43863_NAIVE_VS_TH1_EFF_CD4_TCELL_D6_LCMV_UP	GSE43863_NAIVE_VS_TH1_EFF_CD4_TCELL_D6_LCMV_UP		147	-0.41629678	-1.9270008	0.0	0.031259965	0.354	2194	tags=28%, list=14%, signal=32%	
GSE360_CTRL_VS_T_GONDII_DC_UP	GSE360_CTRL_VS_T_GONDII_DC_UP		166	-0.42322475	-1.9269122	0.0	0.03078806	0.354	1693	tags=21%, list=11%, signal=23%	
GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP	GSE7348_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP		128	-0.5024649	-1.9159584	0.004032258	0.034098018	0.37	3231	tags=45%, list=21%, signal=57%	
GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP	GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP		178	-0.49562964	-1.9157373	0.00390625	0.033675943	0.37	3757	tags=54%, list=24%, signal=71%	
GSE34006_A2AR_KO_VS_A2AR_AGONIST_TREATED_TREG_DN	GSE34006_A2AR_KO_VS_A2AR_AGONIST_TREATED_TREG_DN		181	-0.44430628	-1.9128224	0.0038910506	0.03392705	0.377	2815	tags=39%, list=18%, signal=47%	
GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_DN	GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_DN		168	-0.44812372	-1.9125516	0.0038834952	0.03355434	0.378	2479	tags=28%, list=16%, signal=33%	
GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP	GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP		169	-0.517454	-1.9095578	0.005905512	0.034122564	0.385	1858	tags=34%, list=12%, signal=39%	
GSE7348_UNSTIM_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_UP	GSE7348_UNSTIM_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_UP		148	-0.48712572	-1.9055672	0.0040899795	0.034963764	0.389	4043	tags=57%, list=26%, signal=76%	
GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_6H_DN	GSE2770_TGFB_AND_IL4_ACT_VS_ACT_CD4_TCELL_6H_DN		174	-0.40130684	-1.9050525	0.0019417476	0.03470123	0.392	3632	tags=39%, list=24%, signal=51%	
GSE16385_IFNG_TNF_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP	GSE16385_IFNG_TNF_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP		143	-0.4022997	-1.9006987	0.0	0.035817727	0.404	3037	tags=34%, list=20%, signal=41%	
GSE43863_NAIVE_VS_TFH_CD4_EFF_TCELL_D6_LCMV_UP	GSE43863_NAIVE_VS_TFH_CD4_EFF_TCELL_D6_LCMV_UP		164	-0.40994164	-1.8988334	0.0	0.036010027	0.407	2445	tags=26%, list=16%, signal=30%	
GSE2706_UNSTIM_VS_2H_R848_DC_UP	GSE2706_UNSTIM_VS_2H_R848_DC_UP		158	-0.49575076	-1.8978674	0.0	0.0358559	0.41	2287	tags=37%, list=15%, signal=43%	
GSE7768_OVA_ALONE_VS_OVA_WITH_LPS_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_UP	GSE7768_OVA_ALONE_VS_OVA_WITH_LPS_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_UP		152	-0.4297629	-1.8891414	0.001968504	0.038628753	0.429	2672	tags=34%, list=17%, signal=40%	
GSE3982_DC_VS_MAC_LPS_STIM_UP	GSE3982_DC_VS_MAC_LPS_STIM_UP		163	-0.40030587	-1.8885764	0.0	0.03831283	0.431	3372	tags=36%, list=22%, signal=46%	
GSE20152_SPHK1_KO_VS_WT_HTNFA_OVERXPRESS_ANKLE_DN	GSE20152_SPHK1_KO_VS_WT_HTNFA_OVERXPRESS_ANKLE_DN		178	-0.4671936	-1.8884426	0.0019120459	0.037906166	0.432	2565	tags=29%, list=17%, signal=34%	
GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_UP	GSE17721_POLYIC_VS_PAM3CSK4_1H_BMDC_UP		169	-0.44146216	-1.8847588	0.0	0.03869801	0.441	2521	tags=31%, list=16%, signal=36%	
GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN	GSE19888_ADENOSINE_A3R_INH_PRETREAT_AND_ACT_BY_A3R_VS_TCELL_MEMBRANES_ACT_MAST_CELL_DN		165	-0.40970275	-1.8830576	0.0	0.038878534	0.444	2833	tags=30%, list=18%, signal=37%	
GSE6259_DEC205_POS_DC_VS_CD4_TCELL_DN	GSE6259_DEC205_POS_DC_VS_CD4_TCELL_DN		166	-0.40596253	-1.8820069	0.0	0.038814016	0.446	2061	tags=28%, list=13%, signal=32%	
