"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"1","SMAD6",79.0516110575487,-2.73013777569118,0.216370735150951,2.25835309879115e-38,1.22645339627391e-35,"ENSG00000137834"
"2","HIC1",120.828692866815,-2.30085406471215,0.313920172509163,6.77225190916997e-15,2.41500615741909e-13,"ENSG00000177374"
"3","CD180",383.117281216708,-1.83781408275552,0.155561244496406,1.85539366979814e-33,6.05977462694705e-31,"ENSG00000134061"
"4","SERTAD3",429.42496499432,-1.79553934378968,0.102547673536399,7.24385383513616e-70,7.45247682558808e-66,"ENSG00000167565"
"5","PHF23",257.664470885356,-1.74463129432054,0.131220155558614,1.45421334573699e-41,1.42485208580402e-38,"ENSG00000040633"
"6","THBD",2210.10115072949,-1.73750328369267,0.218052158728965,8.75058974495663e-17,3.95718977125775e-15,"ENSG00000178726"
"7","OLIG1",286.058144355726,-1.66227813421363,0.229124782501115,2.24525309433356e-14,7.4586202895317e-13,"ENSG00000184221"
"8","CCL2",1277.79535720588,-1.57751948655444,0.275957276382069,5.64754734310534e-10,9.93196018219962e-09,"ENSG00000108691"
"9","ID1",73.2292477611097,-1.57627505678181,0.155186597650742,1.97823444059445e-25,2.67790472695206e-23,"ENSG00000125968"
"10","EEPD1",1495.26372415236,-1.5682712311995,0.13546072125834,3.51811967194161e-32,1.03412614814101e-29,"ENSG00000122547"
"11","BMF",1340.63029905147,-1.54890061489899,0.139587138971792,8.70159235447185e-30,1.98937738095125e-27,"ENSG00000104081"
"12","TMEM51",344.937553051455,-1.53726761883287,0.191928090724671,7.39397262804988e-17,3.39594599988291e-15,"ENSG00000171729"
"13","S1PR3",1654.4370162143,-1.517756465516,0.125731631814045,1.03412132521885e-34,3.86874188867329e-32,"ENSG00000213694"
"14","DUSP7",269.844452765733,-1.42872466691516,0.164203001050995,2.42278321483453e-19,1.54110200149552e-17,"ENSG00000164086"
"15","EGR2",5403.53486128413,-1.40037888198562,0.182226032972934,1.11412563741538e-15,4.3417138476248e-14,"ENSG00000122877"
"16","LRRC25",2337.35202424296,-1.38477378425015,0.106829205717107,1.64808568269121e-39,1.13883462514947e-36,"ENSG00000175489"
"17","ANKH",416.459975194162,-1.3516662431017,0.136743199237369,4.02940579895102e-24,4.48157047130898e-22,"ENSG00000154122"
"18","SH2D3C",930.878673192132,-1.33756064310768,0.129591854141888,4.8142577706e-26,7.07558342056183e-24,"ENSG00000095370"
"19","VWF",136.262254200752,-1.33680166450692,0.154001277922612,3.20269552086972e-19,1.99692918295198e-17,"ENSG00000110799"
"20","RUNX3",1462.96051859689,-1.32799612297755,0.182993930270803,2.95831171748497e-14,9.67730077885068e-13,"ENSG00000020633"
"21","SLC25A19",135.623475240019,-1.25366832207114,0.12550626695168,1.56411073965954e-24,1.90432796326833e-22,"ENSG00000125454"
"22","HMOX1",3754.90128829202,-1.25234130846341,0.145479359301019,6.37949781366446e-19,3.76116180555759e-17,"ENSG00000100292"
"23","SDS",133.819986316044,-1.23838870508514,0.269215974991772,1.88608107741246e-07,2.12297616240912e-06,"ENSG00000135094"
"24","IL21R",73.7689472822873,-1.21784226648571,0.213152532930454,6.64469314743944e-10,1.14988398823981e-08,"ENSG00000103522"
"25","ARL4C",384.684099408004,-1.18938601333201,0.24742333518244,7.20944566551546e-08,8.8193551732251e-07,"ENSG00000188042"
"26","GZF1",578.62045326498,-1.16715947606308,0.0899302974274166,1.6604315102296e-39,1.13883462514947e-36,"ENSG00000125812"
"27","ARRDC2",590.67548887238,-1.13607032513568,0.11920763700181,1.39661448032165e-22,1.29444772734677e-20,"ENSG00000105643"
"28","INAFM2",425.953041072915,-1.12737841905954,0.132529146856547,1.46793299771248e-18,8.0976378983732e-17,"ENSG00000259330"
"29","ID3",59.2866907150768,-1.12480450499373,0.208752621496765,3.71834426111073e-09,5.60913867423859e-08,"ENSG00000117318"
"30","CD9",544.175951235134,-1.11966976220516,0.242302354750139,1.64440491461912e-07,1.86625899190308e-06,"ENSG00000010278"
"31","UBL4A",216.888857214123,-1.11650133776192,0.104960486497713,1.83901479327411e-27,3.05157809567807e-25,"ENSG00000102178"
