"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"1","THBS1",19763.9751259513,-2.40341211111558,0.398643135608135,5.555567333813e-12,2.45278297787844e-08,"ENSG00000137801"
"2","CXCL5",281.407130027769,-2.09895703396494,0.48886148218502,4.66689317083571e-08,2.80968182035086e-05,"ENSG00000163735"
"3","FN1",562.035677189563,-1.69143105656443,0.784726659412645,7.8349685088208e-06,0.000854211275906905,"ENSG00000115414"
"4","MMP9",347.436402259898,-1.54757363446822,0.778578122487563,1.32817101368267e-05,0.00120490582713884,"ENSG00000100985"
"5","PSAT1",199.31950414373,-1.52455954286748,0.351651929567693,6.34516369580805e-08,3.11265530188806e-05,"ENSG00000135069"
"6","CHAC1",494.895583292782,-1.45667853563306,0.316128068197575,2.25614565477539e-08,1.57277101039474e-05,"ENSG00000128965"
"7","NAV3",62.1076149201748,-1.32384771999239,0.631732722711643,1.63666410680206e-05,0.00136750406388843,"ENSG00000067798"
"8","IL1R2",1980.31836500191,-1.31650634061166,0.673657928194106,2.1625492184505e-05,0.0015824842209048,"ENSG00000115590"
"9","PHGDH",238.831782241293,-1.1961508398979,0.305564514418614,8.66404072505114e-08,3.82517398011008e-05,"ENSG00000092621"
"10","ZFYVE9",64.9821037366487,-1.17308586346631,0.325459203157719,2.27765960918159e-07,7.54190038090256e-05,"ENSG00000157077"
"11","ST6GALNAC3",1300.28703044569,-1.07893076428972,0.23675143085887,2.99231433438414e-09,3.9633203358918e-06,"ENSG00000184005"
"12","GRB10",1811.58674025146,-1.06840924470402,0.216554446782179,4.71769633625358e-10,1.04143146622798e-06,"ENSG00000106070"
"13","SOX5",258.959360347622,-1.04754268536541,0.372473162544587,2.26714300670211e-06,0.000408422661811346,"ENSG00000134532"
"14","SLC7A11-AS1",111.640124604287,-1.01451427246892,0.461820864487872,1.57457537058938e-05,0.00134550005054557,"ENSG00000250033"
"15","HPGD",60.1010295698354,-0.994810662491135,0.53322911043736,4.06688614078393e-05,0.00241551152173467,"ENSG00000164120"
"16","KANK1",6253.64733605236,-0.98393182090437,0.362631587991335,2.8953742507875e-06,0.000467673560386347,"ENSG00000107104"
"17","C22orf42",64.0636098860738,-0.98222106267283,0.516525105055824,3.75133327313786e-05,0.00227919308269316,"ENSG00000205856"
"18","ME1",1129.07011295945,-0.958203658085269,0.368917404205364,4.24185500677651e-06,0.000573299689436274,"ENSG00000065833"
"19","KIFC3",160.795115527747,-0.957915504948932,0.308734684281862,6.59567094954021e-07,0.000178285023931959,"ENSG00000140859"
"20","KCNJ11",610.057372620007,-0.944729201784138,0.443469546462439,1.99015248282438e-05,0.00154149530029292,"ENSG00000187486"
"21","MMP19",973.344296834658,-0.923796750405395,0.462458526319404,3.04369890479765e-05,0.00198590108345048,"ENSG00000123342"
"22","GJB2",2436.91111965436,-0.898448578906319,0.512943493203923,6.38994120640138e-05,0.00308886026564913,"ENSG00000165474"
"23","GPR68",137.023087825799,-0.897855519941973,0.321266201121871,2.00074023759495e-06,0.000381868273517286,"ENSG00000119714"
"24","ADM2",66.7337410864656,-0.881845176133023,0.635132905668233,0.000152257357470987,0.00545040189108979,"ENSG00000128165"
"25","DDIT4",9204.40436241157,-0.873648526738696,0.261490504370142,2.18984770952582e-07,7.43705972119729e-05,"ENSG00000168209"
"26","CD177",51.0073094657981,-0.867386590931069,0.976648094698316,0.000132918865205342,0.00491762673085125,"ENSG00000204936"
"27","LACC1",232.296347123862,-0.811480314081412,0.228744083127123,9.34078733540313e-08,3.99092671798111e-05,"ENSG00000179630"
"28","SOWAHC",180.646418855638,-0.808746237950875,0.332557452798558,8.43105691169884e-06,0.000886264672979771,"ENSG00000198142"
