"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"1","IFNB1",134.879872921594,5.26195208616335,0.393451847450017,3.7455239233503e-44,4.81674376542849e-41,"ENSG00000171855"
"2","RANBP3L",61.3263967707186,4.32456184463335,0.334822666450997,1.50241481614141e-44,2.20812051835183e-41,"ENSG00000164188"
"3","PLCB4",164.089316294087,3.45606114294972,0.250049046524379,1.6304766126526e-47,3.35486867819399e-44,"ENSG00000101333"
"4","LINC02015",151.129659436306,3.16311768068176,0.25234083269469,5.67259511929007e-39,3.43292109336802e-36,"ENSG00000231574"
"5","NEURL3",74.1569308903201,3.00420648795667,0.328600569062075,1.64218071768398e-22,1.51522468372491e-20,"ENSG00000163121"
"6","ACOD1",21160.3727354666,2.9535307761877,0.182979335076394,6.98308489526886e-61,3.5920988701263e-57,"ENSG00000102794"
"7","LINC02068",113.686570116332,2.90232980738605,0.31125825564104,5.52584386499496e-23,5.28836108679704e-21,"ENSG00000223387"
"8","RHCG",58.4509041924771,2.81894219873009,0.235289335766863,4.0634265603313e-35,1.54831601676624e-32,"ENSG00000140519"
"9","IL6",8422.69412486822,2.81179088563977,0.26048759369872,3.20694011799766e-29,7.01978721999147e-27,"ENSG00000136244"
"10","OSR2",131.535422010408,2.7844411183503,0.213801424341762,9.87741203017928e-41,8.3888395872771e-38,"ENSG00000164920"
"11","LAMA3",61.9549659814632,2.66756393340615,0.227523216403436,1.54954660935813e-33,5.14249532808917e-31,"ENSG00000053747"
"12","FRMD7",203.491686744018,2.58255513856199,0.17410105499853,2.04754286146871e-51,5.26628023969752e-48,"ENSG00000165694"
"13","PMAIP1",4355.72977208064,2.56106739617822,0.132397113676204,5.95038961485652e-85,1.22435216715288e-80,"ENSG00000141682"
"14","IL36G",82.3009294097742,2.49631464012482,0.218345833268418,7.5343224703442e-32,2.15314193263614e-29,"ENSG00000136688"
"15","SLC25A48",55.023300190336,2.48296043023179,0.282596107761732,3.58609040550966e-20,2.4514085110886e-18,"ENSG00000145832"
"16","LMNB1-DT",53.5924511819256,2.48162375894161,0.251709524204072,1.57775342251746e-24,1.90963849539525e-22,"ENSG00000251072"
"17","ZC3HAV1",6666.03096441387,2.46294968300808,0.170548615448592,8.76912312949494e-49,2.00481641680542e-45,"ENSG00000105939"
