"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"1","XIST",1715.55992536793,3.10942479273671,0.771395317438736,1.30530129353024e-08,1.1525810421872e-05,"ENSG00000229807"
"2","HAPLN3",65.8983655799442,2.35058896632684,0.598888025066262,8.40138793429395e-08,3.82517398011008e-05,"ENSG00000140511"
"3","IFNB1",202.71107175583,2.18834106313208,0.484509868487383,1.82938798179988e-08,1.42530845993761e-05,"ENSG00000171855"
"4","ANKRD22",299.076399544877,2.13023344853781,0.361299182138988,2.76229253989564e-11,9.14664117272945e-08,"ENSG00000152766"
"5","SERPING1",812.500059119533,1.9668998175841,0.750745220378365,2.31463356953758e-06,0.000408422661811346,"ENSG00000149131"
"6","LGALS3BP",1039.55853185452,1.86954416331155,0.869625127186784,5.29190428946798e-06,0.000673954541480801,"ENSG00000108679"
"7","TGM2",254.173391997389,1.49725363133803,0.438628339149999,8.01142498735091e-07,0.000196502451773079,"ENSG00000198959"
"8","APOL3",803.630021669613,1.44189461758881,0.290996874253754,6.0189939549541e-09,6.64346457778059e-06,"ENSG00000128284"
"9","PSME2",2071.11832716801,1.40859307715202,0.269358408729313,1.75895386382289e-09,2.91216799079177e-06,"ENSG00000100911"
"10","APOL1",509.938496561149,1.34279133389748,0.36097396759202,2.80564465087544e-07,8.64203800019657e-05,"ENSG00000100342"
"11","GBP4",1518.93222005769,1.32643324544756,0.522401662218651,6.23696145443786e-06,0.000750986858763904,"ENSG00000162654"
"12","NEURL3",107.362749773371,1.27824785607321,0.517747778300808,7.4321158122103e-06,0.000849246398297941,"ENSG00000163121"
"13","PSMB9",1384.13396530637,1.27205301108126,0.244867732196871,9.6068081594891e-10,1.8177453438919e-06,"ENSG00000240065"
"14","KLHDC7B",102.715603103361,1.25211119006222,0.614936469503551,2.02027299824777e-05,0.00154660894188908,"ENSG00000130487"
"15","HLA-DPA1",6768.72329579196,1.23120021387091,0.386523957967661,1.03365997642008e-06,0.000232047904875999,"ENSG00000231389"
"16","SAMD4A",228.306788347969,1.18366751812385,0.346060620762501,4.36820632874605e-07,0.000125775853965742,"ENSG00000020577"
"17","ZBP1",132.697265818407,1.161735388592,0.549503538473935,1.84715049594938e-05,0.00146229646568273,"ENSG00000124256"
"18","HLA-DPB1",2735.08250932838,1.14553300697377,0.361883769718881,8.87157189628754e-07,0.000206147315379524,"ENSG00000223865"
"19","BCL2L14",96.7958289718915,1.04510339509493,0.59096128584704,4.81547522484537e-05,0.00266865980556807,"ENSG00000121380"
"20","HLA-DOA",77.7910889571462,1.01626789935364,0.544699682567985,3.95714356812211e-05,0.0023716002968225,"ENSG00000204252"
"21","UBE2L6",2497.09969247447,0.990855954615833,0.357729381628309,2.39545047368166e-06,0.000408422661811346,"ENSG00000156587"
"22","ST3GAL5",365.3821978487,0.982937526355722,0.220624134975985,2.12271969947463e-09,3.1239358243935e-06,"ENSG00000115525"
"23","VAMP5",800.140676512592,0.966564638776051,0.309032673821342,6.10579625623178e-07,0.000168481815445396,"ENSG00000168899"
"24","IL27",156.402586669466,0.960228387558858,0.429066272325749,1.40805575701624e-05,0.00124897608725269,"ENSG00000197272"
"25","GIMAP4",981.48122486716,0.94092798457718,0.36200741631294,4.17336487187305e-06,0.000573299689436274,"ENSG00000133574"
