	baseMean	log2FoldChange	lfcSE	pvalue	padj
AL139246.3	15.0854988888532	-0.156199768353462	0.162774612589612	0.129533073120111	0.277951038952905
PRDM16	28.8492023966108	1.19769622942876	0.243615305838811	4.29859397680687e-08	5.43625505020148e-07
PEX10	90.8597551032515	-0.273806578689422	0.0847977628534224	0.000202996212389781	0.00123390040512131
AP006222.1	8.58939415718475	0.0977287462211521	0.165822791335318	0.333929001658865	0.533829783088556
PEX14	310.071201212164	-0.225508949486946	0.0764138531325721	0.000523564332522122	0.00286588446554275
PLCH2	14.3724404000206	-0.200829066614364	0.19472243720519	0.0894987724856884	0.211184259479991
SPSB1	2671.02394437128	1.07847032099439	0.144471496576147	5.68925840978856e-15	2.05012576251855e-13
SLC2A5	19.3874833488315	0.0868745192376523	0.157664585338146	0.37382618249694	0.572988553072864
NMNAT1	58.6778198275692	0.00261631720662119	0.0712437317999103	0.962678087058824	0.982654012879718
CCDC27	0.778599882404588	-0.0496989494083777	0.282581732368952	0.687972360272188	0.826611345107184
DISP3	2.78814741066403	1.41869629458907	0.479832352249745	5.43065160231804e-05	0.000379040323505074
MMEL1	5.30752263689802	0.0353591669105682	0.18453633183384	0.7374490882074	0.858098311313435
AL139246.2	15.6835173136012	0.00765693458105016	0.159791561411596	0.937286585791851	0.968159163922486
TMEM51	344.937553051455	-1.53726761883287	0.191928090724671	7.39397262804988e-17	3.39594599988291e-15
FO538757.1	28.910845891098	-0.371531129373534	0.148807390603688	0.00154275514161266	0.00740810496938672
FBXO42	958.207483729272	-0.103855616153838	0.0587738116947261	0.033614795954772	0.098568910013594
ALDH4A1	175.80032897797	0.0301787840438896	0.0772865881226964	0.610281957502397	0.772244045129571
RER1	1257.65464610258	0.0242076439431461	0.058107167717944	0.61502584384812	0.775838598530656
PANK4	243.522522402738	-0.305428487326454	0.0808229353526446	2.86838695982658e-05	0.000211162540555963
AL034417.2	46.0177342117119	1.63900423782579	0.188893591638105	2.42669638649179e-19	1.54110200149552e-17
VPS13D	1884.0858278295	0.00322975543737536	0.0466561386083143	0.936654048607486	0.967877922234922
RBP7	494.692666444786	-0.0184324553812044	0.102465104121876	0.799081119255171	0.895778960272407
GPR157	89.6445340924801	-1.09819565312946	0.145062691008461	2.66489153768955e-15	1.00426388790293e-13
ZBTB40	512.215817969245	-0.332234451020802	0.0656403840495734	1.01534000661489e-07	1.19997909110328e-06
X4	9.33048976034313	0.133410492277419	0.170937670311617	0.202790241035484	0.383547384828211
NPHP4	189.015343874103	-0.148100658583358	0.0630058578890025	0.00488045819476557	0.0199722171470756
AL050344.1	4.48838537607567	0.0882419381125122	0.22726042503081	0.455202184754296	0.648946175674107
MT1XP1	2.6847126663789	0.0918520824487706	0.208470248673949	0.420707371775151	0.616338546218975
SZRD1	207.222417916343	-0.101096528639658	0.0777040181237255	0.0917454553433672	0.215448276934042
PDIK1L	17.9493218575908	-0.237050530930024	0.164855929367657	0.0323033018236354	0.095567611548975
AL606491.1	1.23077197422089	0.0394907718863046	0.255596170584147	0.742335870033465	0.861057718124391
AL137792.2	18.5445156984569	1.00722921911707	0.244249157750918	1.32878447391216e-06	1.28001260932662e-05
PPIAP34	1.48085623178242	-0.0497327175247237	0.220806105335224	0.664625762935446	0.811255840194562
LAPTM5	23555.3344040594	-0.0571973155875299	0.0492280233333769	0.176165120494716	0.347250910696633
PHACTR4	404.968229381496	0.0280602296070642	0.0631871352873041	0.583726856318165	0.75314659873774
CNKSR1	1.34517408504183	0.0599662348642825	0.251917840728647	0.619299215742733	0.779274747010914
MED18	154.078692783998	-0.0145288253288944	0.0600406634947929	0.768464599186887	0.877416768928994
AC209007.1	17.5512532372682	0.114904627663166	0.124998786243794	0.173613305457244	0.343850935902228
AL831784.1	1.29470352923182	-0.189400140043398	0.318426590683369	0.18926273259365	0.365316133756749
SLC9A1	1277.20380195133	-0.107104691268448	0.0820649695438987	0.0865830534136134	0.206198130105809
LDLRAP1	135.545563289135	-0.0776749658081172	0.0888196408094342	0.23590225188904	0.42485118029487
ATP5IF1	328.501367936657	0.0589068342128081	0.0614804205308625	0.240033155810335	0.43021970504821
SDC3	348.870716974263	-0.0833002683300312	0.169804261388583	0.414446028003474	0.611079014202476
