	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
AL139246.3	12.9122620436679	-0.0253203172901371	0.183204071144236	0.804779740575825	0.903637475748287	AL139246.3
PRDM16	38.6541557376395	-0.163883435269843	0.225309638372392	0.0940885890351061	0.273061236510456	PRDM16
PEX10	80.6611680746876	0.000815133319686496	0.110356600729105	0.993077415845938	0.99657386607325	PEX10
AP006222.1	8.58978963291128	0.0227365472702305	0.183237112986856	0.824265684711448	NA	AP006222.1
PEX14	265.941421522995	-0.000364517869732929	0.10846831634535	0.996869552221141	0.998496852163218	PEX14
PLCH2	11.2723789385629	-0.143464973632455	0.220720345304329	0.132726582617605	0.332632655964082	PLCH2
SPSB1	3443.1009014431	-0.126199844911503	0.149385719090087	0.243760266958544	0.477110201842162	SPSB1
SLC2A5	21.2110839791773	-0.128877128292749	0.19057525733514	0.218352215052554	0.446790528096876	SLC2A5
NMNAT1	57.7644345065531	0.157930099898899	0.126597480242242	0.120993616838762	0.315588904101891	NMNAT1
DISP3	4.10198934888041	-0.0159915499921415	0.22504469348695	0.813925493021166	NA	DISP3
MMEL1	5.63639437045556	-0.0162033311725437	0.205167704856055	0.853472070640569	NA	MMEL1
AL139246.2	13.4040602229661	0.0398321859102399	0.204024286907081	0.657716487563101	0.820881086502627	AL139246.2
TMEM51	173.771174203258	-0.0262486777164126	0.182747922614361	0.798187095902322	0.900427713092647	TMEM51
FO538757.1	24.5332517378119	-0.465461977800388	0.214721622978358	0.000353210652854521	0.00894507666741518	FO538757.1
FBXO42	864.691252094054	-0.078883859978955	0.0836305941586561	0.302909024695373	0.54272475728673	FBXO42
ALDH4A1	170.217001088581	-0.0781607373111925	0.13602479786189	0.456087823224781	0.674130478586343	ALDH4A1
RER1	1207.91013259043	0.120313334081085	0.10567270421202	0.187567390595651	0.407400801646343	RER1
PANK4	205.718095807526	-0.0599964929133831	0.108770754636697	0.519201683314816	0.724486546091945	PANK4
AL034417.2	62.2494924765261	0.212898932816284	0.200544161117841	0.0539510701281737	0.195561555513864	AL034417.2
VPS13D	1780.32773309404	-0.108760252762563	0.0809275327586617	0.144411393748467	0.349449591707517	VPS13D
RBP7	454.862167934583	0.173728783211535	0.167544134297045	0.116827505349692	0.308796708911729	RBP7
GPR157	53.220035250875	-0.030381206843647	0.152810569906939	0.777952334768955	0.888932488516107	GPR157
ZBTB40	434.817613593923	-0.29320936313728	0.101415366564421	0.000926028138086198	0.0164634130053043	ZBTB40
X4	9.55297861268613	0.258380443802809	0.210294874598021	0.0238804475664529	NA	X4
NPHP4	170.300783069262	-0.0599768730525487	0.0915147139238199	0.465855283280245	0.682701175818416	NPHP4
AL050344.1	4.90540564217947	-0.0215870259239713	0.225750065631234	0.750077279137149	NA	AL050344.1
MT1XP1	2.52537631747816	0.0344577930896169	0.218878666415975	0.651185667365375	NA	MT1XP1
SZRD1	188.82471075916	-0.173587812041618	0.105673097137463	0.0572016091959273	0.202370014885049	SZRD1
PDIK1L	15.1857996595768	0.0941479998206383	0.188817538188662	0.359694028915692	0.595220816215435	PDIK1L
AL137792.2	21.8698830945725	0.206933110395121	0.224784118042271	0.0503369548169876	0.187647893766113	AL137792.2
LAPTM5	22137.0900284256	-0.0233177752123129	0.0892464866829315	0.772536999923751	0.887118444949844	LAPTM5
PHACTR4	377.110029276897	0.0769715510531657	0.095124018199322	0.36343057774863	0.598854796239446	PHACTR4
MED18	143.263950502301	-0.0556891353151824	0.120568425564912	0.573952172998079	0.763636015204375	MED18
AC209007.1	18.6901573263277	-0.122529362425067	0.147619792840442	0.256230070305018	0.49099642378327	AC209007.1
SLC9A1	1150.52756543203	-0.0725769736157829	0.12018147751836	0.462995714008671	0.679914389594012	SLC9A1
LDLRAP1	121.059592024454	0.27760298668636	0.129600805336554	0.00736535416642947	0.058555891917382	LDLRAP1
ATP5IF1	323.888073051477	0.015912176746288	0.101692681753927	0.857978574707584	0.929412466017989	ATP5IF1
SDC3	272.379623077636	0.698553934765599	0.391113150473796	0.000101655130320342	0.0041428375418244	SDC3
PAFAH2	68.3818378284395	0.160213454780002	0.14218204802302	0.134808010129642	0.335500205593219	PAFAH2
DNAJC8	1097.29540381958	-0.0846135722171118	0.110293849961239	0.367656585803326	0.602749285674594	DNAJC8
SESN2	3123.53998278009	-0.797372870716871	0.3002266320045	3.80632343736646e-06	0.000542595344233444	SESN2
SERINC2	187.101346895152	-0.134799256034558	0.174299149090692	0.215475451678672	0.44312012811278	SERINC2
AJAP1	1.18072475100195	-0.0332508820192529	0.23698700290482	0.571017482452396	NA	AJAP1
PTAFR	7395.43913653748	-0.104073510630275	0.128867770546594	0.310257616439102	0.548809035481702	PTAFR
NKAIN1	7.94264469276478	-0.0104009802446277	0.210185254656741	0.900215840816304	NA	NKAIN1
SNRNP40	190.035968918646	0.149880567761391	0.131479977379125	0.148424815571111	0.35491725622664	SNRNP40
SLC25A33	207.197720373373	-0.0601955562697267	0.0983655885291113	0.488097539542329	0.699731512240692	SLC25A33
EYA3	561.079875643791	-0.280105848956754	0.0996388203155342	0.00135365583896759	0.0205845827636345	EYA3
FABP3	4.55695002913269	-0.161730026769995	0.236664511402188	0.0861162231313675	NA	FABP3
EPHA2	5.71566051111689	-0.0625490278873405	0.210605169676239	0.472046749906268	NA	EPHA2
ARHGEF19	18.5270390967864	0.0313023848992846	0.17921717946103	0.763730751426683	0.881151028105089	ARHGEF19
KAZN	31.7367320974083	0.126184318126719	0.16700001741127	0.247909834711823	0.48167313492124	KAZN
TNFRSF1B	18920.1252854765	-0.270116819784612	0.132567160875556	0.00994587286007896	0.070070790442418	TNFRSF1B
LINC01226	18.3782872091081	0.0378701734464299	0.196462853066534	0.691278633412018	0.84115622411963	LINC01226
UBE4B	684.816041709053	-0.0717011095536715	0.107444469109278	0.437411079841973	0.659327387334349	UBE4B
TMEM51-AS1	25.9120976341444	0.149305775112478	0.195069500821608	0.155542167899568	0.364435877203217	TMEM51-AS1
PTPRU	18.5795262926305	0.122267597420807	0.221008036321989	0.179707424917646	0.396836419312142	PTPRU
AGO4	2111.75550599623	-0.030153435504494	0.080098990701063	0.683337590619751	0.836415013522243	AGO4
RSG1	6.48760547600849	0.172200855078542	0.226535651752902	0.0824569686743174	NA	RSG1
PAX7	0.813679550964463	0.119502019440295	0.28617955783649	0.0746292227402457	NA	PAX7
CASZ1	159.149964187593	0.107076840726373	0.136420472782132	0.308415831901439	0.547362681701	CASZ1
DNALI1	13.4291350061232	-0.170020077496528	0.202682398932311	0.106249935777783	0.294163963080423	DNALI1
RRAGC	382.571907870584	-0.517439069108549	0.180910713092882	3.02128396852405e-05	0.00198590108345048	RRAGC
SPCS2P4	104.157253922923	0.154679542804054	0.109307053348357	0.0976386700969053	0.279039601415432	SPCS2P4
GRIK3	1.63323066874417	0.0296034921492039	0.226214711398929	0.665070505995494	NA	GRIK3
RCC2	1646.17089106134	0.232983661424477	0.110309276485753	0.0131245164528106	0.0831994101197853	RCC2
AL354702.1	4.30600042686691	-0.113953227330826	0.216203169644431	0.214447290833274	NA	AL354702.1
AL365255.1	0.662394602036828	-0.0490373647506563	0.260800475832615	0.275056571198624	NA	AL365255.1
PSMB2	1349.32905495079	0.144046347230665	0.0809748453062022	0.0532345777802239	0.193973035130417	PSMB2
SELENOWP1	3.87525957519977	0.0874023814106217	0.202460511511142	0.359611581227005	NA	SELENOWP1
AL354702.2	3.73093829700798	-0.0872439258902986	0.258474146760839	0.170536473650582	NA	AL354702.2
THRAP3	2237.70315296339	0.0354127030954689	0.127389710566251	0.728110888858978	0.860288021671469	THRAP3
AL033529.1	2.99901272171053	-0.0246969172244672	0.217130794675804	0.748043196171646	NA	AL033529.1
AL034379.1	3.23096984688174	0.0349331234370879	0.207952382145908	0.685604838233363	NA	AL034379.1
PADI6	10.7632937325901	0.0828370198513485	0.229558473958979	0.285585704466252	0.523613324426289	PADI6
PADI4	954.420471675164	-0.0538269312180781	0.152720005172818	0.617795675082109	0.795803228951572	PADI4
ZMYM4	446.275640899459	-0.0414826763485699	0.102520780771982	0.642736091167269	0.810223761486536	ZMYM4
AC114490.2	3.52394336357533	-0.139731275894781	0.216879698298791	0.146219782353164	NA	AC114490.2
C1orf216	147.815141646697	-0.43456341519899	0.183948214946706	0.000399171323569265	0.00963028083911642	C1orf216
RLF	1219.51848656834	-0.157736444581748	0.128850760805316	0.124770177116282	0.321138942072513	RLF
CLSPN	49.8311437626769	0.130923109680892	0.12289172788855	0.191322333547165	0.411669200497801	CLSPN
GNL2	759.288059847474	-0.19627184656545	0.126860459212759	0.0545480426355131	0.197219129822251	GNL2
AC119428.2	4.27249402975214	0.124144665760944	0.22246818527157	0.171888758867185	NA	AC119428.2
FCF1P6	2.65546286935569	0.121879696203266	0.226605289778297	0.168837480145243	NA	FCF1P6
MORN1	27.7803147768918	-0.0640777690726678	0.159403398942139	0.553680693889243	0.749693395068802	MORN1
DLGAP3	32.0738087028535	0.154436481758323	0.193302170267192	0.14554685779754	0.350630798750166	DLGAP3
RIMS3	14.1284883577663	0.0611437814269824	0.191422192354645	0.539187443629555	0.739656453672589	RIMS3
RAB3B	2.94330038908387	-0.128780288199431	0.284992198988834	0.0702527423927488	NA	RAB3B
SMIM12	623.358836093925	-0.27244260257313	0.107451888778829	0.003144692047019	0.0344641265667968	SMIM12
AL596275.2	4.66487447885597	0.011646013997523	0.233078198917935	0.843313638003075	NA	AL596275.2
C1orf123	243.902174975701	0.183209408132705	0.0957065901515273	0.0311096566283542	0.140795399373509	C1orf123
OSBPL9	760.115432057748	-0.116880502471785	0.084269158672477	0.12911908501393	0.327495649369878	OSBPL9
PARS2	6.78603883575266	-0.0365805691151533	0.192940902922541	0.707751977455243	NA	PARS2
AC119674.2	17.0501719826866	-0.255248796331175	0.271341368704252	0.0193509816258335	0.10557821266965	AC119674.2
ZYG11B	300.413042581528	0.0407884578827472	0.0960543529407085	0.632605554789601	0.804677978377703	ZYG11B
L1TD1	10.5068900587038	0.25048490936451	0.30457418638499	0.0174283687370689	NA	L1TD1
AC114490.3	7.81117194289257	-0.19377115958278	0.21113386778461	0.0684615226416116	NA	AC114490.3
TXNDC12	63.7956472103183	-0.255907268023832	0.127787087061889	0.012723757078467	0.0815712306409947	TXNDC12
AC093425.1	108.84543139597	-0.0316960607406123	0.16756509988316	0.767351856571336	0.883756124554036	AC093425.1
AC103923.1	5.27991006029908	0.0501034687192222	0.20182067270805	0.587303216300087	NA	AC103923.1
TTC4	2.83500590267449	-0.0550811035759978	0.224712007685989	0.459530477931961	NA	TTC4
PLPP3	349.079981500421	-0.408600342204881	0.356249146651634	0.00269761790223507	0.0313420606272838	PLPP3
SNIP1	616.772235517475	-0.0880659750388862	0.0826503592943031	0.24550927330918	0.478553395876393	SNIP1
CPT2	51.8481588368312	-0.350947645401393	0.14413915867431	0.00139259320623196	0.0208416915441156	CPT2
FOXJ3	1034.44900511073	-0.00351704502398296	0.0723686368652666	0.958646803857241	0.97785716432292	FOXJ3
ZCCHC11	228.197326832873	-0.0357425342335094	0.0904297219771389	0.660974555630635	0.82323474862064	ZCCHC11
MAGOH	338.747804737971	0.0172960383361246	0.0679696879408503	0.787659567045585	0.894676496111262	MAGOH
LINC01707	0.885364798520354	0.0431720720508541	0.241254145253673	0.454403673373019	NA	LINC01707
CDKN2C	55.0040500682738	0.10185389915726	0.149819186942432	0.345777567195594	0.582168521522394	CDKN2C
LINC01771	2.4945658908879	-0.071153657156414	0.227377761267517	0.34970012067712	NA	LINC01771
C1orf87	0.565100816022215	-0.0198788715937374	0.247758646087528	0.656280620940436	NA	C1orf87
ZSWIM5	141.211604032127	0.08142526213984	0.185993457249032	0.430039601206006	0.653106216081148	ZSWIM5
SLC35D1	283.801687628811	-0.0255543470637931	0.0947127311169272	0.76214707550872	0.880517649513559	SLC35D1
LRP8	158.402915968486	-0.338861373756231	0.137040027893721	0.00154084604813922	0.0223287810805295	LRP8
TCEANC2	78.6859373203622	0.0600221188142244	0.122634590748336	0.548216236750333	0.745593003685523	TCEANC2
LRRC42	134.709301160896	-0.0495800757911205	0.116141253345749	0.609090904035289	0.789374659877436	LRRC42
KANK4	22.7728246844068	0.0581694530019367	0.184090089188077	0.571983160843881	0.762471514228785	KANK4
USP1	239.540625594514	0.0999437055633669	0.0832685338086575	0.190161217848073	0.410396955672801	USP1
AK5	7.37342324486643	0.0212628845963688	0.189456534573877	0.830320700541714	NA	AK5
GIPC2	54.1511324061062	0.206124982635952	0.173037115515322	0.0659861855477448	0.220258827515091	GIPC2
RPE65	11.103249579482	0.0863695529882686	0.217649402587115	0.314371002503811	0.552233942727185	RPE65
AL033530.1	0.949759276828419	-0.160518071516051	0.337236662855479	0.0268915357737341	NA	AL033530.1
DNAJC6	175.294381052714	-0.0804633565079611	0.158213366802348	0.457971667830848	0.675942743071411	DNAJC6
AK4	819.394390541987	-0.44485465255731	0.179083042275927	0.000260974834391003	0.0073544929393805	AK4
CACHD1	27.5667464184686	-0.835169268860064	0.439798062245087	4.71557259667249e-05	0.00264651521368335	CACHD1
MCOLN2	187.768249261106	0.0766720216129025	0.204440159067579	0.409713523904115	0.637041615943564	MCOLN2
ST6GALNAC5	1.81716523847771	-0.056728174777575	0.24389477604511	0.346214006843757	NA	ST6GALNAC5
ATG4C	109.805593711574	0.0358129728061684	0.153844068714456	0.739794700535123	0.866900894327852	ATG4C
ADGRL4	4.18508388649905	0.261558175110464	0.31476205660103	NA	NA	ADGRL4
AL096829.2	8.98795861366257	-0.128118249725722	0.203825445281013	0.19854376452165	NA	AL096829.2
TTLL7	24.9610900864854	-0.14363295223806	0.195904002238701	0.168533249620305	0.381055461116582	TTLL7
AC105277.1	20.5335011776027	0.0363815923568932	0.184679674910707	0.721336460822207	0.856493721517945	AC105277.1
ZNHIT6	43.2548400541125	-0.0310883945469067	0.156609670101385	0.773251539352118	0.887420209576189	ZNHIT6
PTGFR	26.0122066319769	-0.279032886108334	0.285614848487067	0.0135040955223991	0.084528234968892	PTGFR
AC099062.1	3.09276675609179	-0.138538367372539	0.295074584265811	0.0557958904876746	NA	AC099062.1
LMO4	794.659260579336	-0.51972063132646	0.139866586390157	1.84764132999945e-06	0.000359882491409452	LMO4
PRPF38A	189.30408534227	-0.110176783608185	0.106693736643501	0.230555808907593	0.461425156993212	PRPF38A
PIGK	202.225572259383	0.0451771117097437	0.11002847675411	0.629969787154559	0.803402823394535	PIGK
HNRNPA3P12	3.69387063153266	-0.0101075111918256	0.209158522752562	0.904135228294752	NA	HNRNPA3P12
PKN2-AS1	42.3478276714231	0.132570040981422	0.126496414673151	0.192510673816569	0.413258326531678	PKN2-AS1
DOCK7	325.505837009607	-0.158521780373024	0.148351236983454	0.144096383357586	0.34910491998742	DOCK7
NEGR1	57.0861486578105	-0.189068575847021	0.239730629369532	0.05747265304305	0.202894363938148	NEGR1
KYAT3	331.484336804268	0.0772742365748219	0.114527046359126	0.421625524082066	0.648096671584321	KYAT3
SHISAL2A	5.24591289783624	-0.162495441635036	0.241360122403527	0.0810982643776134	NA	SHISAL2A
AC093423.3	19.9832868877868	-0.237827304003307	0.198091887807059	0.0355405624053985	0.151848759828053	AC093423.3
DNTTIP2	2916.62581007684	-0.396818795324742	0.118112526959238	5.32737221602277e-05	0.00275183258052532	DNTTIP2
PTPRF	1.23559652160732	-0.00347891599865617	0.226144286965238	0.958005891437449	NA	PTPRF
DHCR24	313.039244425992	0.0791038275297634	0.169563386923347	0.46236984503541	0.679322085135219	DHCR24
COL24A1	192.63979437718	-0.172879572867745	0.174718423957481	0.117773074206379	0.310141225746976	COL24A1
GPX7	27.7778323537419	-0.0106814203799592	0.187699321671061	0.914982998661824	0.958841435403325	GPX7
LINC01362	21.7688982391374	-0.334851521252636	0.340211232971332	0.00619916046101331	0.0522980129338352	LINC01362
PKN2	761.038616204442	0.0509673537971934	0.0915122929071699	0.535465840638959	0.736718886882502	PKN2
AL596275.1	9.79685682736049	0.129648390979379	0.172412741566948	0.233641304390001	NA	AL596275.1
AL031289.1	20.6257685477451	-0.110539619852154	0.160396766627503	0.310376829027615	0.548857289782479	AL031289.1
LINC01364	20.1537855663296	-0.451143002193526	0.285994423125558	0.00111259082416635	0.0185008457093018	LINC01364
AC099671.1	0.618250600302979	-0.00926692187984984	0.243613436967842	0.844291387048036	NA	AC099671.1
MIR4422HG	3.8925376502054	0.0784141939762173	0.19961779306598	0.41483179742315	NA	MIR4422HG
ABCD3	292.4493181381	0.120717290848425	0.10898115145887	0.195234253437643	0.417144327598254	ABCD3
MROH7-TTC4	38.7051853201832	-0.294714510696927	0.188426048445563	0.0120345451904641	0.0789437159050784	MROH7-TTC4
