	baseMean	log2FoldChange	lfcSE	pvalue	padj
IFNA14	7.14282109059355	5.42059515048635	0.887430397206656	3.93295235305592e-14	1.26444418150748e-12
IFNB1	134.879872921594	5.26195208616335	0.393451847450017	3.7455239233503e-44	4.81674376542849e-41
RANBP3L	61.3263967707186	4.32456184463335	0.334822666450997	1.50241481614141e-44	2.20812051835183e-41
PDGFRL	40.6980736270236	4.18851883231235	0.356423797195713	3.07620707950588e-38	1.58240092169782e-35
RXRG	2.53963025321053	3.9359243131744	0.662451131126551	1.55028342419137e-14	5.29877603590725e-13
PLCB4	164.089316294087	3.45606114294972	0.250049046524379	1.6304766126526e-47	3.35486867819399e-44
LAMP5-AS1	8.16125734919627	3.43858595616608	0.419193836940999	1.94602278052888e-20	1.38073671490215e-18
Z97206.2	4.84112205305179	3.41768804446845	0.437601456759806	5.51366054409859e-19	3.30755333397588e-17
FCRL4	2.27543198871411	3.39832768612818	0.458539153996638	1.37084785676181e-17	6.84625376231333e-16
ART3	41.7489729213043	3.33905370354799	0.398686730445505	1.08102541472692e-20	8.05912280196419e-19
AC090136.3	96.6245559372343	3.32079119147105	0.204811828086978	1.42001535448946e-62	9.73941197799168e-59
PTCHD4	8.72857903057704	3.18348325336358	0.468194172382721	5.434560038788e-15	1.96868850982574e-13
MIR31HG	14.0617287675377	3.16484399848638	0.296417584134974	1.34342547478902e-29	3.00460027926727e-27
LINC02015	151.129659436306	3.16311768068176	0.25234083269469	5.67259511929007e-39	3.43292109336802e-36
AC004551.1	98.4822300582385	3.16168541565733	0.312530175996977	4.6900072039792e-27	7.65885620865683e-25
AC016745.2	4.12840365275037	3.14143161830689	0.497687491627622	1.69806294409553e-13	5.04903802568059e-12
CAPSL	2.69050428573696	3.10095913411503	0.433408935413584	8.43974733830692e-16	3.34597767308291e-14
AC099063.4	8.91270850705994	3.0734484290232	0.444014190636089	5.12314722785183e-15	1.8591512761954e-13
NEURL3	74.1569308903201	3.00420648795667	0.328600569062075	1.64218071768398e-22	1.51522468372491e-20
AC006305.1	3.96590723941017	3.00395211054483	0.453494531691118	5.83039343213608e-14	1.82042754566968e-12
