	symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj	ensgene
1	FO538757.1	24.5332517378119	-0.465461977800388	0.214721622978358	0.000353210652854521	0.00894507666741518	NA
2	SDC3	272.379623077636	0.698553934765599	0.391113150473796	0.000101655130320342	0.0041428375418244	ENSG00000162512
3	SESN2	3123.53998278009	-0.797372870716871	0.3002266320045	3.80632343736646e-06	0.000542595344233444	ENSG00000130766
4	RRAGC	382.571907870584	-0.517439069108549	0.180910713092882	3.02128396852405e-05	0.00198590108345048	ENSG00000116954
5	C1orf216	147.815141646697	-0.43456341519899	0.183948214946706	0.000399171323569265	0.00963028083911642	ENSG00000142686
6	AK4	819.394390541987	-0.44485465255731	0.179083042275927	0.000260974834391003	0.0073544929393805	ENSG00000162433
7	CACHD1	27.5667464184686	-0.835169268860064	0.439798062245087	4.71557259667249e-05	0.00264651521368335	ENSG00000158966
8	LMO4	794.659260579336	-0.51972063132646	0.139866586390157	1.84764132999945e-06	0.000359882491409452	ENSG00000143013
9	DNTTIP2	2916.62581007684	-0.396818795324742	0.118112526959238	5.32737221602277e-05	0.00275183258052532	ENSG00000067334
10	VAV3	1734.78465197863	-0.445322671646202	0.116829869189174	4.91855402540271e-06	0.00063868870653391	ENSG00000134215
11	GCLM	1215.34177410197	-0.480287978415671	0.20743202848961	0.000209338962561229	0.00646315748047429	ENSG00000023909
12	PHTF1	380.3806687671	-0.344056835062312	0.107252760780733	0.000185812282687551	0.00604852550092402	ENSG00000116793
13	AL160408.1	113.771704725666	0.593767528578626	0.33335297112094	0.000191485601170177	0.00613136045575397	NA
14	TATDN3	217.234196696591	0.355756366731118	0.112027339807816	0.000176048714629512	0.00584402312097216	ENSG00000203705
15	RAB29	296.764540358892	0.397248592998269	0.129370049932961	0.000131400659407702	0.00487507488474793	ENSG00000117280
16	PHGDH	238.831782241293	-1.1961508398979	0.305564514418614	8.66404072505114e-08	3.82517398011008e-05	ENSG00000092621
17	FNDC10	44.7145156687534	0.420994521099043	0.169111747383854	0.000387635563151295	0.00943792837121122	ENSG00000228594
18	AKR1A1	1011.65779130672	0.325324736034564	0.0968268112749978	0.000141521070207509	0.00518496102039622	ENSG00000117448
19	GBP4	1518.93222005769	1.32643324544756	0.522401662218651	6.23696145443786e-06	0.000750986858763904	ENSG00000162654
20	SLC16A1	302.119500171217	-0.417746449362005	0.166816567374003	0.000397065649641864	0.00959696082026732	ENSG00000155380
21	TTC39A	72.6304391139175	0.496734675477416	0.237835730072359	0.000263511831312898	0.00739452162232909	ENSG00000085831
22	ZFYVE9	64.9821037366487	-1.17308586346631	0.325459203157719	2.27765960918159e-07	7.54190038090256e-05	ENSG00000157077
23	TNFRSF14	1096.32798524968	0.440675767080375	0.146544405972311	7.66273777060322e-05	0.00352406117262638	ENSG00000157873
24	MR1	838.678831215206	0.392867771293786	0.129466159993685	0.000156588618451142	0.00550942444881208	ENSG00000153029
25	SIPA1L2	1135.38184337434	-0.468252295419191	0.175792519811007	0.00011618115076439	0.00451836433787479	ENSG00000116991
26	PMVK	277.514962024679	0.416137219153147	0.134427137678076	8.99181147966792e-05	0.00387936622306845	ENSG00000163344
27	CCNL2	280.31470132112	-0.395333800328203	0.137584015094013	0.000236842662205713	0.00694140144206775	ENSG00000221978
28	AC099063.4	13.9014441695045	1.49220233313965	0.805477314429927	1.78521781909301e-05	0.00142441024180042	NA
29	GBP5	666.37807877319	0.645571656274357	0.455177266850581	0.000330232371064455	0.00853406668795025	ENSG00000154451
30	AIM2	399.678590255393	0.62067580078322	0.420410146274536	0.000330538030269421	0.00853406668795025	ENSG00000163568
31	YARS	1672.21973166823	-0.467481685355732	0.172856721908246	0.000106567300232701	0.00427722391388522	NA
32	SFPQ	8811.82432927859	-0.3877955627038	0.136626495755383	0.000293655641495381	0.00793769177878841	ENSG00000116560
33	UBE2J2	823.459909476641	-0.323872138664465	0.0824638867019441	1.71127852456919e-05	0.00141613943968504	ENSG00000160087
34	ACADM	259.866545251862	0.43389394900819	0.103383416892688	1.26064503751242e-06	0.000269310379384709	ENSG00000117054
35	ago-03	629.509794428403	-0.289490836447599	0.0817399943515051	0.000110053626316325	0.004338274644523	NA
36	AL359265.3	65.258162754174	-0.555545137361524	0.224251988978471	4.7784447678784e-05	0.0026595439879811	NA
37	CEP170	1415.28807122045	-0.397159000778905	0.130841769543329	0.000145938155880215	0.00531030460064136	ENSG00000143702
38	RIT1	2920.24261674693	-0.609316342736945	0.194196037033574	2.96832861314495e-06	0.000473680873266324	ENSG00000143622
39	KDM5B	1410.55571361971	-0.448489147717416	0.143775732814117	4.83889774105289e-05	0.00267046669084356	ENSG00000117139
40	FAM20B	501.103100794888	0.339138516967065	0.106469853663887	0.00021317620770548	0.00653592331263675	ENSG00000116199
41	CLIC4	4123.66504931404	-0.589234338326488	0.209172086440227	1.13031509514192e-05	0.00104692471574508	ENSG00000169504
42	PTBP2	487.20047098982	-0.389387963815308	0.121718349258516	0.000100307877561788	0.00411324408144236	ENSG00000117569
43	PUSL1	32.0495201228149	0.441417519159105	0.185215123206619	0.000341279220664977	0.00874321717158148	ENSG00000169972
44	IFFO2	2017.15392716946	0.448791503361851	0.164287782669576	0.000137687434507847	0.00507986091937726	ENSG00000169991
45	ST6GALNAC3	1300.28703044569	-1.07893076428972	0.23675143085887	2.99231433438414e-09	3.9633203358918e-06	ENSG00000184005
46	GBP1P1	13.1281165968624	0.724041439799998	0.761105630930832	0.000364968792032484	0.00910834774770352	ENSG00000290525
47	C1orf122	358.792052740363	-0.450226065642024	0.161607425696988	0.000117277706770427	0.00452869745240321	ENSG00000197982
48	MTF1	8602.26179457631	-0.363756552724036	0.10692059856433	7.45598956645905e-05	0.00346507304588597	ENSG00000188786
49	SUCO	863.332675164576	0.333824936690563	0.0943664352655947	6.81053127132879e-05	0.00324480167945144	ENSG00000094975
50	KIAA0040	601.947578915699	0.407885509434329	0.138710353909286	0.00016062972060419	0.00555493642141646	ENSG00000235750
51	RBBP5	296.207634656773	-0.46296003702031	0.116874911218526	2.0470099977144e-06	0.000381868273517286	ENSG00000117222
52	SDHB	1085.32950626803	0.32042302099844	0.100809683856339	0.000275568714510097	0.00761984890122388	ENSG00000117118
53	MIR29B2CHG	613.609867214003	0.723645698428305	0.22712144731198	6.85918600582728e-07	0.000181699837294365	NA
54	PPP4R3B	1287.04366327604	-0.268246718462304	0.0704784635672965	4.89192978190112e-05	0.00267764511339551	ENSG00000275052
55	ADD2	38.9389194646653	0.829264963629572	0.656429315524853	0.000217718312987548	0.00658438104010005	ENSG00000075340
56	KCMF1	1460.5217940637	-0.29751598575976	0.0734259643129618	1.35702478283531e-05	0.00122270702371794	ENSG00000176407
57	KRCC1	542.40250205408	-0.356216781831381	0.111104704310704	0.000158670993150383	0.00551600342329876	ENSG00000172086
58	NEURL3	107.362749773371	1.27824785607321	0.517747778300808	7.4321158122103e-06	0.000849246398297941	ENSG00000163121
59	GALM	122.281376507504	0.416784728863424	0.146144712507969	0.000175936329559499	0.00584402312097216	ENSG00000143891
60	HS6ST1	472.93293840882	-0.299658370662913	0.0891509320837455	0.000188862406230524	0.00609814598879047	ENSG00000136720
61	SOWAHC	180.646418855638	-0.808746237950875	0.332557452798558	8.43105691169884e-06	0.000886264672979771	ENSG00000198142
62	sept-10	197.18710135532	-0.503821137447445	0.204257314973295	0.000103736104118743	0.00420178807049772	NA
63	CWC22	526.204136404824	-0.337203923461042	0.0954677673550256	6.66357434054853e-05	0.00319779138190454	ENSG00000163510
64	ARL4C	212.375078969219	0.719453676089456	0.414181790066387	0.000107015345438135	0.00427909156423992	ENSG00000188042
65	PIKFYVE	1081.19128666344	-0.281841262172803	0.0846069520053794	0.000252437954159179	0.00723710108839466	ENSG00000115020
66	SGPP2	5168.15322328551	-0.638845953482013	0.290631030309272	4.33765139530625e-05	0.00251786230443371	ENSG00000163082
67	STEAP3	33.3779914402707	-1.00482190880079	0.302209091529079	3.1840156192917e-07	9.58461065398148e-05	ENSG00000115107
