sample;condition
S1003L;LPS
S1010L;LPS
S1012L;LPS
S1014L;LPS
S1015L;LPS
S1016L;LPS
S1017L;LPS
S1018L;LPS
S1022L;LPS
S1025L;LPS
S1029L;LPS
S1031L;LPS
S1032L;LPS
S1034L;LPS
S1045L;LPS
S1047L;LPS
S1049L;LPS
S1051L;LPS
S1052L;LPS
S1055L;LPS
S1056L;LPS
S1060L;LPS
S1061L;LPS
S1064L;LPS
S1067L;LPS
S1068L;LPS
S1070L;LPS
S1071L;LPS
S1074L;LPS
S1077L;LPS
S1079L;LPS
S1082L;LPS
S1084L;LPS
S1088L;LPS
S1092L;LPS
S3001L;LPS
S3005L;LPS
S3007L;LPS
S3013L;LPS
S3015L;LPS
S3016L;LPS
S3018L;LPS
S3019L;LPS
S3028L;LPS
S3031L;LPS
S3032L;LPS
S1003M;media
S1010M;media
S1012M;media
S1014M;media
S1015M;media
S1016M;media
S1017M;media
S1018M;media
S1022M;media
S1025M;media
S1029M;media
S1031M;media
S1032M;media
S1034M;media
S1045M;media
S1047M;media
S1049M;media
S1051M;media
S1052M;media
S1055M;media
S1056M;media
S1060M;media
S1061M;media
S1064M;media
S1067M;media
S1068M;media
S1070M;media
S1071M;media
S1074M;media
S1077M;media
S1079M;media
S1082M;media
S1084M;media
S1088M;media
S1092M;media
S3001M;media
S3005M;media
S3007M;media
S3013M;media
S3015M;media
S3016M;media
S3018M;media
S3019M;media
S3028M;media
S3031M;media
S3032M;media
