NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	1	0.9333540797233582	0.040183313	Yes	
row_1	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	149	0.6319391131401062	0.05701683	Yes	
row_2	MMP14	matrix metallopeptidase 14 [Source:HGNC Symbol;Acc:HGNC:7160]	239	0.5794568061828613	0.07569859	Yes	
row_3	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	308	0.5526415109634399	0.09471257	Yes	
row_4	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]	347	0.5420579314231873	0.11539686	Yes	
row_5	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	412	0.5228090286254883	0.13340777	Yes	
row_6	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	538	0.488974392414093	0.14563505	Yes	
row_7	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	698	0.45559200644493103	0.15401228	Yes	
row_8	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	827	0.4331681728363037	0.16362004	Yes	
row_9	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	883	0.4242715835571289	0.1780192	Yes	
row_10	MST1	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]	957	0.4147402346134186	0.19073124	Yes	
row_11	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	1050	0.40207087993621826	0.20154993	Yes	
row_12	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	1060	0.40061163902282715	0.2181897	Yes	
row_13	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	1079	0.3991377055644989	0.23412788	Yes	
row_14	RABIF	RAB interacting factor [Source:HGNC Symbol;Acc:HGNC:9797]	1120	0.3943578004837036	0.24830028	Yes	
row_15	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	1163	0.38980633020401	0.2621346	Yes	
row_16	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]	1202	0.38489830493927	0.27604082	Yes	
row_17	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	1350	0.3649233281612396	0.28135833	Yes	
row_18	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	1398	0.35855036973953247	0.29349017	Yes	
row_19	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	1455	0.35262903571128845	0.30472863	Yes	
row_20	P2RY1	purinergic receptor P2Y1 [Source:HGNC Symbol;Acc:HGNC:8539]	1493	0.34816059470176697	0.31712127	Yes	
row_21	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	1529	0.3432586193084717	0.32944432	Yes	
row_22	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	1586	0.3376236855983734	0.3400356	Yes	
row_23	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	1658	0.32972630858421326	0.3492229	Yes	
row_24	CPQ	carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910]	1666	0.3292842209339142	0.36292818	Yes	
row_25	MASP2	MBL associated serine protease 2 [Source:HGNC Symbol;Acc:HGNC:6902]	1837	0.3141455352306366	0.3644252	Yes	
row_26	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	1866	0.31114083528518677	0.3758593	Yes	
row_27	SPARC	secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]	1993	0.3003142774105072	0.37987906	Yes	
row_28	ARF4	ADP ribosylation factor 4 [Source:HGNC Symbol;Acc:HGNC:655]	2072	0.29324570298194885	0.38699675	Yes	
row_29	LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	2321	0.2731911540031433	0.38119793	Yes	
row_30	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	2397	0.26817095279693604	0.38744685	Yes	
row_31	CTSV	cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]	2497	0.26078206300735474	0.3916757	Yes	
