NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	20	0.7824455499649048	0.015522185	Yes	
row_1	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	55	0.7103362083435059	0.028484223	Yes	
row_2	AMMECR1L	AMMECR1 like [Source:HGNC Symbol;Acc:HGNC:28658]	62	0.6986446380615234	0.04318945	Yes	
row_3	PRDM4	PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]	74	0.6895511150360107	0.057341203	Yes	
row_4	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	133	0.6414486169815063	0.06709987	Yes	
row_5	CNOT4	CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]	146	0.6337420344352722	0.07997146	Yes	
row_6	UBE2J2	ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]	161	0.6259092688560486	0.09253079	Yes	
row_7	HSPA13	heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375]	180	0.6147837042808533	0.10456393	Yes	
row_8	HS6ST1	heparan sulfate 6-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5201]	191	0.6021803617477417	0.116894476	Yes	
row_9	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	208	0.595241367816925	0.12864693	Yes	
row_10	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	218	0.5885762572288513	0.1407541	Yes	
row_11	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	275	0.5658634901046753	0.14901815	Yes	
row_12	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	300	0.554487943649292	0.15931745	Yes	
row_13	SOWAHC	sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:HGNC:26149]	307	0.5527022480964661	0.17086148	Yes	
