NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VAV3	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	29	0.7547158002853394	0.029062402	Yes	
row_1	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	46	0.7217183709144592	0.057685733	Yes	
row_2	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	51	0.7140744924545288	0.08684448	Yes	
row_3	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	143	0.6345645785331726	0.10655821	Yes	
row_4	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	218	0.5885762572288513	0.12558077	Yes	
row_5	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	264	0.5720542669296265	0.14597768	Yes	
row_6	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	312	0.5516679883003235	0.16539226	Yes	
row_7	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	385	0.5311881303787231	0.18219039	Yes	
row_8	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	410	0.5235788822174072	0.2020771	Yes	
row_9	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	472	0.5069592595100403	0.21865594	Yes	
row_10	RPTOR	regulatory associated protein of MTOR complex 1 [Source:HGNC Symbol;Acc:HGNC:30287]	590	0.47731637954711914	0.23004319	Yes	
row_11	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	628	0.4683160185813904	0.24672988	Yes	
row_12	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	631	0.4680955111980438	0.26588833	Yes	
row_13	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	669	0.46079322695732117	0.28226486	Yes	
row_14	CAB39	calcium binding protein 39 [Source:HGNC Symbol;Acc:HGNC:20292]	703	0.4540126919746399	0.29864532	Yes	
row_15	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	771	0.44148096442222595	0.31209913	Yes	
row_16	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	776	0.44076085090637207	0.32998878	Yes	
row_17	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	842	0.4310164451599121	0.34315285	Yes	
row_18	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	1085	0.39845532178878784	0.34242833	Yes	
row_19	PDK1	pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]	1176	0.3884516954421997	0.35206535	Yes	
row_20	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	1194	0.3864169716835022	0.3667929	Yes	
row_21	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	1658	0.32972630858421326	0.34756967	Yes	
row_22	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1833	0.31452319025993347	0.3482045	Yes	
row_23	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	1986	0.30160558223724365	0.34986606	Yes	
row_24	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	1998	0.2997630536556244	0.36144602	Yes	
row_25	CAB39L	calcium binding protein 39 like [Source:HGNC Symbol;Acc:HGNC:20290]	2024	0.29789698123931885	0.37195668	Yes	
row_26	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	2288	0.2753828167915344	0.36466917	No	
row_27	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	2395	0.2683299481868744	0.36821932	No	
row_28	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	2711	0.24831676483154297	0.35613	No	
row_29	MAPKAP1	MAPK associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18752]	3053	0.2315659075975418	0.3415071	No	
row_30	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	3205	0.22357286512851715	0.34002218	No	
row_31	ARHGDIA	Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678]	3461	0.21422027051448822	0.3307799	No	
row_32	ATF1	activating transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:783]	3517	0.21235787868499756	0.33563724	No	
row_33	ADCY2	adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]	3707	0.20549938082695007	0.3307136	No	
row_34	ARPC3	actin related protein 2/3 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:706]	3729	0.20484931766986847	0.3376713	No	
row_35	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	3770	0.20361043512821198	0.34323117	No	
row_36	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	4054	0.19514212012290955	0.33121762	No	
row_37	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	4332	0.18630869686603546	0.31926513	No	
row_38	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	4543	0.17851583659648895	0.3117404	No	
row_39	UBE2N	ubiquitin conjugating enzyme E2 N [Source:HGNC Symbol;Acc:HGNC:12492]	5042	0.15915845334529877	0.2830036	No	
row_40	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	5219	0.15259379148483276	0.27682006	No	
row_41	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	5640	0.13218429684638977	0.25249988	No	
row_42	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	5708	0.12925846874713898	0.25308028	No	
