NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATF7IP2	activating transcription factor 7 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:20397]	284	0.7155647277832031	0.0025832048	No	
row_1	LYRM4	LYR motif containing 4 [Source:HGNC Symbol;Acc:HGNC:21365]	637	0.5381876230239868	-0.0045749363	No	
row_2	HNF1B	HNF1 homeobox B [Source:HGNC Symbol;Acc:HGNC:11630]	1293	0.35646286606788635	-0.037056997	No	
row_3	KHDRBS3	KH RNA binding domain containing, signal transduction associated 3 [Source:HGNC Symbol;Acc:HGNC:18117]	1627	0.30178597569465637	-0.049989007	No	
row_4	BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	1968	0.26216885447502136	-0.06455832	No	
row_5	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	2013	0.25810128450393677	-0.059783753	No	
row_6	IKZF3	IKAROS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13178]	2224	0.24053078889846802	-0.06644722	No	
row_7	WDR12	WD repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:14098]	2444	0.2214432656764984	-0.07426959	No	
row_8	BAMBI	BMP and activin membrane bound inhibitor [Source:HGNC Symbol;Acc:HGNC:30251]	2521	0.21676401793956757	-0.07282742	No	
row_9	HPS5	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2 [Source:HGNC Symbol;Acc:HGNC:17022]	2583	0.21180550754070282	-0.070546165	No	
row_10	THOC1	THO complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19070]	2614	0.2103716880083084	-0.06626898	No	
row_11	NEO1	neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]	2883	0.19443434476852417	-0.07811597	No	
row_12	NBPF10	NBPF member 10 [Source:HGNC Symbol;Acc:HGNC:31992]	2963	0.1896248310804367	-0.077677354	No	
row_13	ATP7B	ATPase copper transporting beta [Source:HGNC Symbol;Acc:HGNC:870]	3108	0.182379812002182	-0.081728324	No	
row_14	WWC1	WW and C2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29435]	3343	0.17185480892658234	-0.09201032	No	
row_15	NCAPH	non-SMC condensin I complex subunit H [Source:HGNC Symbol;Acc:HGNC:1112]	3346	0.17170697450637817	-0.087040566	No	
row_16	CD302	CD302 molecule [Source:HGNC Symbol;Acc:HGNC:30843]	3604	0.16290542483329773	-0.0991009	No	
row_17	QTRT1	queuine tRNA-ribosyltransferase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:23797]	3607	0.16278915107250214	-0.09439609	No	
row_18	MAOB	monoamine oxidase B [Source:HGNC Symbol;Acc:HGNC:6834]	3682	0.16011400520801544	-0.09450542	No	
row_19	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	3796	0.15661689639091492	-0.09728326	No	
row_20	ITIH3	inter-alpha-trypsin inhibitor heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:6168]	3940	0.15202677249908447	-0.10217024	No	
row_21	ZNF24	zinc finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13032]	4035	0.14925609529018402	-0.10391733	No	
row_22	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	4403	0.13835188746452332	-0.12394063	No	
row_23	NAV3	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]	4434	0.13767610490322113	-0.12182317	No	
row_24	SMOX	spermine oxidase [Source:HGNC Symbol;Acc:HGNC:15862]	4760	0.1287333220243454	-0.13937035	No	
row_25	ARHGAP24	Rho GTPase activating protein 24 [Source:HGNC Symbol;Acc:HGNC:25361]	4830	0.1267448365688324	-0.14014225	No	
row_26	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	4907	0.1245378777384758	-0.14144003	No	
row_27	FAM136A	family with sequence similarity 136 member A [Source:HGNC Symbol;Acc:HGNC:25911]	5160	0.11760422587394714	-0.15451743	No	
row_28	CXCR5	C-X-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1060]	5244	0.11546888947486877	-0.15654497	No	
row_29	SLC4A1AP	solute carrier family 4 member 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:13813]	5270	0.11476702243089676	-0.15477931	No	
row_30	HEMK1	HemK methyltransferase family member 1 [Source:HGNC Symbol;Acc:HGNC:24923]	5349	0.11244190484285355	-0.15656798	No	
row_31	POLR3D	RNA polymerase III subunit D [Source:HGNC Symbol;Acc:HGNC:1080]	5397	0.11077136546373367	-0.15636773	No	
row_32	POLR3K	RNA polymerase III subunit K [Source:HGNC Symbol;Acc:HGNC:14121]	5500	0.10792087018489838	-0.15986894	No	
row_33	EPN2	epsin 2 [Source:HGNC Symbol;Acc:HGNC:18639]	5902	0.09590651094913483	-0.18338907	No	
row_34	FAM171A1	family with sequence similarity 171 member A1 [Source:HGNC Symbol;Acc:HGNC:23522]	6019	0.09243263304233551	-0.18827105	No	
row_35	MRC1	mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228]	6324	0.08317358046770096	-0.20579082	No	
row_36	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	6348	0.08257222175598145	-0.20485014	No	
row_37	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	6524	0.07743260264396667	-0.21405753	No	
row_38	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	6532	0.07709735631942749	-0.21222734	No	
row_39	HOXA1	homeobox A1 [Source:HGNC Symbol;Acc:HGNC:5099]	7005	0.06306076794862747	-0.24139221	No	
row_40	ACACA	acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]	7128	0.058974795043468475	-0.24766274	No	
row_41	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	7150	0.05844062194228172	-0.24730746	No	
row_42	TMEM8B	transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427]	7503	0.046973519027233124	-0.26905915	No	
row_43	NDRG4	NDRG family member 4 [Source:HGNC Symbol;Acc:HGNC:14466]	7739	0.03852330520749092	-0.28336805	No	
row_44	TBC1D1	TBC1 domain family member 1 [Source:HGNC Symbol;Acc:HGNC:11578]	7767	0.037691354751586914	-0.2840238	No	
row_45	PYY	peptide YY [Source:HGNC Symbol;Acc:HGNC:9748]	7790	0.036768876016139984	-0.2843781	No	
row_46	RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842]	7882	0.03357580304145813	-0.2893647	No	
row_47	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	7989	0.02968764491379261	-0.29545316	No	
row_48	OXR1	oxidation resistance 1 [Source:HGNC Symbol;Acc:HGNC:15822]	8418	0.01593959331512451	-0.32312456	No	
row_49	GLCE	glucuronic acid epimerase [Source:HGNC Symbol;Acc:HGNC:17855]	8439	0.01543631125241518	-0.32398114	No	
row_50	ARCN1	archain 1 [Source:HGNC Symbol;Acc:HGNC:649]	8506	0.013041511178016663	-0.3279338	No	
row_51	P3H4	prolyl 3-hydroxylase family member 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:16946]	8625	0.008284873329102993	-0.33544725	No	
row_52	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	8733	0.0037442143075168133	-0.34237224	No	
row_53	RLIG1	RNA 5'-phosphate and 3'-OH ligase 1 [Source:HGNC Symbol;Acc:HGNC:25322]	8755	0.0031174614559859037	-0.34366056	No	
row_54	KLRF1	killer cell lectin like receptor F1 [Source:HGNC Symbol;Acc:HGNC:13342]	8911	-0.0018309501465409994	-0.35379884	No	
row_55	MEAF6	MYST/Esa1 associated factor 6 [Source:HGNC Symbol;Acc:HGNC:25674]	9104	-0.008800974115729332	-0.36616313	No	
row_56	C6orf120	chromosome 6 open reading frame 120 [Source:HGNC Symbol;Acc:HGNC:21247]	9337	-0.017853712663054466	-0.38088885	No	
row_57	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	9419	-0.020831596106290817	-0.38559645	No	
row_58	C1QB	complement C1q B chain [Source:HGNC Symbol;Acc:HGNC:1242]	9472	-0.022575343027710915	-0.38834524	No	
row_59	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0 [Source:HGNC Symbol;Acc:HGNC:5030]	9519	-0.02478831075131893	-0.39063373	No	
row_60	DDX27	DEAD-box helicase 27 [Source:HGNC Symbol;Acc:HGNC:15837]	9542	-0.02535543218255043	-0.39132714	No	
row_61	PSMD6	proteasome 26S subunit, non-ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9564]	9580	-0.027079101651906967	-0.39295572	No	
row_62	MEGF9	multiple EGF like domains 9 [Source:HGNC Symbol;Acc:HGNC:3234]	9589	-0.02732558734714985	-0.39266998	No	
row_63	ZNF131	zinc finger protein 131 [Source:HGNC Symbol;Acc:HGNC:12915]	9688	-0.031079791486263275	-0.39819103	No	
row_64	TMEM106C	transmembrane protein 106C [Source:HGNC Symbol;Acc:HGNC:28775]	9732	-0.03358748182654381	-0.4000208	No	
row_65	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1 [Source:HGNC Symbol;Acc:HGNC:7683]	9821	-0.03771569952368736	-0.40468714	No	
row_66	USP46	ubiquitin specific peptidase 46 [Source:HGNC Symbol;Acc:HGNC:20075]	9829	-0.038227394223213196	-0.40401173	No	
row_67	ANKMY2	ankyrin repeat and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25370]	10026	-0.0471307672560215	-0.4155003	No	
row_68	SNRPF	small nuclear ribonucleoprotein polypeptide F [Source:HGNC Symbol;Acc:HGNC:11162]	10041	-0.04775572940707207	-0.41500217	No	
row_69	WDR41	WD repeat domain 41 [Source:HGNC Symbol;Acc:HGNC:25601]	10045	-0.04794502630829811	-0.41377503	No	
row_70	MXRA7	matrix remodeling associated 7 [Source:HGNC Symbol;Acc:HGNC:7541]	10199	-0.05472521856427193	-0.42221037	No	
row_71	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	10210	-0.05497885122895241	-0.42123458	No	
row_72	CCNB1IP1	cyclin B1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19437]	10337	-0.06223214417695999	-0.42767137	No	
row_73	TP73	tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]	10345	-0.06290742009878159	-0.42626277	No	
