NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RUBCNL	rubicon like autophagy enhancer [Source:HGNC Symbol;Acc:HGNC:20420]	338	0.679704487323761	-0.0035053154	No	
row_1	CCDC82	coiled-coil domain containing 82 [Source:HGNC Symbol;Acc:HGNC:26282]	1056	0.4083608090877533	-0.039431524	No	
row_2	HDAC6	histone deacetylase 6 [Source:HGNC Symbol;Acc:HGNC:14064]	1244	0.364864319562912	-0.041679196	No	
row_3	CDC14B	cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]	1476	0.32113051414489746	-0.048027977	No	
row_4	TOP2B	DNA topoisomerase II beta [Source:HGNC Symbol;Acc:HGNC:11990]	1785	0.28173816204071045	-0.060529806	No	
row_5	PBLD	phenazine biosynthesis like protein domain containing [Source:HGNC Symbol;Acc:HGNC:23301]	1929	0.2660500407218933	-0.06260599	No	
row_6	BCLAF1	BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]	2161	0.24612003564834595	-0.07102258	No	
row_7	CLUAP1	clusterin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:19009]	2269	0.23651140928268433	-0.07154401	No	
row_8	ZC4H2	zinc finger C4H2-type containing [Source:HGNC Symbol;Acc:HGNC:24931]	2297	0.23402835428714752	-0.06686934	No	
row_9	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	2746	0.20180122554302216	-0.09078774	No	
row_10	PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	3088	0.1833430379629135	-0.10817365	No	
row_11	ADGRA3	adhesion G protein-coupled receptor A3 [Source:HGNC Symbol;Acc:HGNC:13839]	3100	0.18275465071201324	-0.10385954	No	
row_12	HMMR	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	3158	0.1795559525489807	-0.102660716	No	
row_13	THOC2	THO complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19073]	3449	0.16852480173110962	-0.117098965	No	
row_14	LBHD1	LBH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28351]	3689	0.15997934341430664	-0.12841664	No	
row_15	LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	3931	0.15241482853889465	-0.14007448	No	
row_16	DDX46	DEAD-box helicase 46 [Source:HGNC Symbol;Acc:HGNC:18681]	4007	0.15005293488502502	-0.14087348	No	
row_17	PDSS2	decaprenyl diphosphate synthase subunit 2 [Source:HGNC Symbol;Acc:HGNC:23041]	4047	0.14872263371944427	-0.13934012	No	
row_18	PDE4A	phosphodiesterase 4A [Source:HGNC Symbol;Acc:HGNC:8780]	4241	0.14311836659908295	-0.14809549	No	
row_19	SV2A	synaptic vesicle glycoprotein 2A [Source:HGNC Symbol;Acc:HGNC:20566]	4338	0.1405583620071411	-0.15053818	No	
row_20	TMX4	thioredoxin related transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:25237]	4566	0.1337844282388687	-0.16178828	No	
row_21	GABRA3	gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]	4590	0.13300548493862152	-0.15963529	No	
row_22	ZNF83	zinc finger protein 83 [Source:HGNC Symbol;Acc:HGNC:13158]	4629	0.13208486139774323	-0.15849477	No	
row_23	R3HDM1	R3H domain containing 1 [Source:HGNC Symbol;Acc:HGNC:9757]	4939	0.12382610142230988	-0.17541556	No	
row_24	DPH5	diphthamide biosynthesis 5 [Source:HGNC Symbol;Acc:HGNC:24270]	5241	0.11555792391300201	-0.19203784	No	
row_25	PHF7	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]	5374	0.11162923276424408	-0.19764705	No	
row_26	MRPS27	mitochondrial ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:14512]	5425	0.10986677557229996	-0.1979087	No	
row_27	NTHL1	nth like DNA glycosylase 1 [Source:HGNC Symbol;Acc:HGNC:8028]	5442	0.10942721366882324	-0.19594502	No	
row_28	SEC14L5	SEC14 like lipid binding 5 [Source:HGNC Symbol;Acc:HGNC:29032]	5464	0.10865030437707901	-0.19433181	No	
row_29	KCNIP1	potassium voltage-gated channel interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:15521]	5486	0.1082923486828804	-0.19272846	No	
row_30	SLC25A14	solute carrier family 25 member 14 [Source:HGNC Symbol;Acc:HGNC:10984]	5595	0.10477586090564728	-0.19694725	No	
row_31	PPFIA4	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	5847	0.09737469255924225	-0.21078043	No	
row_32	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	5874	0.09661150723695755	-0.20982812	No	
row_33	LEPROTL1	leptin receptor overlapping transcript like 1 [Source:HGNC Symbol;Acc:HGNC:6555]	6147	0.08858492970466614	-0.22528556	No	
row_34	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	6246	0.08576226979494095	-0.22937042	No	
row_35	ROR1	receptor tyrosine kinase like orphan receptor 1 [Source:HGNC Symbol;Acc:HGNC:10256]	6416	0.08059103041887283	-0.23827012	No	
row_36	ARHGAP15	Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]	6445	0.07978218048810959	-0.23791336	No	
row_37	BLMH	bleomycin hydrolase [Source:HGNC Symbol;Acc:HGNC:1059]	6633	0.07401632517576218	-0.24817882	No	
row_38	WSCD1	WSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29060]	6717	0.07117311656475067	-0.25167876	No	
row_39	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	6814	0.06862171739339828	-0.25610453	No	
row_40	MMD	monocyte to macrophage differentiation associated [Source:HGNC Symbol;Acc:HGNC:7153]	6830	0.06811719387769699	-0.25521383	No	
row_41	LRRC31	leucine rich repeat containing 31 [Source:HGNC Symbol;Acc:HGNC:26261]	6857	0.06718984246253967	-0.2550726	No	
row_42	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	6917	0.06577040255069733	-0.2571421	No	
row_43	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]	6982	0.06359285861253738	-0.25960067	No	
row_44	SCAPER	S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081]	7153	0.05810113996267319	-0.26918617	No	
row_45	CLSTN1	calsyntenin 1 [Source:HGNC Symbol;Acc:HGNC:17447]	7189	0.05679570510983467	-0.26992372	No	
