NAME	TITLE	SCORE	
TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	1.5945983	
PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	1.521508	
NOCT	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	1.4628925	
EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	1.428884	
PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	1.4217565	
NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	1.419241	
CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	1.4138813	
ZFC3H1	zinc finger C3H1-type containing [Source:HGNC Symbol;Acc:HGNC:28328]	1.397731	
NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	1.3613487	
EIF1B-AS1	EIF1B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44555]	1.34361	
FRMD7	FERM domain containing 7 [Source:HGNC Symbol;Acc:HGNC:8079]	1.3431134	
NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	1.333444	
PELI1	pellino E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:8827]	1.3212646	
TRAF3IP2-AS1	TRAF3IP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40005]	1.3193548	
ELF2	E74 like ETS transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3317]	1.2636595	
MSANTD3	Myb/SANT DNA binding domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23370]	1.2505422	
LINC02015	long intergenic non-protein coding RNA 2015 [Source:HGNC Symbol;Acc:HGNC:52850]	1.2461264	
ACOD1	aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904]	1.2336763	
BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	1.2271892	
ACOX3	acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]	1.2271181	
NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1.2115643	
GXYLT2	glucoside xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:33383]	1.2049701	
TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	1.1969543	
ABCA6	ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]	1.1938637	
BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	1.193292	
KRT8P20	keratin 8 pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:33372]	1.1841457	
PIM3	Pim-3 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:19310]	1.1786568	
STX11	syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429]	1.174485	
RHOH	ras homolog family member H [Source:HGNC Symbol;Acc:HGNC:686]	1.1742237	
OR2B11	olfactory receptor family 2 subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:31249]	1.172616	
MIR3945HG	MIR3945 host gene [Source:HGNC Symbol;Acc:HGNC:52002]	1.1533217	
TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	1.142537	
HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]	1.140871	
ARL5B	ADP ribosylation factor like GTPase 5B [Source:HGNC Symbol;Acc:HGNC:23052]	1.139607	
REV3L	REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]	1.1365157	
ZNF697	zinc finger protein 697 [Source:HGNC Symbol;Acc:HGNC:32034]	1.1302516	
CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	1.1162598	
IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	1.1118584	
CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	1.1111482	
RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	1.1078318	
EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	1.10729	
PATL2	PAT1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:33630]	1.0979304	
MFSD2A	MFSD2 lysolipid transporter A, lysophospholipid [Source:HGNC Symbol;Acc:HGNC:25897]	1.0929304	
GCKR	glucokinase regulator [Source:HGNC Symbol;Acc:HGNC:4196]	1.0911595	
TNIP3	TNFAIP3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:19315]	1.085363	
BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	1.0843256	
PPP3CC	protein phosphatase 3 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9316]	1.0810447	
MIR155HG	MIR155 host gene [Source:HGNC Symbol;Acc:HGNC:35460]	1.0801779	
KLHL21	kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]	1.0794584	
ADCY10	adenylate cyclase 10 [Source:HGNC Symbol;Acc:HGNC:21285]	1.0750668	
LINC01465	long intergenic non-protein coding RNA 1465 [Source:HGNC Symbol;Acc:HGNC:26364]	1.0724775	
GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]	1.0697085	
F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	1.0609015	
VIM-AS1	VIM antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44879]	1.0604507	
ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	1.0601618	
IL36G	interleukin 36 gamma [Source:HGNC Symbol;Acc:HGNC:15741]	1.0569764	
PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	1.0568188	
TRAF3IP2	TRAF3 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1343]	1.0558617	
MBNL1	muscleblind like splicing regulator 1 [Source:HGNC Symbol;Acc:HGNC:6923]	1.0525624	
OSR2	odd-skipped related transciption factor 2 [Source:HGNC Symbol;Acc:HGNC:15830]	1.0501525	
GCNT4	glucosaminyl (N-acetyl) transferase 4 [Source:HGNC Symbol;Acc:HGNC:17973]	1.0495862	
CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	1.0476607	
SFR1	SWI5 dependent homologous recombination repair protein 1 [Source:HGNC Symbol;Acc:HGNC:29574]	1.0423337	
PILRA	paired immunoglobin like type 2 receptor alpha [Source:HGNC Symbol;Acc:HGNC:20396]	1.0422256	
