NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	1	1.521507978439331	0.042174898	Yes	
row_1	ADCY9	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	210	0.7915504574775696	0.050461523	Yes	
row_2	MREG	melanoregulin [Source:HGNC Symbol;Acc:HGNC:25478]	250	0.7445733547210693	0.06856603	Yes	
row_3	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	309	0.7025540471076965	0.08425357	Yes	
row_4	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	350	0.6699252724647522	0.10021985	Yes	
row_5	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	464	0.60671466588974	0.10962705	Yes	
row_6	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	471	0.6041398644447327	0.12600456	Yes	
row_7	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	487	0.5946791172027588	0.14152712	Yes	
row_8	KCNK5	potassium two pore domain channel subfamily K member 5 [Source:HGNC Symbol;Acc:HGNC:6280]	601	0.5483454465866089	0.14931384	Yes	
row_9	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	714	0.5131780505180359	0.15619004	Yes	
row_10	RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	793	0.4854714870452881	0.16453463	Yes	
row_11	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	795	0.4846678376197815	0.17792436	Yes	
row_12	NAV2	neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]	815	0.47837308049201965	0.18995473	Yes	
row_13	PRSS23	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	873	0.46050795912742615	0.1989883	Yes	
row_14	FOXC1	forkhead box C1 [Source:HGNC Symbol;Acc:HGNC:3800]	886	0.45497453212738037	0.21082975	Yes	
row_15	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	894	0.4529317319393158	0.22294354	Yes	
row_16	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	899	0.45174747705459595	0.2352219	Yes	
row_17	LAD1	ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]	925	0.44378483295440674	0.24589714	Yes	
row_18	TIPARP	TCDD inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]	937	0.4408421516418457	0.25741208	Yes	
row_19	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	1081	0.40183454751968384	0.25915697	Yes	
row_20	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	1165	0.38241612911224365	0.26431143	Yes	
row_21	TTC39A	tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657]	1168	0.3820447623729706	0.2747863	Yes	
row_22	RETREG1	reticulophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:25964]	1243	0.3650555908679962	0.28005108	Yes	
row_23	OLFML3	olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956]	1369	0.3405524492263794	0.28127924	Yes	
row_24	BAG1	BAG cochaperone 1 [Source:HGNC Symbol;Acc:HGNC:937]	1378	0.3393207788467407	0.2901731	Yes	
row_25	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	1383	0.3382970988750458	0.2993018	Yes	
row_26	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	1414	0.33203697204589844	0.30654562	Yes	
row_27	SLC19A2	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]	1415	0.3319832980632782	0.31576228	Yes	
row_28	RHOBTB3	Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]	1512	0.3177151381969452	0.31826493	Yes	
row_29	OPN3	opsin 3 [Source:HGNC Symbol;Acc:HGNC:14007]	1708	0.2902006506919861	0.31348842	Yes	
row_30	SLC7A2	solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]	1771	0.2840656638145447	0.31729448	Yes	
row_31	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	1817	0.2786625921726227	0.32206932	Yes	
row_32	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	1850	0.27452054619789124	0.3275847	Yes	
row_33	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	1903	0.26933515071868896	0.33163992	Yes	
