NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AVL9	AVL9 cell migration associated [Source:HGNC Symbol;Acc:HGNC:28994]	188	0.6060764789581299	-0.0016084351	No	
row_1	SMURF1	SMAD specific E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:16807]	331	0.546465277671814	-0.001098357	No	
row_2	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]	704	0.4537774920463562	-0.018781051	No	
row_3	INTS13	integrator complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:20174]	1128	0.39357998967170715	-0.04126891	No	
row_4	RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842]	1199	0.38559290766716003	-0.038757138	No	
row_5	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	1398	0.35855036973953247	-0.04589271	No	
row_6	FADD	Fas associated via death domain [Source:HGNC Symbol;Acc:HGNC:3573]	1864	0.3115018606185913	-0.07296999	No	
row_7	SPDL1	spindle apparatus coiled-coil protein 1 [Source:HGNC Symbol;Acc:HGNC:26010]	2009	0.29884177446365356	-0.077418864	No	
row_8	PRPF39	pre-mRNA processing factor 39 [Source:HGNC Symbol;Acc:HGNC:20314]	2060	0.29380351305007935	-0.07526723	No	
row_9	USP10	ubiquitin specific peptidase 10 [Source:HGNC Symbol;Acc:HGNC:12608]	2226	0.27948248386383057	-0.081589125	No	
row_10	USP15	ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]	2247	0.27838635444641113	-0.077599555	No	
row_11	GGPS1	geranylgeranyl diphosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:4249]	2407	0.2673895061016083	-0.0837291	No	
row_12	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	2600	0.2552546560764313	-0.092446275	No	
row_13	CRYBG1	crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]	2772	0.24425803124904633	-0.099880874	No	
row_14	NOC3L	NOC3 like DNA replication regulator [Source:HGNC Symbol;Acc:HGNC:24034]	3543	0.2114240676164627	-0.1506392	No	
row_15	BAZ1A	bromodomain adjacent to zinc finger domain 1A [Source:HGNC Symbol;Acc:HGNC:960]	3638	0.2077844738960266	-0.15329617	No	
row_16	PACRG	parkin coregulated [Source:HGNC Symbol;Acc:HGNC:19152]	3722	0.20500752329826355	-0.15522328	No	
row_17	ANK2	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	3915	0.19911126792430878	-0.16503248	No	
row_18	UBR2	ubiquitin protein ligase E3 component n-recognin 2 [Source:HGNC Symbol;Acc:HGNC:21289]	3935	0.1986507624387741	-0.16252254	No	
row_19	FAN1	FANCD2 and FANCI associated nuclease 1 [Source:HGNC Symbol;Acc:HGNC:29170]	3969	0.19770382344722748	-0.16102868	No	
row_20	PSMC2	proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]	4364	0.18539397418498993	-0.18549934	No	
row_21	CYLD	CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]	4692	0.1734197437763214	-0.20542844	No	
row_22	RSU1	Ras suppressor protein 1 [Source:HGNC Symbol;Acc:HGNC:10464]	4855	0.16699320077896118	-0.21372452	No	
row_23	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	5144	0.15552113950252533	-0.2312226	No	
