NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	538	0.488974392414093	-0.026617868	No	
row_1	ZNF449	zinc finger protein 449 [Source:HGNC Symbol;Acc:HGNC:21039]	736	0.448635071516037	-0.029914817	No	
row_2	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	807	0.43593287467956543	-0.024470719	No	
row_3	IP6K1	inositol hexakisphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18360]	988	0.4116927683353424	-0.027440757	No	
row_4	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	1060	0.40061163902282715	-0.022912923	No	
row_5	SERPINB9	serpin family B member 9 [Source:HGNC Symbol;Acc:HGNC:8955]	1158	0.39044809341430664	-0.02047997	No	
row_6	RAB19	RAB19, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:19982]	1186	0.3874088525772095	-0.013134328	No	
row_7	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	1257	0.37611785531044006	-0.009121277	No	
row_8	PDE8A	phosphodiesterase 8A [Source:HGNC Symbol;Acc:HGNC:8793]	1286	0.37344855070114136	-0.0021808494	No	
row_9	NQO2	N-ribosyldihydronicotinamide:quinone dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:7856]	1494	0.3480946123600006	-0.008595383	No	
row_10	CFAP36	cilia and flagella associated protein 36 [Source:HGNC Symbol;Acc:HGNC:30540]	2142	0.28586095571517944	-0.047835626	No	
row_11	SESTD1	SEC14 and spectrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18379]	2214	0.2801187038421631	-0.046190534	No	
row_12	TRAF5	TNF receptor associated factor 5 [Source:HGNC Symbol;Acc:HGNC:12035]	2318	0.27361831068992615	-0.046979997	No	
row_13	TP53BP1	tumor protein p53 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11999]	2456	0.26370665431022644	-0.050428078	No	
row_14	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	2528	0.25902923941612244	-0.04928754	No	
row_15	GSAP	gamma-secretase activating protein [Source:HGNC Symbol;Acc:HGNC:28042]	2558	0.25767162442207336	-0.04518824	No	
row_16	MED15	mediator complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:14248]	2572	0.2568793296813965	-0.03996838	No	
row_17	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	2627	0.2539893090724945	-0.03773768	No	
row_18	SH3BP2	SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]	2635	0.2535707950592041	-0.032169655	No	
row_19	SLFN12L	schlafen family member 12 like [Source:HGNC Symbol;Acc:HGNC:33920]	2713	0.24821139872074127	-0.031715248	No	
row_20	GDI1	GDP dissociation inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:4226]	2828	0.24207837879657745	-0.034042712	No	
