NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PNPLA8	patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]	20	0.7824455499649048	0.03960917	No	
row_1	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	35	0.747144341468811	0.077792466	No	
row_2	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	108	0.658631443977356	0.10722565	No	
row_3	GCLM	glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312]	212	0.5929467082023621	0.13101852	No	
row_4	BMP6	bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:HGNC:1073]	223	0.5858872532844543	0.16103	No	
row_5	EFHC1	EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16406]	664	0.4617961645126343	0.15407091	No	
row_6	NPC1	NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]	808	0.435822993516922	0.16679142	No	
row_7	PEX13	peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]	1439	0.3543179929256439	0.14073607	No	
row_8	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	1638	0.3321993947029114	0.14412671	No	
row_9	NEDD4	NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]	1994	0.30018192529678345	0.13471566	No	
row_10	ACSL5	acyl-CoA synthetase long chain family member 5 [Source:HGNC Symbol;Acc:HGNC:16526]	2451	0.26393768191337585	0.11624869	No	
row_11	SLC23A1	solute carrier family 23 member 1 [Source:HGNC Symbol;Acc:HGNC:10974]	2495	0.2610023319721222	0.12688747	No	
row_12	PEX12	peroxisomal biogenesis factor 12 [Source:HGNC Symbol;Acc:HGNC:8854]	2496	0.2608734369277954	0.14056589	No	
row_13	NR3C2	nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]	2603	0.2551262080669403	0.14643322	No	
row_14	SLC23A2	solute carrier family 23 member 2 [Source:HGNC Symbol;Acc:HGNC:10973]	2746	0.2458202838897705	0.14926215	No	
row_15	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	3296	0.21983686089515686	0.12189409	No	
row_16	CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	3462	0.21418319642543793	0.1214347	No	
row_17	SLCO1A2	solute carrier organic anion transporter family member 1A2 [Source:HGNC Symbol;Acc:HGNC:10956]	3513	0.2125568836927414	0.12903741	No	
row_18	PECR	peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]	3948	0.19834622740745544	0.1086899	No	
row_19	ABCA8	ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]	4140	0.1923874020576477	0.10524567	No	
row_20	KLF1	KLF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:6345]	4487	0.18058250844478607	0.09020126	No	
row_21	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	4686	0.17357975244522095	0.085274965	No	
