NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	64	0.6980346441268921	0.012066739	Yes	
row_1	CSRNP2	cysteine and serine rich nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16006]	78	0.6822901368141174	0.027393986	Yes	
row_2	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	126	0.6464616656303406	0.03944398	Yes	
row_3	FKRP	fukutin related protein [Source:HGNC Symbol;Acc:HGNC:17997]	209	0.5952359437942505	0.047778632	Yes	
row_4	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	247	0.5774391293525696	0.058897186	Yes	
row_5	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]	305	0.5536888837814331	0.068024226	Yes	
row_6	SMURF1	SMAD specific E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:16807]	331	0.546465277671814	0.079260334	Yes	
row_7	DACH1	dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663]	336	0.5459899306297302	0.09198212	Yes	
row_8	GCNA	germ cell nuclear acidic peptidase [Source:HGNC Symbol;Acc:HGNC:15805]	398	0.5281668305397034	0.10021601	Yes	
row_9	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	412	0.5228090286254883	0.111743994	Yes	
row_10	SAMD4B	sterile alpha motif domain containing 4B [Source:HGNC Symbol;Acc:HGNC:25492]	421	0.5203467011451721	0.12356975	Yes	
row_11	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	454	0.5127551555633545	0.1335038	Yes	
row_12	SLC20A2	solute carrier family 20 member 2 [Source:HGNC Symbol;Acc:HGNC:10947]	455	0.5119848251342773	0.14570063	Yes	
row_13	TNFSF14	TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]	463	0.5098514556884766	0.15734765	Yes	
row_14	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	586	0.4777037799358368	0.16003093	Yes	
row_15	NIPBL	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]	680	0.4595284163951874	0.16434851	Yes	
row_16	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	696	0.45588481426239014	0.17413962	Yes	
row_17	LYPD3	LY6/PLAUR domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24880]	723	0.451279878616333	0.18303686	Yes	
row_18	TSSC4	tumor suppressing subtransferable candidate 4 [Source:HGNC Symbol;Acc:HGNC:12386]	743	0.44774436950683594	0.1923489	Yes	
row_19	MICALL1	MICAL like 1 [Source:HGNC Symbol;Acc:HGNC:29804]	835	0.43188080191612244	0.19615042	Yes	
row_20	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	841	0.43107762932777405	0.2060634	Yes	
row_21	TRMT6	tRNA methyltransferase 6 non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:20900]	858	0.4280775189399719	0.21512078	Yes	
row_22	ZNF567	zinc finger protein 567 [Source:HGNC Symbol;Acc:HGNC:28696]	881	0.4244444668292999	0.22366388	Yes	
row_23	URB1	URB1 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:17344]	894	0.42236316204071045	0.23287027	Yes	
row_24	ZSWIM6	zinc finger SWIM-type containing 6 [Source:HGNC Symbol;Acc:HGNC:29316]	906	0.4211571216583252	0.2421192	Yes	
row_25	FAM133B	family with sequence similarity 133 member B [Source:HGNC Symbol;Acc:HGNC:28629]	943	0.4175088405609131	0.24949907	Yes	
row_26	LANCL2	LanC like glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:6509]	1027	0.4054110050201416	0.25324032	Yes	
row_27	CMTR2	cap methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:25635]	1042	0.40303105115890503	0.26184356	Yes	
row_28	AUTS2	activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]	1182	0.38776668906211853	0.26117244	Yes	
row_29	FUBP3	far upstream element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4005]	1232	0.3810003399848938	0.26675588	Yes	
row_30	VEZF1	vascular endothelial zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:12949]	1244	0.37912851572036743	0.27500358	Yes	
row_31	CTSL	cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537]	1291	0.3723576068878174	0.28059497	Yes	
row_32	LINC01138	long intergenic non-protein coding RNA 1138 [Source:HGNC Symbol;Acc:HGNC:49454]	1331	0.3666357398033142	0.28654906	Yes	
row_33	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]	1376	0.36102065443992615	0.29201296	Yes	
row_34	ZNF3	zinc finger protein 3 [Source:HGNC Symbol;Acc:HGNC:13089]	1379	0.36084192991256714	0.3004666	Yes	
row_35	FAM3C	FAM3 metabolism regulating signaling molecule C [Source:HGNC Symbol;Acc:HGNC:18664]	1449	0.35300204157829285	0.3039573	Yes	
row_36	BACH1	BTB domain and CNC homolog 1 [Source:HGNC Symbol;Acc:HGNC:935]	1491	0.348691463470459	0.30934134	Yes	
row_37	ZNF416	zinc finger protein 416 [Source:HGNC Symbol;Acc:HGNC:20645]	1505	0.3463444113731384	0.31666547	Yes	
row_38	DDX21	DExD-box helicase 21 [Source:HGNC Symbol;Acc:HGNC:2744]	1639	0.33211687207221985	0.31509635	Yes	
row_39	RPP38	ribonuclease P/MRP subunit p38 [Source:HGNC Symbol;Acc:HGNC:30329]	1659	0.3296641707420349	0.32159537	Yes	
row_40	ZNF682	zinc finger protein 682 [Source:HGNC Symbol;Acc:HGNC:28857]	1673	0.3285468518733978	0.32849553	Yes	
row_41	AP4E1	adaptor related protein complex 4 subunit epsilon 1 [Source:HGNC Symbol;Acc:HGNC:573]	1693	0.32655224204063416	0.33492044	Yes	
row_42	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like [Source:HGNC Symbol;Acc:HGNC:31865]	1710	0.32526543736457825	0.34152853	Yes	
row_43	CCNY	cyclin Y [Source:HGNC Symbol;Acc:HGNC:23354]	1805	0.31668028235435486	0.34237182	Yes	
row_44	SH2B3	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]	1846	0.31328314542770386	0.3469836	Yes	
row_45	ZBTB49	zinc finger and BTB domain containing 49 [Source:HGNC Symbol;Acc:HGNC:19883]	1908	0.30730825662612915	0.34995607	Yes	
row_46	SRR	serine racemase [Source:HGNC Symbol;Acc:HGNC:14398]	1911	0.3071407377719879	0.3571304	Yes	
row_47	SNX9	sorting nexin 9 [Source:HGNC Symbol;Acc:HGNC:14973]	1922	0.30629533529281616	0.36371434	Yes	
row_48	ALKBH8	alkB homolog 8, tRNA methyltransferase [Source:HGNC Symbol;Acc:HGNC:25189]	1945	0.3042865991592407	0.36939496	Yes	
row_49	PLAA	phospholipase A2 activating protein [Source:HGNC Symbol;Acc:HGNC:9043]	1999	0.2996741533279419	0.37275583	Yes	
row_50	TRIM39	tripartite motif containing 39 [Source:HGNC Symbol;Acc:HGNC:10065]	2064	0.29362133145332336	0.37518835	Yes	
row_51	SGK3	serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]	2068	0.29349198937416077	0.38196626	Yes	
row_52	KCNH8	potassium voltage-gated channel subfamily H member 8 [Source:HGNC Symbol;Acc:HGNC:18864]	2129	0.2872166633605957	0.38453138	Yes	
row_53	TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	2170	0.2829832136631012	0.38842133	Yes	
row_54	ARFGEF2	ADP ribosylation factor guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:15853]	2175	0.2825023829936981	0.39486617	Yes	
row_55	RAPGEF6	Rap guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:20655]	2197	0.2810700833797455	0.40006498	Yes	
row_56	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	2262	0.277545690536499	0.40211457	Yes	
row_57	SENP6	SUMO specific peptidase 6 [Source:HGNC Symbol;Acc:HGNC:20944]	2277	0.27656298875808716	0.407705	Yes	
row_58	CORO7	coronin 7 [Source:HGNC Symbol;Acc:HGNC:26161]	2337	0.27217674255371094	0.40998313	Yes	
row_59	ZNF140	zinc finger protein 140 [Source:HGNC Symbol;Acc:HGNC:12925]	2341	0.2719457447528839	0.41624773	Yes	
row_60	HSPBAP1	HSPB1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16389]	2452	0.26392820477485657	0.41469374	Yes	
row_61	GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	2604	0.2550671398639679	0.41000593	Yes	
row_62	PLXNA1	plexin A1 [Source:HGNC Symbol;Acc:HGNC:9099]	2680	0.2502627670764923	0.4106214	Yes	
row_63	ACOD1	aconitate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:33904]	2692	0.24932952225208282	0.41577697	Yes	
row_64	MAGIX	MAGI family member, X-linked [Source:HGNC Symbol;Acc:HGNC:30006]	2712	0.24822968244552612	0.420336	Yes	
row_65	RBM25	RNA binding motif protein 25 [Source:HGNC Symbol;Acc:HGNC:23244]	2720	0.24773119390010834	0.42573863	Yes	
row_66	ASB6	ankyrin repeat and SOCS box containing 6 [Source:HGNC Symbol;Acc:HGNC:17181]	2784	0.24388206005096436	0.42705753	Yes	
